OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Sunrise Comprehensive Healthcare,Community Clinic,,,Houston,Harris,10603 Bellaire Blvd Suite B116,77072,29.7032616539677,-95.5679379136591,0,80,0,0,0,80,0,,,,05/01/2021      ,12:51:15        ,,-95.567938,29.703262
2,Brookshires Pharmacy 79,Pharmacy,,1705 W Audie Murphy Pkwy,Farmersville,Collin,1705 W Audie Murphy Pkwy,75442,33.1588567808075,-96.3887366821937,0,0,0,0,205,205,0,(972) 782-8601,https://www.brookshires.com/covid-19-information,,05/01/2021      ,11:28:07        ,,-96.388737,33.158857
3,Medly Pharmacy,Federal Allocation,,,San Antonio,Bexar,13331 Nacogdoches Rd,78217,30.3195496,-97.7056526,0,0,0,0,100,100,0,,,,04/28/2021      ,11:28:20        ,,-97.705653,30.31955
4,"Oaks Ambulatory Surgery Center, LLC",Other,,4126 Southwest Fwy,Houston,Harris,"4126 Southwest Freeway, Houston, TX, USA",77027,29.7299644,-95.4449531,0,14,0,0,0,14,0,,,,05/01/2021      ,06:55:34        ,,-95.444953,29.729964
5,The University of Texas Health Science Center at Houston,Vaccine Hub,Q,1851 Crosspoint Ave.,Houston,Harris,1851 Crosspoint Ave.,77054,29.6707709830585,-95.4059914757526,0,0,0,0,0,0,0,713-500-7476,https://www.utphysicians.com/covid19vaccine/,,04/29/2021      ,07:40:29        ,,-95.405991,29.670771
6,Tarrant County Public Health District,Vaccine Hub,,1101 S Main St Ste 1350,Fort Worth,Tarrant,1101 S Main St Suite. 1350,76104,32.730265,-97.32002,14682,17600,9468,7640,0,32282,17108,817-248-6299 Option 7,www.tarrantcounty.com/COVIDshot,,04/30/2021      ,15:01:14        ,,-97.32002,32.730265
7,KING-DAVIS ENTERPRISE LLC,Other,,3945 Braxton Dr,Houston,Harris,3945 Braxton Drive,77063,29.7236421,-95.5089602,0,90,0,0,0,90,0,(281) 636-6861,KINGDAVISENTERPRISE1@gmail.com,,05/01/2021      ,08:40:53        ,,-95.50896,29.723642
8,Walgreens Pharmacy 04134,Pharmacy,,,Austin,,11724 RESEARCH BLVD,78759,30.4223810798127,-97.7264112094485,1,0,0,0,60,61,0,(512) 250-2070,https://www.walgreens.com/locator/walgreens-11724+research+blvd-austin-tx-78759/id=4134,,04/30/2021      ,23:03:28        ,,-97.726411,30.422381
9,Walgreens Pharmacy 06643,Pharmacy,,,,,"6360 SAN FELIPE ST Houston, TX 77057",,29.7508214271357,-95.4970612818772,0,0,0,0,100,100,0,(713) 278-2616,https://www.walgreens.com/locator/walgreens-6360+san+felipe+st-houston-tx-77057/id=6643,,04/30/2021      ,21:07:57        ,,-95.497061,29.750821
10,Walgreens Pharmacy 03224,Pharmacy,,,,,"6901 SAN PEDRO AVE San Antonio, TX 78216",,29.5059290407028,-98.5006285879054,78,0,0,0,140,218,0,(210) 349-9809,https://www.walgreens.com/locator/walgreens-6901+san+pedro+ave-san+antonio-tx-78216/id=3224,,04/30/2021      ,20:46:29        ,,-98.500629,29.505929
