OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,Mesquite ISD Health Services,Other,,3819 Towne Crossing Blvd,Mesquite,Dallas,"3819 Towne Crossing Boulevard, Mesquite, TX, USA",75150,32.8170591,-96.6314539,0,0,801,801,,,,03/30/2021      ,12:08:05        ,-96.631454,32.817059
2,DSHS Goliad,Other,,329 W Franklin St,Goliad,Goliad,"329 West Franklin Street, Goliad, TX, USA",77963,28.6666252,-97.3958532,0,0,0,0,361-645-2595,,,03/22/2021      ,14:08:54        ,-97.395853,28.666625
3,Solara Hospital Conroe,Hospital,Q,1500 Grand Lake Dr, Conroe,Montgomery,"1500 Grand Lake Dr, Conroe, TX, 77304",77304,30.281336,-95.465419,0,0,0,0,,http://chghospitals.com/location/cornerstone-specialty-hospitals-conroe/,,03/30/2021      ,11:58:36        ,-95.465419,30.281336
4,PHARMACYCARE USA OF ADDISON,Pharmacy,E,4275 Kellway Cir,Addison,Dallas,"4275 Kellway Circle, Addison, TX, USA",75001,32.969975,-96.8406417,0,0,100,100,,,,03/30/2021      ,10:40:04        ,-96.840642,32.969975
5,Purple Hearts Primary Care Services Pllc,Other,,688 W Pioneer Pkwy,Grand Prairie,Dallas,688 W Pioneer Pkwy ste 120,75051,32.709687479171,-97.0141519685342,0,0,0,0,817-969-4651,https://purpleheartspc.com/,,03/10/2021      ,21:25:46        ,-97.014152,32.709687
6,Providence Family Care,Medical Practice,,21 Alpine St,Coldspring,San Jacinto,21 Alpine St,77331,30.5912956039381,-95.1321990392786,0,100,137,237,(936) 647-2227,http://www.providencephysicians-sc.com/our-practices/providence-family-medicine/providence-family-medicine-in-lexington,,03/27/2021      ,13:32:57        ,-95.132199,30.591296
7,Hope Kidney Clinic,Other,,East Saunders,Laredo,Webb,"2309 East Saunders Street, Laredo, TX, USA Suite 200",78041,27.5293252,-99.472075,0,0,60,60,,,,03/30/2021      ,10:54:05        ,-99.472075,27.529325
8,Fresenius Kidney Care - Amarillo,Other,,,Amarillo,Potter,5920 Amarillo Blvd W,79106,35.2070591,-101.9033544,0,0,0,0,8063539182,,,03/29/2021      ,09:15:53        ,-101.903354,35.207059
9,Fresenius Kidney Care Alamo Ranch,Other,,5620 Lone Star Pkwy 1,San Antonio,Bexar,"5620 Lone Star Parkway, San Antonio, TX, USA",78253,29.4891319,-98.7238993,0,0,0,0,,,,03/23/2021      ,15:12:34        ,-98.723899,29.489132
10,North Texas Infectious Diseases Consultants - Nc Expy,Other,,,DALLAS,Dallas,9301 NORTH CENTRAL EXPRESSWAY DALLAS,75231,32.87514,-96.77128,0,0,0,0,,,,03/18/2021      ,14:21:08        ,-96.77128,32.87514
11,Fairfield Family Physicians,Medical Practice,,15201 Mason Rd Ste 1200,Cypress,Harris,"15201 Mason Rd Ste 1200, Cypress, Tx 77433",77433,29.9948412698307,-95.7382759586911,0,0,0,0,(281) 373-0162, https://ffpcare.com,,03/30/2021      ,11:07:09        ,-95.738276,29.994841
12,Good News Wholesale Inc,Other,,902 Main St,Friona ,Parmer,902 Main St,79035,34.640159975174,-102.718270202878,0,0,30,30,(806)250-3010,,,03/29/2021      ,17:14:19        ,-102.71827,34.64016
13,OAK GROVE NURSING HOME,Other,R,6230 WARREN ST,GROVES,Jefferson,"6230 Warren St, Groves, TX 77619",77619,29.9338,-93.901,0,0,0,0,(409) 963 1266,https://www.oakgrovenursinghome.com/,,02/25/2021      ,13:15:11        ,-93.901,29.9338
14,ALLIANCE UNITED HOSPICE CARE INC,Other,,811 SOUTH CENTRAL EXPRESSWAY,Richardson,DALLAS,811 SOUTH CENTRAL EXPRESSWAY,75080,32.941253,-96.743549,0,0,0,0,,,,03/08/2021      ,09:08:07        ,-96.743549,32.941253
15,BJP Healthcare LLC,Pharmacy,,1724 S colorado Street,lockhart,caldwell,"1724 South Colorado Street, Lockhart, TX, USA",78644,29.861939,-97.667846,0,0,0,0,(512) 398-2288,,,03/29/2021      ,17:53:05        ,-97.667846,29.861939
16,Providence Family Health Clinic Sanger Ave ,Medical Practice,,6614 Sanger Ave,Waco,McLennan,6614 Sanger Avenue,76710,31.5197856,-97.1978605,0,0,50,50,,,,03/27/2021      ,09:24:17        ,-97.19786,31.519786
17,Pediatric Associates Houston ,Hospital,,Groveway Dr,Houston,Harris,4501 Groveway Dr ,77087,29.7048382223376,-95.315079981958,0,0,0,0,(713) 644-1568,texaschildrenspediatrics.org,,03/30/2021      ,11:04:22        ,-95.31508,29.704838
18,MEMORIAL HERMANN CYPRESS,Hospital,Q,28770 Northwest Freeway, Cypress,Harris,"28770 Northwest Freeway, Cypress, TX, 77433",77433,29.9864227411505,-95.7343829792102,0,0,0,0,(346) 231-4000,https://www.memorialhermann.org/locations/cypress,,03/30/2021      ,07:52:42        ,-95.734383,29.986423
19,Uptown Physicians Group/ Prism Health North Texas,Medical Practice,,Lemmon Ave,Dallas,Dallas,2801 Lemmon Ave Suite 400,75204,32.8039146,-96.7964784,0,0,0,0,,,,03/30/2021      ,06:11:30        ,-96.796478,32.803915
20,Kidney Care Associates,Medical Practice,,600 E Taylor Street,Sherman,Grayson,600 E Taylor Street,75090,33.6566702898854,-96.6079926009327,0,0,0,0,(903) 893-7170,https://www.kcatexoma.com/,,02/11/2021      ,15:26:01        ,-96.607993,33.65667
21,CACOST- Community Health Center - Alice,Other,,Flournoy Rd,ALICE,Jim Wells,700 FLOURNOY RD STE 2 ,78332,27.758807,-98.045219,0,0,0,0,,,,03/30/2021      ,10:22:14        ,-98.045219,27.758807
22,CareATC Rock Care,Community Clinic,,,ROUND ROCK,Williamson ,901 ROUND ROCK AVE STE 300 ,78681,30.510784203682,-97.6903593164756,0,0,0,0,(800) 993-8244,https://www.careatc.com/,,03/11/2021      ,00:00:00        ,-97.690359,30.510784
23,Boyd Medicine Store,Other,,,BOYD,,417 W ROCK ISLAND AVE,76023,33.0786844191669,-97.5700801587904,0,0,100,100,,,,03/19/2021      ,00:00:00        ,-97.57008,33.078684
24,Texas Center For Infectious Disease,Hospital,P,2303 SE Military Dr,San Antonio,Bexar,2303 SE Military Dr,78223,29.3519,-98.4582,0,0,0,0,(210) 534-8857,,,03/30/2021      ,11:13:35        ,-98.4582,29.3519
25,Jacobs Family Pharmacy,Pharmacy,,,Brownwood,Brown,2701 Austin Ave,76801,31.6950313518819,-98.9666626660521,0,0,0,0,(325) 646-1100 ,http://jacobsfamilypharmacy.com/,,03/13/2021      ,14:00:37        ,-98.966663,31.695031
26,A+ Life Style Medical Group,Vaccine Hub,O,"815 Highway 71 West, Suite 1150",Bastrop,Bastrop,"815 Highway 71 West, Suite  1150",78602,30.1100401,-97.3785263,0,0,0,0,866-268-2289,https://www.Covac.info,,03/30/2021      ,11:28:58        ,-97.378526,30.11004
27,Linos Pharmacy 2,Pharmacy,,201 N Fm 3167 Ste 101102,Rio Grande City,Starr,201 N Fm 3167 Ste 101102,78582,26.3990970082669,-98.8527659845164,0,0,0,0,(956) 488-1811,,,03/30/2021      ,08:17:03        ,-98.852766,26.399097
28,AdventHelath Family Medicine Rural Health Clinics,Other,,187 Pr 4060,Lampasas,Lampasas,187 Pr 4060,76550,31.0648276257068,-98.1565567308302,0,0,0,0,,,,03/24/2021      ,14:12:33        ,-98.156557,31.064828
29,Physician's Vascular Services,Other,,,El Paso,El Paso,1111 Hawkins Blvd,79925,31.7728439837199,-106.377332395817,0,0,0,0,(915) 771-8346 ,,,03/22/2021      ,08:44:28        ,-106.377332,31.772844
30,Kindred Hospital Limited Partnership,Hospital,Q,6441 Main St,Houston,Harris,6441 Main St,77030,29.7132947667097,-95.3994484783147,0,0,0,0,713-790-0500,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-louisville,,03/24/2021      ,17:16:04        ,-95.399448,29.713295
31,Urgent Health Solutions,Community Clinic,,525 N Brentwood,Lufkin,Angelina,525 N Brentwood,75904,31.3028033740036,-94.7294625152303,0,0,0,0,(936) 327-4644,http://urgentdoc.com/,,03/19/2021      ,14:06:59        ,-94.729463,31.302803
32,University Of Texas Medical Branch Correctional Managed Care,Pharmacy,,Avenue I,Huntsville,Walker,2400 Avenue I,77340,31.697903,-98.9882692,0,60,0,60,,,,03/30/2021      ,07:30:00        ,-98.988269,31.697903
33,Texas Department of Criminal Justice Hodge,Other,,,Rusk,,379 FM 2972 W,75785,31.808884,-95.162561,0,0,0,0,(903) 683-5781,https://www.tdcj.texas.gov/unit_directory/hd.html,,03/30/2021      ,07:30:00        ,-95.162561,31.808884
34,Crockett Medical Center Clinic,Other,,1050 East Loop 304,Crockett,HOUSTON,1050 East Loop 304,75835,31.325319,-95.437809,0,0,25,25,,,,03/23/2021      ,10:09:38        ,-95.437809,31.325319
