OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,"Davis City Pharmacy, Inc",Federal Allocation,,111 Trinity Avenue,Weatherford,Parker,111 Trinity Avenue,76086,32.7597867769947,-97.7967358640654,60,0,60,0,0,60,60,(817) 594-3851,,,04/24/2021      ,18:48:01        ,,-97.796736,32.759787
2,Walgreens Pharmacy 07720,Pharmacy,,,,,"21106 KUYKENDAHL RD Spring, TX 77379",,30.0751782870722,-95.5132822514382,120,0,0,0,0,120,0,(281) 355-6325,https://www.walgreens.com/locator/walgreens-21106+kuykendahl+rd-spring-tx-77379/id=7720,,04/24/2021      ,18:06:33        ,,-95.513282,30.075178
3,Walgreens Pharmacy 04114,Pharmacy,,,Houston,,510 CHIMNEY ROCK RD,77056,29.7655929334314,-95.4609182304702,54,0,0,0,100,154,0,(713) 781-4440,https://www.walgreens.com/locator/walgreens-510+chimney+rock+rd-houston-tx-77056/id=4114,,04/24/2021      ,18:02:25        ,,-95.460918,29.765593
4,Walgreens Pharmacy 03407,Other,,, Houston,,12550 Westheimer Rd, 77077,29.7368689378278,-95.6035817013459,0,100,0,100,65,165,100,,,,04/23/2021      ,17:57:36        ,,-95.603582,29.736869
5,Brookshires Pharmacy 30,Pharmacy,,2107 S Loop 256,Palestine,Anderson,2107 S Loop 256,75801,31.736814017285,-95.6112959681131,0,127,0,93,167,294,93,(903) 723-1092,https://www.brookshires.com/covid-19-information,,04/24/2021      ,17:21:49        ,,-95.611296,31.736814
6,Obur Heatlh PA,Other,,930 Old Lake Rd,Houston,,930 OLD LAKE RD Houston 77057,77057,29.75746,-95.49284,0,150,0,0,0,150,0,,,,04/24/2021      ,16:27:56        ,,-95.49284,29.75746
7,Walgreens Pharmacy 05270,Pharmacy,,,,,"3100 MCCART AVE Fort Worth, TX 76110",,32.7055774362189,-97.3535907375884,0,0,0,0,145,145,0,(817) 924-5126,https://www.walgreens.com/locator/walgreens-3100+mccart+ave-fort+worth-tx-76110/id=5270,,04/12/2021      ,21:36:55        ,,-97.353591,32.705577
8,Walgreens Pharmacy 07024,Pharmacy,,,,,"801 MAPLE AVE Odessa, TX 79761",,31.8584407080521,-102.359058582788,0,0,63636,0,100,100,63636,(432) 337-6637,https://www.walgreens.com/locator/walgreens-801+maple+ave-odessa-tx-79761/id=7024,,04/23/2021      ,09:07:51        ,,-102.359059,31.858441
9,Walgreens Pharmacy 06998,Pharmacy,,,,,"8100 MATLOCK RD Arlington, TX 76002",,32.6140684774991,-97.1176828627776,0,0,0,0,100,100,0,(817) 473-8674,https://www.walgreens.com/locator/walgreens-8100+matlock+rd-arlington-tx-76002/id=6998,,04/09/2021      ,20:47:10        ,,-97.117683,32.614068
10,Walgreens Pharmacy 05035,Pharmacy,,,,,8301 Broadway St Houston 77061,,29.672335883533,-95.2765120051484,15,0,15,0,0,15,15,713-641-0389,https://www.walgreens.com/locator/walgreens-8301+broadway+st-houston-tx-77061/id=5035,,04/24/2021      ,12:53:29        ,,-95.276512,29.672336
11,Walgreens Pharmacy 06390,Pharmacy,,1015 N Town E Blvd,Mesquite,Dallas,"1015 North Town East Boulevard, Mesquite, TX, USA",75150,32.8121576,-96.6104612,46,0,0,0,0,46,0,,,,04/24/2021      ,10:31:30        ,,-96.610461,32.812158
12,Walgreens Pharmacy 03804,Pharmacy,,,,,"7655 TEZEL RD San Antonio, TX 78250",,29.5111041481621,-98.6626160422638,37,0,0,0,72,109,0,(210) 543-9151,https://www.walgreens.com/locator/walgreens-7655+tezel+rd-san+antonio-tx-78250/id=3804,,04/24/2021      ,15:54:27        ,,-98.662616,29.511104
13,Walgreens Pharmacy 15542,Pharmacy,,,,,"20824 FM 1485 RD New Caney, TX 77357",,30.1547919300274,-95.2133679263741,66,0,0,0,0,66,0,(281) 689-0002,https://www.walgreens.com/locator/walgreens-20824+fm+1485+rd-new+caney-tx-77357/id=15542,,04/24/2021      ,18:21:24        ,,-95.213368,30.154792
14,Walgreens Pharmacy 02942,Pharmacy,,,McAllen ,,2300 Pecan Blvd ,78501,,,0,0,0,0,100,100,0,,,,04/24/2021      ,17:59:16        ,,,
15,Walgreens Pharmacy 03081,Pharmacy,,1408 N 16th St,Orange,Orange,1408 N 16th St,77630,30.1043805387357,-93.7472482089638,24,0,0,0,0,24,0,(409) 883-0876,https://www.walgreens.com/locator/walgreens-1408+n+16th+st-orange-tx-77630/id=3081,,04/24/2021      ,17:22:29        ,,-93.747248,30.104381
16,Walgreens Pharmacy 15085,Pharmacy,,,,,"4400 W GREEN OAKS BLVD Arlington, TX 76016",,32.6768535608368,-97.1938787383505,0,0,0,0,100,100,0,(817) 563-0142,https://www.walgreens.com/locator/walgreens-4400+w+green+oaks+blvd-arlington-tx-76016/id=15085,,04/24/2021      ,21:54:47        ,,-97.193879,32.676854
17,Walgreens Pharmacy 06120,Pharmacy,,,,,"9937 GARLAND RD Dallas, TX 75218",,32.837831371462,-96.6985185477533,18,0,0,0,65,83,0,(214) 328-4971,https://www.walgreens.com/locator/walgreens-9937+garland+rd-dallas-tx-75218/id=6120,,04/24/2021      ,18:03:35        ,,-96.698519,32.837831
18,Walgreens Pharmacy 10393,Pharmacy,,1610 TX-46,New Braunfels,Comal,1610 Highway 46 West,78132,29.6790807,-98.0622093,27,0,0,0,0,27,0,(830) 626-7142,RXM.10393@store.walgreens.com,,04/24/2021      ,17:02:40        ,,-98.062209,29.679081
19,Walgreens Pharmacy 07939,Pharmacy,,,,,"9903 POTRANCO RD San Antonio, TX 78251",,29.4368595764595,-98.686493267166,0,0,0,0,60,60,0,(210) 682-7431,https://www.walgreens.com/locator/walgreens-9903+potranco+rd-san+antonio-tx-78251/id=7939,,04/23/2021      ,17:03:36        ,,-98.686493,29.43686
20,Walgreens Pharmacy 07348,Pharmacy,,,,,"8910 JONES RD Houston, TX 77065",,29.9031780551344,-95.5831085870979,30,0,0,0,0,30,0,(281) 955-2480,https://www.walgreens.com/locator/walgreens-8910+jones+rd-houston-tx-77065/id=7348,,04/24/2021      ,17:52:33        ,,-95.583109,29.903178
21,Walgreens Pharmacy 03847,Pharmacy,,,Irving,,5310 N MACARTHUR BLVD,75038,32.8810723820257,-96.9409636998426,0,0,0,0,100,100,0,(972) 753-6506,https://www.walgreens.com/locator/walgreens-5310+n+macarthur+blvd-irving-tx-75038/id=3847,,04/24/2021      ,17:49:06        ,,-96.940964,32.881072
22,Walgreens Pharmacy 16465,Pharmacy,,,,,"15633 VINTAGE PRESERVE PARKWAY Houston, TX 77070",,30.0018152528546,-95.5600919529431,24,0,0,0,65,89,0,(281) 376-9846,https://www.walgreens.com/locator/walgreens-15633+vintage+preserve+parkway-houston-tx-77070/id=16465,,04/24/2021      ,16:48:49        ,,-95.560092,30.001815
23,Walgreens Pharmacy 03224,Pharmacy,,,,,"6901 SAN PEDRO AVE San Antonio, TX 78216",,29.5059290407028,-98.5006285879054,108,0,0,0,0,108,0,(210) 349-9809,https://www.walgreens.com/locator/walgreens-6901+san+pedro+ave-san+antonio-tx-78216/id=3224,,04/24/2021      ,15:20:37        ,,-98.500629,29.505929
24,Walgreens Pharmacy 04634,Pharmacy,,,,,"3830 GLADE RD Colleyville, TX 76034",,32.8816052426529,-97.1053484100958,18,0,0,0,0,18,0,(817) 283-3786,https://www.walgreens.com/locator/walgreens-3830+glade+rd-colleyville-tx-76034/id=4634,,04/24/2021      ,17:50:57        ,,-97.105348,32.881605
25,Walgreens Pharmacy 05085,Pharmacy,,,Houston,,10965 CYPRESS CREEK PKWY,77070,29.9347762472655,-95.5655840035929,24,0,0,0,0,24,0,(281) 890-3346,https://www.walgreens.com/locator/walgreens-10965+cypress+creek+pkwy-houston-tx-77070/id=5085,,04/24/2021      ,16:26:17        ,,-95.565584,29.934776
26,Walgreens Pharmacy 09040,Pharmacy,,2315 W Washington St,Stephenville,Erath,2315 W Washington St,76401,32.207585243605,-98.2301429930284,0,0,0,0,100,100,0,(254) 965-2587,Walgreens.com/covid19vac,,04/21/2021      ,18:39:19        ,,-98.230143,32.207585
27,Walgreens Pharmacy 11814,Pharmacy,,,,,"101 S WASHINGTON AVE Cleveland, TX 77327",,30.3424119362452,-95.0890882989191,54,0,54,0,0,54,54,(281) 592-0491,https://www.walgreens.com/locator/walgreens-101+s+washington+ave-cleveland-tx-77327/id=11814,,04/24/2021      ,08:52:08        ,,-95.089088,30.342412
28,Walgreens Pharmacy 03507,Other,,,Port Neches,,2126 Nall St Port Neches 77651,77651,29.9810542,-93.9619197,1,0,1,0,0,1,1,,,,04/22/2021      ,11:27:33        ,,-93.96192,29.981054
29,Walgreens Pharmacy 03821,Other,,3605 College St ,Beaumont,,3605 College St Beaumont 77701,77701,30.0676285,-94.1301324,9,0,15,0,100,109,15,,,,04/11/2021      ,08:01:13        ,,-94.130132,30.067629
30,Walgreens Pharmacy 04858,Pharmacy,,,,,"6205 WESTCREEK DR Fort Worth, TX 76133",,32.6544992521293,-97.3614723844499,18,0,0,0,75,93,0,(817) 263-0962,https://www.walgreens.com/locator/walgreens-6205+westcreek+dr-fort+worth-tx-76133/id=4858,,04/24/2021      ,09:47:51        ,,-97.361472,32.654499
31,Walgreens Pharmacy 09448,Pharmacy,,606 W Ennis Ave,Ennis,Ellis,606 W Ennis Ave,75119,32.3253064334046,-96.6323437060381,0,0,0,0,100,100,0,(972) 875-5996,Walgreens.com/covid19vac,,04/21/2021      ,12:54:45        ,,-96.632344,32.325306
32,Walgreens Pharmacy 04679,Pharmacy,,,,,"2879 MONTANA AVE El Paso, TX 79903",,31.7836823328503,-106.461237639252,258,0,76,0,100,358,76,(915) 566-4464,https://www.walgreens.com/locator/walgreens-2879+montana+ave-el+paso-tx-79903/id=4679,,04/24/2021      ,08:45:54        ,,-106.461238,31.783682
33,Walgreens Pharmacy 07307,Pharmacy,,,,,"2103 FM 2920 RD Spring, TX 77388",,30.0697099368469,-95.4474226739722,32,0,0,0,60,92,0,(281) 288-9008,https://www.walgreens.com/locator/walgreens-2103+fm+2920+rd-spring-tx-77388/id=7307,,04/24/2021      ,17:58:33        ,,-95.447423,30.06971
