OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,INPATIENT PROVIDERS OF TEXAS PLLC,Community Clinic,,,HOUSTON,,13630 BEAMER RD STE 114 ,77089,29.5773685127956,-95.205196576881,0,196,0,0,0,196,0,,,,04/28/2021      ,15:13:45        ,,-95.205197,29.577369
2,Affordacare Urgent Care Clinic Ridgemont,Other,,,Abilene,Taylor,4009 Ridgemont Dr,79606,32.4031269,-99.7647466,0,50,0,50,0,50,50,,,,04/29/2021      ,07:43:26        ,,-99.764747,32.403127
3,Bless You Allergy & Asthma,Other,,,Friendswood,,1305 W PARKWOOD AVE # 109 Friendswood 77546,77546,29.497942,-95.202911,0,200,0,0,0,200,0,(281) 648-1025,,,04/28/2021      ,14:25:30        ,,-95.202911,29.497942
4,Hays Surgery Center,Federal Allocation,,,Kyle,Hays,135 Bunton Creek Road,78640,30.009462,-97.8602195,0,20,0,0,0,20,0,,,,04/29/2021      ,07:21:58        ,,-97.860219,30.009462
5,Summerwood Pharmacy,Federal Allocation,,13176 W Lake Houston Pkwy Ste1,Houston,Harris,13176 W Lake Houston Pkwy Ste1,77044,29.9240255689583,-95.188217618847,0,240,0,0,265,505,0,(281) 225-4300,https://summerwoodrx.com/,,04/27/2021      ,18:57:34        ,,-95.188218,29.924026
6,"Oaks Ambulatory Surgery Center, LLC",Other,,4126 Southwest Fwy,Houston,Harris,"4126 Southwest Freeway, Houston, TX, USA",77027,29.7299644,-95.4449531,0,30,0,0,0,30,0,,,,04/29/2021      ,07:02:28        ,,-95.444953,29.729964
7,Ultra Care Pharmacy,Federal Allocation,,3250 W Pleasant Run Rd Ste 165,Lancaster,Dallas,3250 W Pleasant Run Rd Ste 165,75146,32.6029873,-96.8210319,0,23,0,0,46,69,0,,,,04/26/2021      ,00:00:00        ,,-96.821032,32.602987
8,Spring Creek Pharmacy,Federal Allocation,,,Plano,Collin,4666 Mcdermott Road,75024,33.0936527,-96.7936302,0,50,0,50,0,50,50,,,,04/27/2021      ,08:56:37        ,,-96.79363,33.093653
9,Neurosurgical Associates,Other,,,Lubbock,Lubbock,3419 22nd Street,79410,33.5749878526889,-101.889745144256,0,90,0,90,0,90,90,,,,04/29/2021      ,06:37:24        ,,-101.889745,33.574988
10,Su Clinica Familiar,Other,,,Garland,,315 N. Shiloh Rd. STE 102,75042,32.9145173,-96.6658761,1137,0,0,0,0,1137,0,(972) 205-0440,,,04/28/2021      ,09:02:25        ,,-96.665876,32.914517
11,Tackett Pharmacy,Federal Allocation,,,Weatherford,Parker County,138 College Park Drive Suite 130,76086,32.7386629537352,-97.7955652270485,0,200,0,0,5,205,0,(817) 341-7046,,,04/28/2021      ,19:07:16        ,,-97.795565,32.738663
12,BRUCES PHARMACY,Federal Allocation,,6001 39th St,Groves,Jefferson,6001 39th Street,77619,29.9450846,-93.9221114,0,26,0,0,0,26,0,(409) 962-4431,,,04/29/2021      ,05:38:34        ,,-93.922111,29.945085
13,Cleveland Pharmacy,Federal Allocation,,111 S.william Barnett Ave,Cleveland,Liberty,111 S WILLIAM BARNETT AVE Cleveland 77327,77327,30.3406081291667,-95.0854416305188,0,350,0,0,300,650,0,,,,04/28/2021      ,19:21:23        ,,-95.085442,30.340608
14,Sridhar Iyer Md,Medical Practice,,802 N Bonnie Brae St Ste 104,Denton,Denton,802 N BONNIE BRAE ST STE 104104 Denton 76201,76201,33.222286037891,-97.1608224286122,0,179,0,0,0,179,0,,,,04/27/2021      ,13:12:49        ,,-97.160822,33.222286
15,"MedStork Rx, LLC",Pharmacy,,1413 E Interstate 30 Ste 6,Garland,Dallas,1413 East Interstate 30,75043,32.86465,-96.54544,0,230,0,0,0,230,0,info@medstorkrx.com,,,04/28/2021      ,15:20:37        ,,-96.54544,32.86465
16,"Davis City Pharmacy, Inc",Federal Allocation,,111 Trinity Avenue,Weatherford,Parker,111 Trinity Avenue,76086,32.7597867769947,-97.7967358640654,0,100,0,100,0,100,100,(817) 594-3851,,,04/29/2021      ,03:50:39        ,,-97.796736,32.759787
17,Goodyear GoodLife Health Center,Other,,2000 Goodyear Dr,Houston,Harris,2000 Goodyear Drive,77017,29.7046959,-95.2557224,0,87,0,0,0,87,0,,,,04/28/2021      ,20:47:59        ,,-95.255722,29.704696
18,Certified Allergy & Asthma Of San Antonio,Medical Practice,,8285 Fredericksburg Rd,San Antonio ,Bexar,8285 Fredericksburg Rd San Antonio 78229,78229,29.516464,-98.572527,0,280,0,0,0,280,0,210-614-3923,,,04/28/2021      ,08:03:30        ,,-98.572527,29.516464
19,Medwin Family Medicine and Rehab ,Medical Practice,,Jose Marti Blvd ,Brownsville,Cameron ,315 Jose Marti Blvd ,78526,25.9515667,-97.4998104,0,100,0,0,0,100,0,956-546-7530,,,04/27/2021      ,14:29:22        ,,-97.49981,25.951567
20,Starcare Family and Preventive Medicine,Medical Practice,,,Irving,Dallas,"1701 W. Walnut Hill, Ste 200",75038,32.8765692,-96.9720761,0,70,0,0,0,70,0,,,,04/28/2021      ,17:37:45        ,,-96.972076,32.876569
21,Coppell Pediatrics Associates,Medical Practice,,,Coppell,,1705 E Belt line,75019,32.95215,-96.9515,0,80,0,0,0,80,0,972-393-8687,,,04/29/2021      ,07:44:54        ,,-96.9515,32.95215
22,Kroger Pharmacy 354,Pharmacy,,,Pasadena ,,3550 Spencer Hwy ,77504,29.6638645973941,-95.1895228611093,336,0,0,0,65,401,0,,,,04/21/2021      ,08:05:00        ,,-95.189523,29.663865
23,Walgreens Pharmacy 00553,Pharmacy,,,Houston ,,5300 N Braeswood Blvd ,77096,29.6798832468983,-95.458437264334,24,0,0,0,0,24,0,713-721-1516,https://www.walgreens.com/locator/walgreens-5300+n+braeswood+blvd-houston-tx-77096/id=553,,04/28/2021      ,22:12:41        ,,-95.458437,29.679883
24,"DTR Labs, LLC",Medical Practice,,,Lewisville,Denton,2150 Justin Rd,75077,33.0720071,-97.0562762,0,200,0,0,0,200,0,,,,04/28/2021      ,21:26:49        ,,-97.056276,33.072007
25,Walgreens Pharmacy 07720,Pharmacy,,,,,"21106 KUYKENDAHL RD Spring, TX 77379",,30.0751782870722,-95.5132822514382,24,0,0,0,0,24,0,(281) 355-6325,https://www.walgreens.com/locator/walgreens-21106+kuykendahl+rd-spring-tx-77379/id=7720,,04/28/2021      ,21:40:06        ,,-95.513282,30.075178
