OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Walgreens Pharmacy 07720,Pharmacy,,,,,"21106 KUYKENDAHL RD Spring, TX 77379",,30.0751782870722,-95.5132822514382,0,0,0,0,215,215,0,(281) 355-6325,https://www.walgreens.com/locator/walgreens-21106+kuykendahl+rd-spring-tx-77379/id=7720,,04/26/2021      ,22:05:50        ,,-95.513282,30.075178
2,Walgreens Pharmacy 05390,Pharmacy,,, Houston ,,8300 Wilcrest Dr,77072,30.0606886,-97.1600286,0,0,0,0,60,60,0,,,,04/26/2021      ,21:45:29        ,,-97.160029,30.060689
3,Walgreens Pharmacy 09601,Pharmacy,,,,,"3755 ATASCOCITA RD Humble, TX 77396",,29.9799175450852,-95.2182115691454,0,0,24,0,0,0,24,(281) 812-4778,https://www.walgreens.com/locator/walgreens-3755+atascocita+rd-humble-tx-77396/id=9601,,04/26/2021      ,08:13:52        ,,-95.218212,29.979918
4,Walgreens Pharmacy 03407,Other,,, Houston,,12550 Westheimer Rd,77077,29.7368689378278,-95.6035817013459,0,100,0,100,65,165,100,,,,04/23/2021      ,17:57:36        ,,-95.603582,29.736869
5,Super 1 Pharmacy 618,Pharmacy,,2610 Richmond Rd,Texarkana,Bowie,2610 Richmond Rd,75503,33.4584581448972,-94.0887693567612,0,46,0,46,39,85,46,(903) 832-2258,https://www.brookshires.com/covid-19-information,,04/26/2021      ,19:13:03        ,,-94.088769,33.458458
6,Brookshires Pharmacy 69,Pharmacy,,1400 E Main St,Midlothian,Ellis,1400 E Main St,76065,32.4741511803463,-96.9770790622464,0,0,0,0,190,190,0,(972) 775-6878,https://www.brookshires.com/covid-19-information,,04/25/2021      ,17:11:17        ,,-96.977079,32.474151
7,Brookshires Pharmacy 31,Pharmacy,,1224 N Pacific St,Mineola,Wood,1224 N Pacific St,75773,32.6765049075133,-95.4846478418841,0,100,0,0,0,100,0,(903) 569-5504,https://www.brookshires.com/covid-19-information,,04/26/2021      ,17:56:19        ,,-95.484648,32.676505
8,Brookshires Pharmacy 72,Pharmacy,,210 N Mccoy Blvd,New Boston,New Boston,210 N Mccoy Blvd,75570,33.4628308161455,-94.4083395574277,0,90,0,0,55,145,0,(903) 628-7459,https://www.brookshires.com/covid-19-information,,04/26/2021      ,18:15:50        ,,-94.40834,33.462831
9,Kroger Pharmacy 537,Pharmacy,,2061 Rufe Snow Dr,Keller,Tarrant,2061 Rufe Snow Dr,76248,32.8970886454438,-97.2384487638425,66,0,0,0,100,166,0,(817) 605-8728,http://www.kroger.com/stores/details/026/00537?cid=loc_02600537PP_gmb,,04/22/2021      ,08:05:00        ,,-97.238449,32.897089
10,Walgreens Pharmacy 03803,Other,,,,,"2141 N JOSEY LN Carrollton, TX 75006",,32.9726834761323,-96.8917308716891,0,260,0,0,100,360,0,(972) 323-5096,https://www.walgreens.com/locator/walgreens-2141+n+josey+ln-carrollton-tx-75006/id=3803,,04/26/2021      ,20:36:08        ,,-96.891731,32.972683
11,Walgreens Pharmacy 09023,Pharmacy,,,,,"901 S CROWLEY RD Crowley, TX 76036",,32.5648339888014,-97.3517511095788,0,180,0,0,100,280,0,(817) 297-1734,https://www.walgreens.com/locator/walgreens-901+s+crowley+rd-crowley-tx-76036/id=9023,,04/26/2021      ,09:07:06        ,,-97.351751,32.564834
12,Walgreens Pharmacy 05921,Pharmacy,,1050 E Us Highway 377,Granbury,Hood,1050 E Us Highway 377,76048,32.4351169506253,-97.7736362990801,0,80,0,0,0,80,0,(817) 578-3120,Walgreens.com/covid19vac,,04/26/2021      ,10:19:51        ,,-97.773636,32.435117
