OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,"The Children's Clinic of Dimmit and Zavala, P.A. - Location # 2",Medical Practice,,Veterans Avenue,Crystal City,Zavala,"1313 Veterans Avenue, Suite C",78839,28.68927,-99.8324966,0,50,0,50,100,830-374-4436,,,03/06/2021      ,19:48:48        ,-99.832497,28.68927
2,Kroger Pharmacy 950,Other,R,1600 N 16th St,Orange,Orange,"1600 N 16th St Orange, TX 77630",77630,30.1058,-93.7473,0,0,0,0,200,(409) 883-8521,,,03/02/2021      ,08:05:00        ,-93.7473,30.1058
3,Kroger Pharmacy 376,Pharmacy,,18518 Kuykendahl Rd,Spring,Harris,18518 Kuykendahl Rd,77379,30.0396447797883,-95.4879667668775,0,0,0,0,200,(281) 350-3591,http://www.kroger.com/stores/details/024/00376?cid=loc_02400376PP_gmb,,03/05/2021      ,20:49:56        ,-95.487967,30.039645
4,Kroger Pharmacy 375,Pharmacy,,11565 State Hwy 6 South,Sugar Land,Fort Bend,11565 State Hwy 6 South,77478,29.6480352510492,-95.6512821824848,0,0,0,0,200,(281) 340-1504,http://www.kroger.com/stores/details/034/00375?cid=loc_03400375PP_gmb,,03/02/2021      ,08:05:00        ,-95.651282,29.648035
5,Kroger Pharmacy 374,Pharmacy,,8550 Highway 6 N,Houston,Harris,8550 Highway 6 N,77095,29.9014360131237,-95.6315950097663,0,0,0,0,200,(281) 463-2409,http://www.kroger.com/stores/details/034/00374?cid=loc_03400374PP_gmb,,03/02/2021      ,08:05:00        ,-95.631595,29.901436
6,Kroger Pharmacy 373,Pharmacy,,2301 Rayford Rd,Spring,Montgomery,2301 Rayford Rd,77386,30.1229636790807,-95.4077471491917,0,0,0,0,200,(832) 813-0410,http://www.kroger.com/stores/details/011/00373?cid=loc_01100373PP_gmb,,03/06/2021      ,10:45:48        ,-95.407747,30.122964
7,Kroger Pharmacy 371,Pharmacy,,12222 Jones Road,Houston,Harris,12222 Jones Road,77070,29.951723995596,-95.5823509933345,0,0,0,0,200,(832) 912-7578,http://www.kroger.com/stores/details/034/00371?cid=loc_03400371PP_gmb,,03/07/2021      ,11:35:37        ,-95.582351,29.951724
8,Kroger Pharmacy 366,Pharmacy,,12434 State Highway 249,Houston,Harris,12434 State Highway 249,77086,29.9122039926761,-95.477890016268,0,0,0,0,200,(281) 272-0005,https://www.kroger.com/stores/details/034/00366?cid=loc_03400366_gmb,,03/07/2021      ,14:44:03        ,-95.47789,29.912204
9,Kroger Pharmacy 364,Pharmacy,,6060 Fm 2920 Rd,Spring,Harris,6060 Fm 2920 Rd,77379,30.07523,-95.516792,0,0,0,0,200,281-370-4110,,,03/07/2021      ,18:08:29        ,-95.516792,30.07523
10,Kroger Pharmacy 363,Pharmacy,,9919 Westheimer Elmside,Houston,Harris,9919 Westheimer Elmside,77042,29.7369941369336,-95.5446733327325,0,0,0,0,200,(713) 532-5858,http://www.kroger.com/stores/details/011/00363?cid=loc_01100363PP_gmb,,03/02/2021      ,08:05:00        ,-95.544673,29.736994
