OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Walgreens Pharmacy 05390,Pharmacy,,, Houston ,,8300 Wilcrest Dr,77072,30.0606886,-97.1600286,43,0,0,0,60,103,0,,,,05/02/2021      ,18:14:37        ,,-97.160029,30.060689
2,CANALES MEDICAL SERVICES LLC,Other,,, Rio Grande  ,Starr,2790 PHARMACY RD STE A,78582,26.3756318196355,-98.8588908918665,0,252,0,0,0,252,0,,,,05/03/2021      ,17:33:59        ,,-98.858891,26.375632
3,DSHS - Bowie County / Texarkana,Local Health Department,,902 W 12th Street,Texarkana,Bowie,902 W 12th Street,75501,33.428996132421,-94.0524188028893,0,100,0,0,290,390,0,(903) 798-3250,http://ci.texarkana.tx.us/391/Health,,05/03/2021      ,17:31:14        ,,-94.052419,33.428996
4,Sunrise Comprehensive Healthcare,Community Clinic,,,Houston,Harris,10603 Bellaire Blvd Suite B116,77072,29.7032616539677,-95.5679379136591,0,170,0,0,0,170,0,,,,05/03/2021      ,17:30:25        ,,-95.567938,29.703262
5,"PVD Urgent Care, LLC",Other,,"18007 W IH 10, STE 102",San Antonio,Bexar,"18007 W IH 10, San Antonio, TX, USA",78257,29.6552259,-98.6253011,500,0,0,0,0,500,0,,,,05/03/2021      ,13:22:47        ,,-98.625301,29.655226
6,Walgreens Pharmacy 21249,Other,,S Jackson St,Jacksonville,Cherokee,1329 S Jackson St,75766,31.9511254359953,-95.2635111434264,0,0,0,0,270,270,0,,,,05/03/2021      ,17:00:22        ,,-95.263511,31.951125
7,Medi Pro International Pharmacy,Pharmacy,,11811 FALLBROOK DR # B3 Houston 77065,Houston,Harris,11811 Fallbrook Dr,77065,29.9317,-95.41275,0,290,0,0,0,290,0,,,,05/03/2021      ,16:51:21        ,,-95.41275,29.9317
8,CARVAJAL PHARMACY LONG-TERM CARE,Federal Allocation,P,119 Huizar Rd,San Antonio,Bexar,"119 Huizar Rd, San Antonio, Texas 78214",78214,29.3576523409501,-98.4809232432958,0,88,0,39,0,88,39,210-922-9031,http://www.carvajalpharmacy.com/,,05/03/2021      ,00:00:00        ,,-98.480923,29.357652
9,Youens And Duchicela Clinic,Community Clinic,,402 Youens Dr,Weimar,Colorado,402 Youens Dr Weimar 78962,78962,29.6939322414999,-96.7879661863489,0,150,0,0,0,150,0,,,,04/29/2021      ,16:31:12        ,,-96.787966,29.693932
10,El Paso Health - American Renal Associates,Medical Practice,,,El Paso,El Paso,2400 N Oregon St Ste C,79902,31.7747313,-106.5044571,0,200,0,0,0,200,0,,,,04/29/2021      ,18:28:56        ,,-106.504457,31.774731
11,Phillips 66 Health Services Borger,Other,,Spur 119 North,Borger,Hutchinson,"State Highway 119 Spur, Borger, TX, USA",79008,35.6766805,-101.3954936,0,160,0,200,0,160,200,,,,05/03/2021      ,15:26:30        ,,-101.395494,35.676681
12,HILL REGIONAL HOSPITAL,Hospital,M,101 Circle Dr,Hillsboro,Hill,101 Circle Dr,76645,32.0122258374529,-97.0992588797115,108,340,0,1000,90,538,1000,(254) 580-8500,https://www.hillregionalhospital.com/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,,04/29/2021      ,13:46:08        ,,-97.099259,32.012226
13,GRAND PHARMACY,Federal Allocation,,3500 NE 24TH Ave,AMARILLO,Potter,"3500 NE 24th Ave, Amarillo, TX 79107",79107,35.2355631,-101.7991261,0,214,0,80,0,214,80,+18063507455,http://www.grandpharmacy.net/,,05/03/2021      ,00:00:00        ,,-101.799126,35.235563
14,CVS PHARMACY 10664,Federal Allocation,,,Montgomery,Montgomery,2180 Woodforest Parkway N.,77316,30.281,-95.57152,0,0,0,0,150,150,0,,,,05/03/2021      ,00:00:00        ,,-95.57152,30.281
15,CVS PHARMACY 6242,Federal Allocation,,6161 TELEPHONE RD,HOUSTON,HARRIS,6161 TELEPHONE RD HOUSTON 77087,77087,29.6766996998478,-95.2897355090646,0,0,0,0,155,155,0,,,,05/03/2021      ,00:00:00        ,,-95.289736,29.6767
16,Walmart Pharmacy 536,Federal Allocation,,1650 STATE HIGHWAY 351 ,ABILENE ,Taylor,1650 STATE HIGHWAY 351 ,79601,32.481,-99.69804,0,56,0,0,28,84,0,(325) 677-2191,,,05/03/2021      ,00:00:00        ,,-99.69804,32.481
17,CVS Pharmacy 10505,Federal Allocation,,2710 STATE HIGHWAY 24,COMMERCE,,2710 STATE HIGHWAY 24 COMMERCE 75428,75428,33.2370617025692,-95.9113367860573,0,0,0,0,190,190,0,903-886-0718,https://www.cvs.com/store-locator/cvs-pharmacy-address/2710+Highway+24-Commerce-TX-75428/storeid=10505?WT.mc_id=LS_GOOGLE_RX_10505,,05/03/2021      ,00:00:00        ,,-95.911337,33.237062
18,CVS PHARMACY 6817,Federal Allocation,,6548 Meadowbrook Dr,Fort Worth,Tarrant,6548 Meadowbrook Dr,76112,32.7453438,-97.219024,1076,0,780,0,0,1076,780,,,,05/03/2021      ,00:00:00        ,,-97.219024,32.745344
19,CVS PHARMACY 7162,Federal Allocation,,1003 Richmond Ave.,Houston,Harris,1003 Richmond Ave.,77006,29.7337423,-95.3937716,1040,0,778,0,0,1040,778,,,,05/03/2021      ,00:00:00        ,,-95.393772,29.733742
20,CVS Pharmacy 10667,Federal Allocation,,111 E. Hidalgo St.,Raymondville,Willacy,111 E. Hidalgo St.,78580,26.4821416639918,-97.7826076021498,1177,0,978,0,0,1177,978,,,,05/03/2021      ,00:00:00        ,,-97.782608,26.482142
21,CVS PHARMACY 5910,Federal Allocation,,4150 N. Shepherd,Houston,Harris,4150 N. Shepherd,77018,29.8271494641802,-95.4100072769649,394,0,271,0,0,394,271,,,,05/03/2021      ,00:00:00        ,,-95.410007,29.827149
22,CVS PHARMACY 526,Federal Allocation,,10550 W. Parmer Ln.,Austin,Williamson,10550 W. Parmer Ln.,78717,30.4977753,-97.7767707,783,0,440,0,0,783,440,,,,05/03/2021      ,00:00:00        ,,-97.776771,30.497775
23,CVS PHARMACY 7187,Federal Allocation,,,San Antonio,,17307 Bulverde Rd,78247,29.598924886361,-98.4188077876957,1142,0,825,0,0,1142,825,,,,05/03/2021      ,00:00:00        ,,-98.418808,29.598925
24,CVS PHARMACY 7271,Federal Allocation,,4580 Buffalo Gap Rd,Abilene,Taylor,4580 Buffalo Gap Rd,79606,32.3953179594209,-99.7629619290374,669,0,500,0,0,669,500,,,,05/03/2021      ,00:00:00        ,,-99.762962,32.395318
25,CVS PHARMACY 6752,Federal Allocation,,12502 Memorial Dr.,Houston,Harris,12502 Memorial Dr.,77024,29.7672284112913,-95.5506503613539,0,0,0,0,100,100,0,,,,05/03/2021      ,00:00:00        ,,-95.55065,29.767228
26,CVS Pharmacy 17014,Federal Allocation,,25901 State Highway 290,Cypress,Harris,25901 State Highway 290,77429,29.9700746,-95.6966462,0,120,0,0,0,120,0,,,,05/03/2021      ,00:00:00        ,,-95.696646,29.970075
27,Walmart Pharmacy 1073,Federal Allocation,,1710 Central Texas Expy ,Lampasas ,,1710 Central Texas Expy ,76550,31.06343,-98.15847,0,13,0,0,27,40,0,(512) 556-6333,,,05/03/2021      ,00:00:00        ,,-98.15847,31.06343
28,Walmart Pharmacy 1154,Federal Allocation,, E MAIN ST,Fredericksburg,Gillespie,1435 E MAIN ST FREDERICKSBURG 78624,78624,30.2552134986064,-98.8522995030193,0,53,0,0,53,106,0,,,,05/03/2021      ,00:00:00        ,,-98.8523,30.255213
29,Walmart Pharmacy 1178,Federal Allocation,,4101 HIGHWAY 121 ,BEDFORD ,Tarrant,4101 HIGHWAY 121 ,76021,32.86446,-97.10598,0,16,0,0,8,24,0,(817) 571-6222,,,05/03/2021      ,00:00:00        ,,-97.10598,32.86446
30,Walmart Pharmacy 158,Federal Allocation,, N State Highway 121,Bonham,Fannin County,2021 N State Highway 121 Bonham 75418,75418,33.5965967768298,-96.194634602311,0,0,0,0,120,120,0,,,,05/03/2021      ,00:00:00        ,,-96.194635,33.596597
31,Walmart Pharmacy 185,Federal Allocation,,Lawrence St,Gainesville,Cooke,1800 Lawrence St Gainesville 76240,76240,33.6457972798928,-97.1357801317474,0,0,0,0,155,155,0,(940) 665-2839,,,05/03/2021      ,00:00:00        ,,-97.13578,33.645797
32,Walmart Pharmacy 211,Federal Allocation,,401 Coke Ave ,Hillsboro ,Hill,401 Coke Ave ,76645,32.00445,-97.09933,0,76,0,0,76,152,0,(254) 582-7435,,,05/03/2021      ,00:00:00        ,,-97.09933,32.00445
33,Walmart Pharmacy 220,Federal Allocation,,,Burleson,Johnson,951 Sw Wilshire Blvd,76028,32.5279513138859,-97.3378586184133,0,27,0,0,27,54,0,,,,05/03/2021      ,00:00:00        ,,-97.337859,32.527951
34,Walmart Pharmacy 249,Federal Allocation,,HIGHWAY 59 ,Cleveland,Liberty,831 HIGHWAY 59 S CLEVELAND 77327,77327,30.3337579425024,-95.0980722165095,0,53,0,0,53,106,0,(281) 592-2636,,,05/03/2021      ,00:00:00        ,,-95.098072,30.333758
35,Walmart Pharmacy 2649,Federal Allocation,,1635 MARKET PL, IRVING ,Dallas,1635 MARKET PL IRVING 75063,75063,32.920595,-96.967659,0,40,0,0,40,80,0,(214) 574-4522,,,05/03/2021      ,00:00:00        ,,-96.967659,32.920595
36,Walmart Pharmacy 266,Federal Allocation,,W STATE HIGHWAY 114,GRAPEVINE,Tarrant,1601 W STATE HIGHWAY 114 GRAPEVINE 76051,76051,32.9309710959905,-97.1011031590159,0,20,0,0,10,30,0,(817) 488-6682,,,05/03/2021      ,00:00:00        ,,-97.101103,32.930971
37,WALMART PHARMACY  2991,Federal Allocation,,,CEDAR PARK,Williamson,201 WALTON WAY # 1,78613,30.522432,-97.834501,0,51,0,0,51,102,0,512-528-8794,,,05/03/2021      ,00:00:00        ,,-97.834501,30.522432
38,WALMART PHARMACY  3169,Federal Allocation,,,Manor,Travis,"11923 Us Hwy 290 E, ",78653,30.347903,-97.544209,0,30,0,0,10,40,0,512-651-9100,,,05/03/2021      ,00:00:00        ,,-97.544209,30.347903
39,Walmart Pharmacy 3518,Federal Allocation,,,Laredo ,Webb,2320 Bob Bullock Loop ,78043,27.518514,-99.451662,0,0,0,0,75,75,0,(956) 791-0559,,,05/03/2021      ,00:00:00        ,,-99.451662,27.518514
40,Walmart Pharmacy 353,Federal Allocation,, State Highway 16,Graham,Young,2121 State Highway 16 S Graham 76450,76450,33.0824902987071,-98.5808798606018,0,0,0,0,90,90,0,,,,05/03/2021      ,00:00:00        ,,-98.58088,33.08249
41,Walmart Pharmacy 3631,Federal Allocation,,,Crowley,,1221 Fm 1187 E,76036,32.5772405288827,-97.3388023588871,0,42,0,0,42,84,0,,,,05/03/2021      ,00:00:00        ,,-97.338802,32.577241
42,Walmart Pharmacy 3645,Federal Allocation,,200 W INTERSTATE 20, MIDLAND ,Midland,200 W INTERSTATE 20 MIDLAND 79701,79701,31.974778,-102.070378,0,68,0,0,68,136,0,,,,05/03/2021      ,00:00:00        ,,-102.070378,31.974778
43,Walmart Pharmacy 371,Federal Allocation,,E HIGHWAY 377,Granbury,Hood,735 E HIGHWAY 377 GRANBURY 76048,76048,32.4323413546405,-97.7807286299365,0,18,0,0,36,54,0,,,,05/03/2021      ,00:00:00        ,,-97.780729,32.432341
44,Walmart Pharmacy 400,Federal Allocation,,,CONROE,,1407 N LOOP 336 W,77304,30.3316828058919,-95.4792557031419,0,0,0,0,251,251,0,,,,05/03/2021      ,00:00:00        ,,-95.479256,30.331683
45,WALMART PHARMACY 404,Federal Allocation,,,SAN MARCOS,,1015 HIGHWAY 80,78666,29.8837205283572,-97.9120935878119,0,20,0,0,20,40,0,,,,05/03/2021      ,00:00:00        ,,-97.912094,29.883721
46,Walmart Pharmacy 421,Federal Allocation,,,Decatur,Wise,800 S Us Hwy 81/287,76234,33.230547506,-97.595294899,0,37,0,0,37,74,0,,,,05/03/2021      ,00:00:00        ,,-97.595295,33.230548
47,Walmart Pharmacy 4279,Federal Allocation,,400 N Highway 67 ,Midlothian ,Ellis,400 N Highway 67 ,76065,32.48607,-97.00614,0,20,0,0,10,30,0,(972) 775-4708,,,05/03/2021      ,00:00:00        ,,-97.00614,32.48607
48,Walmart Pharmacy 447,Federal Allocation,,, DEL RIO,Val Verde,2410 DODSON AVE,78840,29.391208649,-100.908195496,0,70,0,0,35,105,0,(830) 775-6995,,,05/03/2021      ,00:00:00        ,,-100.908195,29.391209
49,Walmart Pharmacy 470,Federal Allocation,,,Corpus Christi ,Nueces,1821 S Padre Island Dr ,78416,27.737968,-97.438916,0,20,0,0,40,60,0,,,,05/03/2021      ,00:00:00        ,,-97.438916,27.737968
50,Walmart Pharmacy 5080,Federal Allocation,,,HURST,Tarrant,1732 PRECINCT LINE RD,76054,32.847162,-97.183888,0,23,0,0,11,34,0,(817) 503-7731,,,05/03/2021      ,00:00:00        ,,-97.183888,32.847162
51,Walmart Pharmacy 5316,Federal Allocation,,1401 N SAGINAW BLVD,SAGINAW ,Tarrant,1401 N SAGINAW BLVD SAGINAW 76179,76179,32.882457,-97.386901,0,20,0,0,10,30,0,,,,05/03/2021      ,00:00:00        ,,-97.386901,32.882457
52,Walmart Pharmacy 5416,Federal Allocation,,,Arlington,Tarrant,915 E Randol Mill Rd,76011,32.7512275158604,-97.095298801209,0,13,0,0,6,19,0,,,,05/03/2021      ,00:00:00        ,,-97.095299,32.751228
