OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,"Tesoro Medical Care., P.A.",Medical Practice,,101 W Village Blvd A,Laredo,Webb,"101 W Village Blvd A, Laredo, TX 78041",78041,27.56567,-99.49793,0,240,0,240,(956) 727-2997,,,04/10/2021      ,08:20:42        ,-99.49793,27.56567
2,"Remedi SeniorCare of Dallas, LLC",Federal Allocation,,2700 Research Drive,Plano,Collin,2700 Research Drive,75074,,,0,0,300,300,,,,04/13/2021      ,06:27:48        ,,
3,BRUCES PHARMACY,Pharmacy,,6001 39th St,Groves,Jefferson,6001 39th Street,77619,29.9450846,-93.9221114,0,70,0,70,(409) 962-4431,,,04/13/2021      ,06:08:17        ,-93.922111,29.945085
4,Walgreens Pharmacy 07775,Pharmacy,,,,,"560 RAYFORD RD Spring, TX 77386",,30.1266058426865,-95.4343238728873,0,40,0,40,(281) 298-0040,https://www.walgreens.com/locator/walgreens-560+rayford+rd-spring-tx-77386/id=7775,,04/12/2021      ,22:11:08        ,-95.434324,30.126606
5,Walgreens Pharmacy 03696,Pharmacy,,,Sugar Land,,4711 SWEETWATER BLVD,77479,29.5853552061569,-95.6152700031419,0,0,100,100,(281) 980-6304,https://www.walgreens.com/locator/walgreens-4711+sweetwater+blvd-sugar+land-tx-77479/id=3696,,04/11/2021      ,21:46:48        ,-95.61527,29.585355
6,Walgreens Pharmacy 11513,Pharmacy,,,,,"5011 W SLAUGHTER LN Austin, TX 78749",,30.1990544889205,-97.8634390797613,0,0,100,100,(512) 292-1340,https://www.walgreens.com/locator/walgreens-5011+w+slaughter+ln-austin-tx-78749/id=11513,,04/06/2021      ,15:12:45        ,-97.863439,30.199054
7,Walgreens Pharmacy 06821,Other,,,MEADOWS PLACE ,,11675 W Airport Blvd ,77477,29.6472186924797,-95.5815795471798,0,0,55,55,,,,04/12/2021      ,21:03:24        ,-95.58158,29.647219
8,Walgreens Pharmacy 07251,Pharmacy,,, Houston ,,11038 Westheimer Rd,77042,,,0,0,70,70,,,,04/12/2021      ,21:02:34        ,,
9,Walgreens Pharmacy 11646,Pharmacy,,,,,"4585 RESEARCH FOREST DR The Woodlands, TX 77381",,30.1838220945449,-95.4876479256348,0,0,100,100,(281) 465-0548,https://www.walgreens.com/locator/walgreens-4585+research+forest+dr-the+woodlands-tx-77381/id=11646,,04/08/2021      ,19:30:35        ,-95.487648,30.183822
10,Walgreens Pharmacy 10613,Pharmacy,,,,,"32320 STATE HIGHWAY 249 Pinehurst, TX 77362",,30.1337749654008,-95.6533151880361,0,0,160,160,(832) 934-0415,https://www.walgreens.com/locator/walgreens-32320+state+highway+249-pinehurst-tx-77362/id=10613,,04/12/2021      ,20:02:56        ,-95.653315,30.133775
11,Walgreens Pharmacy 07964,Pharmacy,,,,,"5204 N NAVARRO ST Victoria, TX 77904",,28.8435372447648,-96.9993728815118,30,0,85,115,(361) 576-5238,https://www.walgreens.com/locator/walgreens-5204+n+navarro+st-victoria-tx-77904/id=7964,,04/12/2021      ,19:59:54        ,-96.999373,28.843537
12,Walgreens Pharmacy 03224,Pharmacy,,,,,"6901 SAN PEDRO AVE San Antonio, TX 78216",,29.5059290407028,-98.5006285879054,0,0,140,140,(210) 349-9809,https://www.walgreens.com/locator/walgreens-6901+san+pedro+ave-san+antonio-tx-78216/id=3224,,04/12/2021      ,19:49:19        ,-98.500629,29.505929
13,Walgreens Pharmacy 06715,Pharmacy,,W UNIVERSITY BLVD, Odessa,odessa,"1305 W UNIVERSITY BLVD Odessa, TX 79764",79764,31.8645123752942,-102.397163582645,0,0,100,100,(432) 580-0166,https://www.walgreens.com/locator/walgreens-1305+w+university+blvd-odessa-tx-79764/id=6715,,04/12/2021      ,19:49:44        ,-102.397164,31.864512
14,HealthQuest Infusion Services,Pharmacy,,1311 West Sam Houston Pkwy N,Houston,Harris,"1311 West Sam Houston Pkwy N, Ste #100",77043,29.7949547,-95.5645993,0,40,320,360,(832) 612-3500,vaccines@hqrx.com,,04/12/2021      ,19:01:24        ,-95.564599,29.794955
15,"Emergency Hospital Systems, LLC",Vaccine Hub,,,Cleveland,Liberty,300 E. Crockett Street,77327,30.3419162,-95.085492,3150,0,0,3150,281-592-5410     281-592-5400,www.emergencyhospitals.care,,04/12/2021      ,19:16:24        ,-95.085492,30.341916
16,"Remedi SeniorCare of Houston, LLC",Federal Allocation,,16601 Central Green Blvd,Suite Houston,Harris,16601 CENTRAL GREEN BLVD STE 300 Houston 77032,77032,29.9607708712983,-95.377593440217,0,0,475,475,,,,04/12/2021      ,19:03:15        ,-95.377593,29.960771
17,Walgreens Pharmacy 03571,Pharmacy,,,Shavano Park,,14505 NW MILITARY HWY,8231,29.5772221386899,-98.5213780484406,0,0,5,5,(210) 408-1019,https://www.walgreens.com/locator/walgreens-14505+nw+military+hwy-shavano+park-tx-78231/id=3571,,04/12/2021      ,18:13:39        ,-98.521378,29.577222
18,El Paso Pulmonary Association West,Medical Practice,,4305 N Mesa St,El Paso,El Paso,4305 N Mesa St Ste A,79902,31.7973560010071,-106.511277419753,0,0,25,25,(915) 532-2477,http://www.elpasopulmonary.com/,,04/12/2021      ,16:47:44        ,-106.511277,31.797356
19,Lifecare Pharmacy - San Antonio,Pharmacy,,315 N San Saba,San Antonio,Bexar,"315 North San Saba, San Antonio, TX, USA",78207,29.4278921,-98.5001541,0,0,44,44,,,,04/12/2021      ,17:28:25        ,-98.500154,29.427892
20,Walgreens Pharmacy 03691,Pharmacy,,,,,"20500 FM 529 RD Cypress, TX 77433",,29.8802505077305,-95.7243499331805,0,0,130,130,(281) 859-2106,https://www.walgreens.com/locator/walgreens-20500+fm+529+rd-cypress-tx-77433/id=3691,,04/12/2021      ,20:51:08        ,-95.72435,29.880251
21,Lifecare of Brownfield LLC,Other,,706 E Felt Street,Brownfield,,706 E FELT ST Brownfield 79316,79316,33.18707,-102.26705,0,0,10,10,,,,04/12/2021      ,08:48:37        ,-102.26705,33.18707
22,Walgreens Pharmacy 04013,Pharmacy,,18207 Midway Rd,Dallas,Denton,18207 Midway Rd,75287,32.9976170011785,-96.8439582627473,0,0,155,155,(972) 307-7556,https://www.walgreens.com/locator/walgreens-18207+midway+rd-dallas-tx-75287/id=4013,,04/11/2021      ,18:26:05        ,-96.843958,32.997617
23,Kroger Pharmacy 990,Pharmacy,,1215 North St,Nacogdoches,Nacogdoches,1215 North St,75961,31.6141083192146,-94.6530319539146,90,20,0,110,(936) 569-9884,http://www.kroger.com/stores/details/035/00990?cid=loc_03500990PP_gmb,,04/07/2021      ,08:05:00        ,-94.653032,31.614108
24,South San Medical Building Pharmacy,Federal Allocation,,919 Sw Military #105,San Antonio,Bexar,919 SW MILITARY DR STE 105 San Antonio 78221,78221,29.3573408602269,-98.5065760035534,0,0,215,215,,,,04/12/2021      ,17:36:43        ,-98.506576,29.357341
25,Walgreens Pharmacy 10477,Pharmacy,,Shadow Creek Pkwy,Pearland,Brazoria,11633 Shadow Creek Pkwy,77584,29.580059178791,-95.3990747011571,0,0,100,100,,,,04/08/2021      ,08:34:07        ,-95.399075,29.580059
26,Walgreens Pharmacy 16261,Pharmacy,,,,,"6486 WEST LITTLE YORK RD Houston, TX 77091",,29.8662862624904,-95.4863780335113,0,0,110,110,(713) 957-8185,https://www.walgreens.com/locator/walgreens-6486+west+little+york+rd-houston-tx-77091/id=16261,,04/12/2021      ,22:28:18        ,-95.486378,29.866286
27,Walgreens Pharmacy 10787,Pharmacy,,,,,"12352 FM 1957 San Antonio, TX 78253",,29.4294491974201,-98.7387584558527,0,0,50,50,(210) 679-0130,https://www.walgreens.com/locator/walgreens-12352+fm+1957-san+antonio-tx-78253/id=10787,,04/12/2021      ,17:13:17        ,-98.738758,29.429449
28,Walgreens Pharmacy 15226,Pharmacy,,,,,"255 WESTLAKE PARK BLVD Houston, TX 77079",,29.7817109903309,-95.6298917356005,0,0,140,140,(281) 496-1751,https://www.walgreens.com/locator/walgreens-255+westlake+park+blvd-houston-tx-77079/id=15226,,04/12/2021      ,17:33:45        ,-95.629892,29.781711
29,Walgreens Pharmacy 21256,Pharmacy,,,,,"8000 DOMINION PKWY Plano, TX 75024",,33.0832436205029,-96.8040521956511,0,0,133,133,(469) 476-3344,https://www.walgreens.com/locator/walgreens-8000+dominion+pkwy-plano-tx-75024/id=21256,,04/09/2021      ,17:29:56        ,-96.804052,33.083244
30,Walgreens Pharmacy 03570,Pharmacy,,,,,"890 N RESLER DR El Paso, TX 79912",,31.8589612078799,-106.558045873761,0,0,120,120,(915) 584-1359,https://www.walgreens.com/locator/walgreens-890+n+resler+dr-el+paso-tx-79912/id=3570,,04/12/2021      ,07:16:53        ,-106.558046,31.858961
