OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,ROLLING PLAINS MEMORIAL HOSPITAL,Hospital,D,200 East Arizona,Sweetwater,Nolan,200 East Arizona,79556,32.4539752688508,-100.397605756483,0,450,0,370,0,450,370,(325) 235-2030,https://www.rpmh.net/home-health/,,04/23/2021      ,12:38:27        ,,-100.397606,32.453975
2,DSHS - Mineral Wells,Local Health Department,,4113 Highway 180 E,Mineral Wells,Palo Pinto,4113 Highway 180 E,76067,32.8107474990242,-98.0704999240445,0,500,0,100,0,500,100,(940) 325-7844,,,04/23/2021      ,15:48:02        ,,-98.0705,32.810747
3,South Plains Rural Health Services Inc,Community Clinic,,1000 Fm 300,Levelland,Hockley,1000 Fm 300,79336,33.5719943761694,-102.380041611558,0,0,0,0,100,100,0,(806) 894 7842,https://www.sprhs.org/?utm_source=gmb_auth,,04/22/2021      ,17:08:20        ,,-102.380042,33.571994
4,Walgreens Pharmacy 04538,Pharmacy,,,,,"1180 CLEAR LAKE CITY BLVD Houston, TX 77062",,29.5808335214013,-95.1556571860489,0,0,0,0,45,45,0,(281) 218-0184,https://www.walgreens.com/locator/walgreens-1180+clear+lake+city+blvd-houston-tx-77062/id=4538,,04/23/2021      ,15:00:58        ,,-95.155657,29.580834
5,El Centro De Corazon Magnolia Clinic,Community Clinic,,Capitol St,Houston,Harris ,7037 Capitol St suite 100,77011,29.7345052,-95.301021,0,100,0,0,200,300,0,,,,04/21/2021      ,09:30:38        ,,-95.301021,29.734505
6,Family Care Clinic of Panhandle,Medical Practice,A,102 Hwy 60,PANHANDLE,Carson,PO BOX 10,79068,35.3399643187129,-101.376587823674,0,1000,0,60,0,1000,60,(806) 532-2273,http://www.familycarepanhandle.com/,,04/20/2021      ,07:39:49        ,,-101.376588,35.339964
7,Family Care Clinic Of Bushland,Medical Practice,,1600 S Fm 2381,Amarillo,Potter,1600 S Fm 2381,79124,35.1963033178804,-102.063955097489,0,150,0,0,0,150,0,(806) 310-9855,http://www.familycarepanhandle.com/,,04/20/2021      ,07:37:56        ,,-102.063955,35.196303
8,"Lehealth, Llc - Cleveland",Medical Practice,,,Cleveland ,,210 E HOUSTON ST,77327,30.3415478417389,-95.0866939544597,0,190,0,0,0,190,0,,,,04/23/2021      ,14:51:19        ,,-95.086694,30.341548
9,UT Health San Antonio Wellness 360,Vaccine Hub,,7703 Floyd Curl Dr,San Antonio,Bexar,7703 Floyd Curl Dr,78229,29.5070900160387,-98.5759039589092,5000,2050,3000,0,3440,10490,3000,210-567-2788,https://wellness360.uthealthsa.org/,,04/22/2021      ,16:17:40        ,,-98.575904,29.50709
10,Certified Allergy & Asthma Of San Antonio,Medical Practice,,8285 Fredericksburg Rd,San Antonio ,Bexar,8285 Fredericksburg Rd San Antonio 78229,78229,29.516464,-98.572527,0,200,0,0,0,200,0,210-614-3923,,,04/23/2021      ,03:57:28        ,,-98.572527,29.516464
