OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Walgreens Pharmacy 03911,Pharmacy,,2001 Custer Rd,Plano,Collin,2001 Custer Rd,75075,33.0270246151029,-96.733741013675,2,0,0,0,110,112,0,(972) 599-1901,https://www.walgreens.com/locator/walgreens-400+us+route+1-york-me-03909/id=19796,,05/20/2021      ,21:28:54        ,,-96.733741,33.027025
2,Walgreens Pharmacy 06821,Other,,,MEADOWS PLACE ,,11675 W Airport Blvd ,77477,29.6472186924797,-95.5815795471798,36,0,0,0,0,36,0,,,,05/20/2021      ,21:06:06        ,,-95.58158,29.647219
3,Walgreens Pharmacy 06734,Pharmacy,,,,,"3921 W PARMER LN Austin, TX 78727",,30.4245662062691,-97.7141298968557,6,189,6,189,35,230,195,(512) 832-1092,https://www.walgreens.com/locator/walgreens-3921+w+parmer+ln-austin-tx-78727/id=6734,,05/20/2021      ,21:01:28        ,,-97.71413,30.424566
4,Walgreens Pharmacy 07251,Pharmacy,,, Houston ,,11038 Westheimer Rd,77042,29.7376948162122,-95.5713272030007,0,470,0,0,60,530,0,,,,05/20/2021      ,20:48:39        ,,-95.571327,29.737695
5,Walgreens Pharmacy 07963,Pharmacy,,,,,"2906 HOUSTON HWY Victoria, TX 77901",,28.8127756126209,-96.9735039367591,5196,150,0,0,0,5346,0,(361) 576-5458,https://www.walgreens.com/locator/walgreens-2906+houston+hwy-victoria-tx-77901/id=7963,,05/20/2021      ,20:28:44        ,,-96.973504,28.812776
6,Walgreens Pharmacy 04538,Pharmacy,,,,,"1180 CLEAR LAKE CITY BLVD Houston, TX 77062",,29.5808335214013,-95.1556571860489,0,440,0,0,5,445,0,(281) 218-0184,https://www.walgreens.com/locator/walgreens-1180+clear+lake+city+blvd-houston-tx-77062/id=4538,,05/20/2021      ,19:50:53        ,,-95.155657,29.580834
7,CURE RX LLC,Pharmacy,,3990 Lakeway Dr. Suite 109,ST PAUL,Collin,3990 Lakeway Dr Suite 109,75098,33.0485182,-96.56933,0,170,0,0,0,170,0,,,,05/20/2021      ,19:33:08        ,,-96.56933,33.048518
8,Mlk Health Center Houston,Other,,3550 Swingle Rd ,Houston,HARRIS,"3550 Swingle Rd, Houston, texas 77047",77047,29.61994,-95.366837,0,0,0,0,580,580,0,,,,04/29/2021      ,11:02:12        ,,-95.366837,29.61994
9,Saenz Medical Center,Medical Practice,,1000 E Exp 83,La Joya,Hidalgo,1000 E Exp 83,78560,26.2455064599612,-98.4599830761832,0,0,0,0,195,195,0,(956) 585-1688,http://www.saenzmedicalcenter.com/,,05/20/2021      ,18:20:18        ,,-98.459983,26.245506
10,El Paso Pulmonary Association West,Medical Practice,,4305 N Mesa St,El Paso,El Paso,4305 N Mesa St Ste A,79902,31.7973560010071,-106.511277419753,0,770,0,0,50,820,0,(915) 532-2477,http://www.elpasopulmonary.com/,,05/20/2021      ,16:55:34        ,,-106.511277,31.797356
