OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Walgreens Pharmacy 07720,Pharmacy,,,,,"21106 KUYKENDAHL RD Spring, TX 77379",,30.0751782870722,-95.5132822514382,0,0,0,0,215,215,0,(281) 355-6325,https://www.walgreens.com/locator/walgreens-21106+kuykendahl+rd-spring-tx-77379/id=7720,,04/27/2021      ,22:00:25        ,,-95.513282,30.075178
2,Walgreens Pharmacy 05390,Pharmacy,,, Houston ,,8300 Wilcrest Dr,77072,30.0606886,-97.1600286,30,0,0,0,60,90,0,,,,04/27/2021      ,21:55:47        ,,-97.160029,30.060689
3,Walgreens Pharmacy 04538,Pharmacy,,,,,"1180 CLEAR LAKE CITY BLVD Houston, TX 77062",,29.5808335214013,-95.1556571860489,0,72,0,0,0,72,0,(281) 218-0184,https://www.walgreens.com/locator/walgreens-1180+clear+lake+city+blvd-houston-tx-77062/id=4538,,04/25/2021      ,18:21:39        ,,-95.155657,29.580834
4,Coppell Associates in Family Medicine,Medical Practice,,848 S Denton Tap Rd,Coppell,Dallas,"848 South Denton Tap Road, Coppell, TX, USA",75019,32.9500281,-96.9926085,0,200,0,0,0,200,0,972-393-5559,,,04/26/2021      ,12:09:25        ,,-96.992608,32.950028
5,Walgreens Pharmacy 07187,Pharmacy,,,,,"6721 S CONGRESS AVE Austin, TX 78745",,30.1921799171315,-97.7782654485063,72,0,0,0,0,72,0,(512) 707-8245,https://www.walgreens.com/locator/walgreens-6721+s+congress+ave-austin-tx-78745/id=7187,,04/27/2021      ,20:31:02        ,,-97.778265,30.19218
6,BETHESDA FAMILY PRACTICE,Medical Practice,,S. Stemmons Fwy,Lewisville,,873 S STEMMONS FWY STE 100100,75067,33.0366694510152,-97.0027245735977,0,50,0,0,0,50,0,,,,04/27/2021      ,09:24:33        ,,-97.002725,33.036669
7,LC PHARMA OF UVALDE,Federal Allocation,,1001 East Main St,Uvalde,Uvalde,1001 East Main St,78802,29.2151634,-99.7722399,0,270,0,0,100,370,0,830-591-2014,,,04/27/2021      ,17:29:32        ,,-99.77224,29.215163
8,Walgreens Pharmacy 03696,Pharmacy,,,Sugar Land,,4711 SWEETWATER BLVD,77479,29.5853552061569,-95.6152700031419,54,0,0,0,100,154,0,(281) 980-6304,https://www.walgreens.com/locator/walgreens-4711+sweetwater+blvd-sugar+land-tx-77479/id=3696,,04/27/2021      ,20:27:33        ,,-95.61527,29.585355
9,Luparello's Corner Pharmacy,Pharmacy,,,Beaumont,,3570 FANNETT RD,77705,30.0519191983312,-94.1194412687024,0,180,0,10,0,180,10,(281) 689-7700,,,04/27/2021      ,17:01:07        ,,-94.119441,30.051919
10,Women's And Men's Health Services of the Coastal Bend,Community Clinic,,4410 Dillon Ln,Corpus Christi,Nueces,"4410 Dillon Ln, Corpus Christi, TX, USA",78415,27.7478916,-97.42146,0,80,0,0,0,80,0,,,,04/27/2021      ,08:35:13        ,,-97.42146,27.747892
