NAME,UFID,TYPE,TSA,PHONE,EMAIL,STREET,CITY,COUNTY,LATITUDE,LONGITUDE,LAST_UPDATE,PFIZER_DEPOSITS,PFIZER_ADMIND,PFIZER_WASTED,PFIZER_AVAILABLE,PFIZER_ALLOCATED,MODERNA_DEPOSITS,MODERNA_ADMIND,MODERNA_WASTED,MODERNA_AVAILABLE,MODERNA_ALLOCATED,VACCINES_DEPOSITS,VACCINES_ADMIND,VACCINES_WASTED,VACCINES_AVAILABLE,VACCINES_ALLOCATED,RECEIVED_VACCINE,RECEIVED_VACCINE_AMOUNT,RECEIVED_VACCINE_DATE,VACCINE_POC_TITLE,VACCINE_CHECK,VACCINE_PROGRAM_START_DATE,VACCINE_PROGRAM_COMPLETE_DATE,VACCINE_STORAGE,VACCINE_PRIORITY,VACCINE_POC,VACCINE_POC_CELL,VACCINE_EMAIL,VACCINE_247_POC,VACCINE_ENTITY_SHARE,VACCINE_OTHER_ENTITY_SHARE,VACCINE_POC_OFFICE,VACCINE_POC_BACKUP,FIELD_1,FIELD_2,FIELD_3,FIELD_4,ObjectId
North Texas Infectious Diseases Consultants ,25170969,Infusion Center,,214-2765639,Shannon.bertrand@ntidc.org,3409 Worth St,Dallas,Dallas,32.7886704,-96.7798097,1609912800000,0,60,489,489,,0,0,0,0,,0,60,489,489,,,1950,1608184800000,Pharmacy Director,Yes,1608184800000,1612159200000,Ultra cold freezer,Group 1A Health care employees,Shannon Bertrand,(903) 647-0814,shannon.bertrand@ntidc@org,(214) 276-5617,,No,(214) 276-5639,Amy Guftason,,,,,1
UTSW-WILLIAM P. CLEMENTS JR. UNIVERSITY,4409,Hospital,E,214-645-8321,derek.trabon@utsouthwestern.edu,6201 Harry Hines Blvd, Dallas,Dallas,32.817851,-96.844782,1609912800000,2340,5824,17854,1318,,380,2083,0,170,,2720,7907,17854,1488,,,975,,Dir Pharmacy,Yes,,,Ultra cold,All staff members,Brad Osburg,903-452-1366,bradley.osburg@longviewregioinal.com,,,,903-232-3651,Keith Ellison,,,,,2
"MADISON ST. JOSEPH, MADISONVILLE",11717,Hospital,N,936-204-4649,,, Madisonville,Madison,30.94248,-95.9105,1609912800000,0,0,0,0,,0,10,0,70,,0,10,0,70,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,,,VP Venita,,vpapillion3@stlukeshealth.org,,,,832-537-2698,,,,,,3
CHRISTUS ST. ELIZABETH HOSPITAL,7862,Hospital,R,409-236-6918,misty.dantin@christushealth.org,2830 Calder St, Beaumont,Jefferson,30.085576,-94.131292,1609912800000,3550,5,5495,1950,,900,0,0,300,,4450,5,5495,2250,,,975,1608271200000,,Yes,1608357600000,1608789600000,Ultra cold freezer,"Front line nurses/ER/Drs, Nurses, Staff",Santosh Kalathra,409-466-8688,santosh.kalathra@christushealth.org,409-466-8688,"yes, Ortho, Jasper Memorial, Christus St Mary Outpatient",no,409-236-8528,Tommy Welch,,,,,4
BAYLOR SCOTT WHITE MC - FRISCO,13997,Hospital,E,214-865-4392,marisa.valdes@bswhealth.org,5601 Warren Parkway, Frisco,Collin,33.105276,-96.838017,1609912800000,0,0,0,0,,0,490,0,1290,,0,490,0,1290,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,freezers,Staff and employees,Marisa Valdes,,marisa.valdes@bswhealth.org,,,,214-865-4392,,,,,,5
CHRISTUS SPOHN KLEBERG,11500,Hospital,U,469-282-0719,justin.simon@christushealth.org,1311 East General Cavazos Boulevard, Kingsville,Kleberg,27.491449,-97.847583,1609912800000,0,0,0,0,,0,202,0,0,,0,202,0,0,,,0,1609221600000,Pharmacy Manager,Yes,1609308000000,1609999200000,Freezers,medical staff/ nursing and patients facing staff and nonessential staff and remote workers,Landon Current,361-595-9771,Landon.Current@christushealth.org,469-282-0719,,no,361-881-6361,Justin Simon,,,,,6
FALLS COMMUNITY HOSPITAL,13228,Hospital,M,254-803-3561 ext. 2261,tjohnson@fallshospital.com,322 Coleman Street, Marlin,Falls,31.307442,-96.894062,1609826400000,0,0,0,0,,100,100,0,0,,100,100,0,0,,,0,,,Yes,,,,,,254-803-3561,tjohnson@fallshospital.com,,,,,,,,,,7
LIMESTONE MEDICAL CENTER,12962,Hospital,M,254-729-3281,jwragge@lmchospital.com,701 McClintic Dr, Groesbeck,Limestone,31.53188,-96.529655,1609912800000,0,0,0,0,,400,30,0,370,,400,30,0,370,,,400,1609308000000,RN,Yes,-2208880800000,-2208880800000,Freezer,Tier program,Correy Tunnell,,Ctunnell@lmchospital.com,,,Yes,254-729-3281 ex2281,sdoyle@lmchospital.com,,,,,8
Allen Fire Department,30038741,Other,,214-509-4402,dwilliams@cityofallen.org,310 Century Pkwy,Allen,Collin,33.0991682,-96.6752143,1609912800000,0,0,0,0,,200,200,0,0,,200,200,0,0,,,200,,Chief,Yes,,,,,Danny Williams,,dwilliams@cityofallen.org,,,,214-5707-4402,,,,,,9
MOORE COUNTY HOSPITAL DISTRICT,12740,Hospital,A,806-934-7847,kgalloway@mchd.net,224 E 2nd St, Dumas,Moore,35.86417,-101.971831,1609912800000,0,0,0,0,,300,104,0,200,,300,104,0,200,,,200,1608789600000,,Yes,1609308000000,1609826400000,No fizer so no freezer needed maderna,Tier program being followed,Shelly Brown,,shelly.brown@christushealth.org, 806-935-7171 ex 22400,,Nursing home,(903) 614-2007,Kelly Galloway,,,,,10
