NAME,UFID,TYPE,TSA,PHONE,EMAIL,STREET,CITY,COUNTY,LATITUDE,LONGITUDE,LAST_UPDATE,PFIZER_DEPOSITS,PFIZER_ADMIND,PFIZER_WASTED,PFIZER_AVAILABLE,PFIZER_ALLOCATED,MODERNA_DEPOSITS,MODERNA_ADMIND,MODERNA_WASTED,MODERNA_AVAILABLE,MODERNA_ALLOCATED,VACCINES_DEPOSITS,VACCINES_ADMIND,VACCINES_WASTED,VACCINES_AVAILABLE,VACCINES_ALLOCATED,RECEIVED_VACCINE,RECEIVED_VACCINE_AMOUNT,RECEIVED_VACCINE_DATE,VACCINE_POC_TITLE,VACCINE_CHECK,VACCINE_PROGRAM_START_DATE,VACCINE_PROGRAM_COMPLETE_DATE,VACCINE_STORAGE,VACCINE_PRIORITY,VACCINE_POC,VACCINE_POC_CELL,VACCINE_EMAIL,VACCINE_247_POC,VACCINE_ENTITY_SHARE,VACCINE_OTHER_ENTITY_SHARE,VACCINE_POC_OFFICE,VACCINE_POC_BACKUP,FIELD_1,FIELD_2,FIELD_3,FIELD_4,ObjectId
Family Practice Associates,25011554,Nursing Home,,,,220 Wesley Drive,Kerrville,Kerr,30.042529,-99.15152,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,1609826400000,RMA,Yes,1609912800000,1612072800000,Freezer,By going through phase A healthcare workers and then moving on to phase B which is 65 and older,Yoanna Ibarra,,yibarra@fpa-docs.com,,,no,830-896-4711,Joann Posada,,,,,1
Family Pharmacy,25204504,Pharmacy,C,,,1720 Hillcrest Dr,Vernon,Wilbarger,34.142094,-99.29649,1609999200000,0,0,0,0,,0,32,0,20,,0,32,0,20,,,0,-2208967200000,,Yes,-2208967200000,-2208967200000,,,,,,,,,,,,,,,2
Family Medicine At Sterling Ridge,25181276,Doctors Office,,,,10110 Woodlands Pkwy Ste 100,Spring,Montgomery,30.214741,-95.53212,1609999200000,0,0,0,0,,0,0,0,90,,0,0,0,90,,,0,-2208967200000,,Yes,-2208967200000,-2208967200000,,,,,,,,,,,,,,,3
Family Healthcare Denton,25225708,Nursing Home,,,,3105 Colorado Blvd,Denton,Denton,33.143186,-97.088337,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,-2208967200000,,Yes,-2208967200000,-2208967200000,,,,,,,,,,,,,,,4
Family Health Clinic Arlington,25176580,Nursing Home,,,,1115 E Pioneer Pkwy,Arlington,Tarrant,32.723382,-97.08498,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,-2208967200000,,Yes,-2208967200000,-2208967200000,,,,,,,,,,,,,,,5
Family First Urgent Care,1356571764,Other,Q,936-235-2825,cpollard@familyfirstuc.com,2510 S Loop 336 W,Conroe,Montgomery,30.33146,-95.50703,1609999200000,0,0,0,0,,100,0,0,100,,100,0,0,100,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,,,,,,,,,,,,,,,6
Family Care Clinic Of Bushland,30024700,Other,,8063109855,hjeffreys@familycarepanhandle.com,1600 S Fm 2381,Amarillo,Potter,35.244819,-101.95391,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,,,,,,,,,,,,,,,7
Fairfield Family Physicians,25106854,Doctors Office,,2813730162,ffphys@yahoo.com,15201 Mason Rd Ste 1200,Cypress,Harris,29.884175,-95.72219,1609999200000,0,0,0,0,,5,35,0,60,,5,35,0,60,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,,,,,,,,,,,,,,,8
El Paso Wellness Associates Llc,1502094054,Nursing Home,,,,1600 N Lee Trevino,El Paso,El Paso,31.766355,-106.29828,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,-2208967200000,,Yes,-2208967200000,-2208967200000,,,,,,,,,,,,,,,9
El Paso Pulmonary Association El Paso,25245449,Other,,,,1865 N Lee Trevino Dr,El Paso,El Paso,31.766355,-106.29828,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,-2208880800000,,Yes,-2208880800000,-2208880800000,,,,915-532-2477,tavarezgg@elpasotexas.org,,,,915-532-2477,,,,,,10
