County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,14239685,10048300,6810726,3482345,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2011660,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,11100,8457,5898,3030,48045,8658,2051,833,20206,1574,,
Andrews,9/10,4500,8715,5115,3691,13503,1833,309,106,5450,41,,
Angelina,4/5N,36400,26305,17866,8966,67056,14422,6534,1752,28054,3266,,
Aransas,11,4070,10747,7519,3452,19803,6791,370,252,6701,39,,
Archer,2/3,2100,3465,2214,1332,6921,1677,80,13,2381,330,,
Armstrong,1,1400,783,487,304,1499,470,32,86,466,0,,
Atascosa,8,9800,12642,8918,4073,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4400,12794,8684,4664,23704,5933,667,396,7873,1079,,
Bailey,1,19225,2959,1748,1276,5089,1036,114,74,1982,0,,
Bandera,8,2100,6853,4712,2335,19763,6439,352,180,6555,20,,
Bastrop,7,29300,21962,16168,6282,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4450,1796,980,827,2793,844,137,97,908,0,,
Bee,11,56340,13799,8047,5867,26496,4091,981,684,11359,989,,
Bell,7,135870,73205,49202,27354,272969,40534,15894,2466,95066,12910,,
Bexar,8,839570,686942,445651,249552,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3500,4996,3554,1567,10092,3004,90,102,3388,303,,
Borden,9/10,0,193,137,62,543,174,9,0,163,0,,
Bosque,7,6800,6565,4644,2192,15224,4741,624,407,5126,579,,
Bowie,4/5N,36770,19779,13627,7352,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,127640,130077,84903,48536,287683,45752,9762,2648,105966,12034,,
Brazos,7,84480,71550,50916,22919,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3700,5411,3595,1981,7706,2231,303,0,2579,255,,
Briscoe,1,1000,817,473,377,1272,404,19,0,452,0,,
