County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,2058050,1111966,959419,152547,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,4700,970,953,17,49346,8955,2590,833,24078
Andrews,9/10,1100,655,629,26,13954,1905,401,106,5867
Angelina,4/5N,11200,3774,3756,18,70388,14706,7603,1752,34525
Aransas,11,500,549,523,26,19727,6538,542,252,10102
Archer,2/3,300,369,334,35,7533,1887,107,59,3131
Armstrong,1,200,175,169,6,1693,588,37,86,659
Atascosa,8,2700,1363,1242,121,39065,7743,1181,655,17891
Austin,6/5S,1300,1086,1049,37,25584,6512,1069,396,10132
Bailey,1,500,144,142,2,5190,1024,156,74,2359
Bandera,8,200,734,702,32,19833,6530,426,186,9348
Bastrop,7,1700,1768,1616,152,70499,14746,2137,696,34606
Baylor,2/3,600,421,417,4,3002,916,156,97,1287
Bee,11,1500,776,731,45,26904,4202,1219,684,13037
Bell,7,23200,9902,8171,1731,265191,37371,20144,2466,105279
Bexar,8,194575,85105,70526,14579,1541803,248261,127752,17100,696450
Blanco,7,300,807,789,18,10177,3274,167,102,4572
Borden,9/10,0,17,17,0,580,206,10,0,228
Bosque,7,1900,573,558,15,15491,4847,677,407,7171
Bowie,4/5N,7875,1942,1814,128,78179,16917,7877,1532,36179
Brazoria,6/5S,11400,14681,11751,2930,295635,48145,13914,2648,119229
Brazos,7,13950,4957,4532,425,185835,21605,10756,1278,64988
Brewster,9/10,1000,477,473,4,7291,1942,548,0,3547
Briscoe,1,100,138,137,1,1295,443,18,0,642
Brooks,11,300,176,176,0,5438,1441,396,246,2867
Brown,2/3,1500,860,835,25,31586,8452,1886,911,14261
Burleson,7,500,408,392,16,14721,3981,203,218,7277
Burnet,7,2800,976,928,48,39423,11162,2391,595,17381
Caldwell,7,1200,882,824,58,33813,6558,1744,524,16400
Calhoun,8,1000,696,658,38,17169,3944,608,254,7841
Callahan,2/3,500,516,392,124,11666,3185,310,122,5346
Cameron,11,33950,22098,18728,3370,315242,59778,33067,6480,149238
Camp,4/5N,100,264,247,17,10054,2412,353,154,4991
Carson,1,200,391,380,11,4769,1096,77,0,2031
Cass,4/5N,300,321,309,12,24447,7203,1609,550,12120
Castro,1,300,345,342,3,5574,1267,152,174,2718
Chambers,6/5S,2900,1235,1116,119,34171,5692,1101,120,13721
Cherokee,4/5N,4000,1411,1376,35,41571,9380,1837,809,20430
Childress,1,900,450,445,5,5769,1177,276,136,2845
Clay,2/3,300,421,377,44,8544,2430,175,60,4071
Cochran,1,100,311,259,52,2167,497,66,0,1139
Coke,9/10,0,71,59,12,2839,957,47,130,1324
Coleman,2/3,600,247,233,14,6555,2051,418,162,3427
Collin,2/3,39900,29773,25965,3808,806242,118818,56174,7544,256993
Collingsworth,1,300,251,250,1,2177,574,94,92,1084
Colorado,6/5S,600,622,609,13,17682,5065,1057,477,7953
Comal,8,8600,4566,4136,430,125758,29676,7125,1845,45927
Comanche,2/3,500,489,484,5,11046,3438,418,292,5170
Concho,9/10,0,51,38,13,2381,528,81,66,1923
Cooke,2/3,1500,1200,1161,39,32501,7977,1347,552,14449
Coryell,7,1600,1171,1095,76,58277,6832,1291,594,25149
Cottle,2/3,0,42,42,0,1120,400,5,0,608
Crane,9/10,200,134,133,1,3483,625,95,110,1547
Crockett,9/10,0,64,59,5,2687,716,45,56,1307
Crosby,1,200,245,229,16,4386,1236,127,115,2252
Culberson,9/10,200,80,80,0,1797,529,79,0,972
Dallam,1,700,180,180,0,5092,691,95,0,2336
Dallas,2/3,184875,81290,67312,13978,2015538,284171,183122,21354,820238
Dawson,9/10,500,211,197,14,9997,1927,385,112,5005
Deaf Smith,1,1100,759,748,11,14288,2472,316,228,6265
Delta,4/5N,0,93,90,3,4312,1312,437,100,2090
Denton,2/3,32400,17662,15513,2149,702429,94410,34569,5667,276089
DeWitt,8,700,490,432,58,16610,4251,421,438,7926
Dickens,1,0,33,32,1,1840,546,29,0,943
Dimmit,8,500,246,246,0,7130,1517,226,175,4018
Donley,1,100,217,216,1,2655,798,47,74,1278
Duval,11,200,424,418,6,8359,2073,107,150,4543
Eastland,2/3,600,571,552,19,14718,4181,1021,405,7102
Ector,9/10,10900,3691,3363,328,123303,16788,6730,1016,54750
Edwards,8,0,60,55,5,1605,586,27,0,792
El Paso,9/10,79400,51010,44327,6683,640715,111036,46429,8546,281334
Ellis,2/3,4600,5212,4521,691,146536,26120,5259,1781,61039
Erath,2/3,700,872,800,72,34869,6466,1793,481,14817
Falls,7,300,264,244,20,14306,3332,413,187,7192
Fannin,2/3,2300,1316,1286,30,29681,7609,1161,693,13661
Fayette,7,1200,750,729,21,21209,6683,1251,647,9754
Fisher,2/3,200,58,55,3,3139,996,184,28,1509
Floyd,1,200,259,256,3,4283,1207,156,68,2228
Foard,2/3,100,153,152,1,937,323,9,80,489
Fort Bend,6/5S,34400,29796,24745,5051,626861,97435,33263,4965,192056
Franklin,4/5N,400,320,313,7,8327,2189,181,163,3820
Freestone,7,1100,379,378,1,16551,4068,718,261,8172
Frio,8,1500,714,704,10,15133,2573,226,270,7605
Gaines,9/10,1100,552,545,7,14875,2237,348,95,6531
Galveston,6/5S,21900,19628,16394,3234,267032,50119,15388,2824,113161
Garza,1,0,79,70,9,5021,727,52,75,2607
Gillespie,8,1900,810,795,15,22728,8108,1453,706,10293
Glasscock,9/10,0,13,12,1,1108,296,28,0,491
Goliad,8,100,209,188,21,6615,2077,59,135,3059
Gonzales,8,1200,770,758,12,15931,3700,626,256,7818
Gray,1,1200,855,847,8,17050,3428,927,315,8475
Grayson,2/3,16975,4866,4649,217,107568,25224,10711,1989,49725
Gregg,4/5N,10950,4506,3964,542,97771,19676,10046,2328,45063
Grimes,7,1000,558,540,18,23692,5592,422,311,11724
Guadalupe,8,5300,4083,3590,493,130156,24014,5123,1292,56504
Hale,1,2600,1385,1309,76,25066,4629,1308,399,12481
Hall,1,0,157,153,4,2399,745,42,72,1348
Hamilton,7,1200,1533,1531,2,6957,2150,503,296,3427
Hansford,1,400,247,245,2,3992,874,163,84,1970
Hardeman,2/3,500,306,300,6,3017,769,118,16,1552
Hardin,6/5S,3400,1375,1356,19,47640,10521,1237,527,19766
Harris,6/5S,391825,180330,149427,30903,3573784,490810,281834,27084,1572384
Harrison,4/5N,2200,1489,1359,130,53015,11647,3586,608,25401
Hartley,1,0,158,157,1,4850,899,203,94,2001
Haskell,2/3,100,175,168,7,4635,1242,136,68,2483
Hays,7,12750,7063,6359,704,183387,29281,7680,1557,67042
Hemphill,1,800,369,368,1,2788,547,113,98,1271
