County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Brooks,11,3400,5909,3280,2737,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,44230,14800,17723,11164,9802,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,11745,6703,5826,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,32944,19123,15938,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,28181,16871,12975,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,14308,8277,7241,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,44230,3500,6768,3865,3368,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,418828,239633,192655,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7036,4012,3255,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2822,1551,1342,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,12611,7419,6226,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4091,2340,1895,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,24025,14581,10084,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,23500,13641,11406,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4835,2822,2566,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,44230,14645,6606,3572,3289,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1445,849,771,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,44449,0,1904,1060,894,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,44230,3700,4200,2355,2049,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,44230,763700,975745,546964,454539,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1415,813,710,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,15114,8893,7712,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,124071,72150,58586,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,44230,6890,8182,4632,4124,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,44449,2000,1928,1134,882,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,44230,18500,21582,12491,10060,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,34220,20180,15487,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,44230,0,788,445,396,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,44449,3550,2246,1385,886,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,44449,0,2178,1183,1023,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3693,1991,1764,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,44449,2000,1881,992,895,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4458,2549,1951,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,44230,1962805,2034595,1177014,928373,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,44449,4600,5504,3233,2642,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,11651,6722,5515,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,9347,5436,4516,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2456,1356,1191,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,44230,567070,762795,427838,357069,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1011,568,512,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,8640,4857,3831,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1858,1037,875,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,9220,5332,4313,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,44230,7340,8692,5135,4236,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,44449,117100,89301,50010,41758,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1057,587,492,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,44449,713000,848636,484895,387664,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,44230,130520,122221,70272,56478,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,44230,24600,20620,11589,9895,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,9681,5643,4296,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,44230,37695,18076,10494,8973,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,16907,10031,8170,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,44230,2200,1881,1062,951,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3517,1930,1740,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,44230,1700,722,415,337,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,793171,451155,367149,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5145,3007,2489,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,9045,5496,4172,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,11278,6788,5287,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,44449,5100,5714,3286,2891,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,282660,154888,134464,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4070,2729,2318,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,21486,11913,10290,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,44449,0,876,487,417,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4425,2461,2190,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,12568,7293,6526,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,10956,6312,5286,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,44230,67740,74943,44246,37582,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,72555,40554,34145,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,19320,11377,9030,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,112662,66662,55101,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,16678,9708,8245,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1862,1062,925,2552,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5440,3189,2752,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,3038,1790,1637,4355,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,44230,3800,2431,1384,1256,3383,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,27286,15411,12733,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3697185,2147760,1706328,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,30849,18062,15156,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3672,2167,1526,4854,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,44230,3200,3332,1917,1562,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,192909,112231,89897,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2225,1305,1211,3122,2827,606,104,98,1066,0,,,,,,,,,,,,,
Henderson,4/5N,23170,43065,24706,20687,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,,
Hidalgo,11,641140,814309,466459,375935,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,,
Hill,7,10400,19518,11494,9768,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,,
Hockley,1,5500,12922,7346,6393,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,,
Hood,44230,31570,44088,23937,21450,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,,
Hopkins,4/5N,14810,18621,10464,8976,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,,
Houston,4/5N,6800,11803,7312,5328,19962,18929,5176,634,538,7399,631,,,,,,,,,,,,,
Howard,44449,7900,14717,8939,6793,31311,29544,4813,1456,454,12143,858,,,,,,,,,,,,,
Hudspeth,44449,2000,4408,2607,2226,4139,3979,775,33,0,1778,145,,,,,,,,,,,,,
Hunt,44230,39410,50644,28986,24176,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,10061,5660,4659,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,44449,0,896,496,420,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,44230,3900,4310,2596,1972,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,8967,4988,4325,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15270,16733,9306,8179,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,44449,1400,2036,1126,975,2246,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,241300,152497,86095,68583,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4580,2592,2023,4107,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,35525,30479,17138,14168,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,44230,105100,102882,57435,48551,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,44230,3300,10189,5950,5250,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,10388,6143,5087,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,44230,65950,86806,50242,40083,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,19400,39680,22712,18917,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,337,184,158,333,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,44230,0,412,234,206,646,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,33908,19240,16209,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,44449,2900,2710,1563,1279,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,64,38,32,215,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,2152,1257,939,3211,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,59725,27421,15149,12736,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,44230,2300,2087,1150,1057,3024,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24535,6025,3422,2877,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,28200,25924,14394,12662,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,7507,4245,3702,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,11736,6913,5699,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8700,11991,6999,6112,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5900,10570,6037,5051,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,8795,5277,4417,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,42565,41907,24877,19008,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
Limestone,7,8100,11209,6701,5490,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,,
Lipscomb,1,1300,1477,807,739,2698,2520,617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,3400,5635,3141,2643,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,,
Llano,7,6800,16744,9520,8261,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,,
Loving,44449,0,58,33,25,130,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,239890,207631,115858,99009,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,,
Lynn,1,1800,3351,1857,1605,4851,4496,974,191,40,1838,328,,,,,,,,,,,,,
Madison,7,4100,7652,4521,3671,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,,
Marion,4/5N,1300,5152,2971,2551,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,,
Martin,44449,2400,2488,1466,1134,4473,4136,659,165,0,1624,0,,,,,,,,,,,,,
Mason,44449,2000,3080,1673,1503,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,,
Matagorda,6/5S,16950,23047,13293,10637,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,,
Maverick,8,46700,51314,32876,21254,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,,
McCulloch,44449,4400,3920,2261,1845,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,,
McLennan,7,153530,160847,93161,77276,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,,
McMullen,11,1200,453,258,231,640,616,189,10,0,202,0,,,,,,,,,,,,,
Medina,8,18100,35396,20536,17287,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,,
Menard,44449,1400,1521,857,797,1888,1790,699,9,40,550,0,,,,,,,,,,,,,
Midland,44449,135835,101208,56084,47280,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,,
Milam,7,11200,14714,8134,7061,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,,
Mills,7,2600,2946,1661,1399,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,,
Mitchell,44230,4000,4143,2287,1979,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,,
Montague,44230,4950,9718,5552,4738,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,,
Montgomery,6/5S,404890,431041,251150,195902,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,,
Moore,1,7240,13607,7745,6116,16411,14986,2372,448,176,6143,27,,,,,,,,,,,,,
Morris,4/5N,2100,6468,3797,3172,10449,9830,2730,77,179,3692,0,,,,,,,,,,,,,
Motley,1,0,572,363,220,1051,994,368,22,50,319,0,,,,,,,,,,,,,
Nacogdoches,4/5N,33100,36352,22044,18132,54401,51773,9953,2530,755,19948,1728,,,,,,,,,,,,,
Navarro,44230,33100,30580,17139,14227,41283,38360,8651,1720,869,15775,1772,,,,,,,,,,,,,
Newton,4/5N,2900,4527,2485,2175,11888,11298,2878,55,113,4648,354,,,,,,,,,,,,,
Nolan,44230,9000,7853,4779,4305,12204,11321,2737,519,251,4249,719,,,,,,,,,,,,,
Nueces,11,289725,274017,154632,128026,303484,284366,54069,25582,4100,113767,9771,,,,,,,,,,,,,
Ochiltree,1,4700,5496,3013,2705,7814,7106,1148,200,114,2812,0,,,,,,,,,,,,,
Oldham,1,1600,1001,555,479,1894,1728,316,18,0,654,227,,,,,,,,,,,,,
Orange,6/5S,5300,36542,21045,16962,69350,65087,13729,1456,548,26244,2692,,,,,,,,,,,,,
Palo Pinto,44230,6500,14637,8263,7087,24719,23207,5893,864,283,8796,816,,,,,,,,,,,,,
Panola,4/5N,3900,8617,5210,4264,19777,18462,4589,473,377,7117,661,,,,,,,,,,,,,
Parker,44230,73730,86417,48048,41789,119419,111686,22331,2890,1301,40567,3773,,,,,,,,,,,,,
Parmer,1,2600,5347,2986,2649,7816,7222,1366,161,174,2910,525,,,,,,,,,,,,,
Pecos,44449,6700,11487,6946,5259,13080,12317,2141,400,120,5047,517,,,,,,,,,,,,,
Polk,4/5N,10200,28255,16054,13567,44390,42276,9733,1184,574,17118,1025,,,,,,,,,,,,,
Potter,1,194195,66684,38251,30104,95273,88673,15203,10224,1770,35559,518,,,,,,,,,,,,,
Presidio,44449,5300,9055,5058,4202,5392,5069,1601,27,0,2039,0,,,,,,,,,,,,,
Rains,4/5N,2000,5913,3317,2838,10798,10277,3123,163,68,3649,0,,,,,,,,,,,,,
Randall,1,16170,84949,47658,40165,116059,108431,21424,2812,869,34803,519,,,,,,,,,,,,,
Reagan,44449,1400,1839,1083,971,3078,2841,427,52,42,1173,0,,,,,,,,,,,,,
Real,8,2000,2468,1328,1200,3070,2943,1053,25,86,1051,0,,,,,,,,,,,,,
Red River,4/5N,3500,6037,3456,3113,10450,9965,3044,420,252,3717,477,,,,,,,,,,,,,
Reeves,44449,31075,9783,5248,4645,13495,12781,1878,281,89,5277,0,,,,,,,,,,,,,
Refugio,11,2900,5178,2830,2468,5921,5583,1617,228,154,2031,313,,,,,,,,,,,,,
Roberts,1,0,353,192,177,730,672,193,16,0,227,0,,,,,,,,,,,,,
Robertson,7,4200,9691,5743,4823,14349,13474,3412,252,252,4991,690,,,,,,,,,,,,,
Rockwall,44230,59095,81702,47210,37734,86906,80325,13395,3750,1347,27575,3321,,,,,,,,,,,,,
Runnels,44230,7600,6050,3366,3042,8726,8184,2153,405,312,2979,430,,,,,,,,,,,,,
Rusk,4/5N,11670,25101,14597,12296,46536,43777,9197,1501,759,17428,1859,,,,,,,,,,,,,
Sabine,4/5N,3900,5650,3106,2836,9359,8871,3267,572,186,3077,0,,,,,,,,,,,,,
San Augustine,4/5N,3700,4929,2745,2345,7135,6811,2227,415,337,2590,0,,,,,,,,,,,,,
San Jacinto,4/5N,4500,12328,7190,6102,24882,23444,6488,132,190,9275,40,,,,,,,,,,,,,
San Patricio,11,20170,46394,26701,21849,54942,51116,10209,975,347,19063,2379,,,,,,,,,,,,,
San Saba,7,2100,2842,1651,1290,5279,5000,1465,33,72,1828,197,,,,,,,,,,,,,
Schleicher,44449,1800,1720,932,845,2399,2218,559,65,34,793,0,,,,,,,,,,,,,
Scurry,44230,7395,9455,5581,4679,14012,13000,2566,399,128,5165,0,,,,,,,,,,,,,
Shackelford,44230,1700,1760,967,837,2804,2612,691,52,0,937,119,,,,,,,,,,,,,
Shelby,4/5N,10050,9925,5877,4836,20862,19449,4532,540,369,7876,948,,,,,,,,,,,,,
Sherman,1,1800,1506,890,692,2478,2294,462,24,42,868,0,,,,,,,,,,,,,
Smith,4/5N,209370,142853,78826,67352,194878,182283,39337,19690,3030,62467,7172,,,,,,,,,,,,,
Somervell,44230,5100,5373,3030,2710,7823,7386,1770,457,220,2741,479,,,,,,,,,,,,,
Starr,11,43780,65097,38429,32440,49864,45765,7370,4479,1999,21117,3311,,,,,,,,,,,,,
Stephens,44230,3400,4302,2529,2228,8039,7542,1890,168,92,2928,22,,,,,,,,,,,,,
Sterling,44449,700,653,369,290,1042,975,186,10,44,375,0,,,,,,,,,,,,,
Stonewall,44230,1700,817,459,416,1164,1095,361,63,53,369,0,,,,,,,,,,,,,
Sutton,44449,2400,2443,1314,1162,3139,2992,723,91,0,1051,0,,,,,,,,,,,,,
Swisher,1,2600,3546,2198,1853,6211,5764,1305,114,61,2381,323,,,,,,,,,,,,,
Tarrant,44230,1449310,1569020,881984,730969,1738948,1617160,244511,86106,18386,590239,56668,,,,,,,,,,,,,
Taylor,44230,94735,83557,46379,39805,115070,107257,20131,11065,2465,36680,4185,,,,,,,,,,,,,
Terrell,44449,0,638,357,297,678,639,255,10,0,207,0,,,,,,,,,,,,,
Terry,1,8590,7001,3996,3493,10047,9307,1858,345,178,3985,416,,,,,,,,,,,,,
Throckmorton,44230,2100,1014,542,490,1314,1247,445,64,0,399,0,,,,,,,,,,,,,
Titus,4/5N,25200,16516,9567,7500,26439,24323,4845,1811,633,9797,1297,,,,,,,,,,,,,
Tom Green,44449,95140,75628,41128,36237,99574,93752,18625,6702,1601,33131,3815,,,,,,,,,,,,,
Travis,7,2165090,1256578,719995,585327,1092827,1032386,129553,51820,8264,311477,32884,,,,,,,,,,,,,
Trinity,4/5N,5050,8342,4788,4028,12733,12104,3956,347,241,4400,427,,,,,,,,,,,,,
Tyler,4/5N,9300,10346,5808,4893,18949,17963,4895,476,238,6926,722,,,,,,,,,,,,,
Upshur,4/5N,5300,17535,9936,8539,35243,33011,7825,714,567,12366,1404,,,,,,,,,,,,,
Upton,44449,3200,2229,1217,1021,2953,2730,537,170,30,1105,0,,,,,,,,,,,,,
Uvalde,8,31145,18806,10520,8948,21980,20379,4508,1498,515,8253,985,,,,,,,,,,,,,
Val Verde,8,43030,37510,23332,16529,39580,36546,7003,2610,490,14417,104,,,,,,,,,,,,,
Van Zandt,4/5N,13100,26828,15354,13133,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,,
Victoria,8,60590,59100,32622,27947,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,,
Walker,6/5S,36770,44030,27076,19672,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,,
Waller,6/5S,15640,29388,17088,13634,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,,
Ward,44449,4940,6781,3801,3285,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,,
Washington,7,63100,25974,14450,12219,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,,
Webb,11,206550,285983,166945,132437,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,,
Wharton,6/5S,18490,26613,15593,12687,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,,
Wheeler,1,3000,2557,1477,1288,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,,
Wichita,44230,76520,78888,44823,39421,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,,
Wilbarger,44230,10600,8481,4867,4476,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,,
Willacy,11,8300,17424,9996,7747,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,,
Williamson,7,449190,542681,312622,251971,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,,
Wilson,8,23300,33010,19197,15994,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,,
Winkler,44449,2000,4011,2290,1969,6466,5954,964,102,0,2445,0,,,,,,,,,,,,,
Wise,44230,29680,35786,20249,17584,58448,54722,10598,3589,552,22459,1533,,,,,,,,,,,,,
Wood,4/5N,6700,26544,15178,13251,39990,38005,12527,1046,880,13019,1130,,,,,,,,,,,,,
Yoakum,1,3400,4616,2750,2354,6743,6135,1033,225,60,2367,0,,,,,,,,,,,,,
Young,44230,8500,9513,5441,4878,15127,14219,3774,862,431,5296,626,,,,,,,,,,,,,
Zapata,11,8400,11879,6933,5768,10966,9981,1866,195,202,4642,0,,,,,,,,,,,,,
Zavala,8,2200,8392,4655,3825,9644,8840,1723,25,60,4035,458,,,,,,,,,,,,,
Other, ,,275286,180025,113336,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
