County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,5225050,3663537,2703941,959596,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,3151,2566,585,48045,8658,2051,833,20206,,,
Andrews,9/10,1600,2871,2252,619,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,11380,7660,3720,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2328,1800,528,19803,6791,370,252,6701,,,
Archer,2/3,700,1486,1072,414,6921,1677,80,13,2381,,,
Armstrong,1,400,494,334,160,1499,470,32,86,466,,,
Atascosa,8,3600,4115,2951,1164,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,3941,3015,926,23704,5933,667,396,7873,,,
Bailey,1,5475,1535,1393,142,5089,1036,114,74,1982,,,
Bandera,8,500,2196,1760,436,19763,6439,352,180,6555,,,
Bastrop,7,7500,4846,3449,1397,68839,13865,1462,696,29356,,,
Baylor,2/3,2950,944,732,212,2793,844,137,97,908,,,
Bee,11,16925,7565,5379,2186,26496,4091,981,684,11359,,,
Bell,7,49450,32471,22381,10090,272969,40534,15894,2466,95066,,,
Bexar,8,376100,248696,180209,68487,1552823,247843,100704,17248,614646,,,
Blanco,7,900,1920,1516,404,10092,3004,90,102,3388,,,
Borden,9/10,0,66,51,15,543,174,9,0,163,,,
Bosque,7,2900,1583,1178,405,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,6155,4109,2046,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,44601,31832,12769,287683,45752,9762,2648,105966,,,
Brazos,7,29100,18722,15171,3551,186843,21693,7514,1414,59619,,,
Brewster,9/10,1300,2090,1784,306,7706,2231,303,0,2579,,,
Briscoe,1,400,578,405,173,1272,404,19,0,452,,,
Brooks,11,900,1032,892,140,5317,1308,323,246,2253,,,
Brown,2/3,2700,3068,2194,874,30883,7720,1663,911,11188,,,
Burleson,7,800,1778,1329,449,14869,3867,143,218,5600,,,
Burnet,7,6425,4140,3259,881,39239,10999,1823,595,13132,,,
Caldwell,7,3300,2798,2066,732,34853,6512,1286,524,14114,,,
Calhoun,8,1200,1963,1418,545,16817,3981,470,384,6161,,,
Callahan,2/3,1000,1466,1064,402,11263,2958,146,122,4094,,,
Cameron,11,76750,66155,46712,19443,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,903,679,224,10031,2494,207,152,3927,,,
Carson,1,200,1091,738,353,4718,1250,60,0,1547,,,
Cass,4/5N,500,992,671,321,24182,6856,1216,550,9010,,,
Castro,1,800,1179,912,267,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,3738,2638,1100,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,4266,3197,1069,40876,9444,1500,738,16376,,,
Childress,1,1500,1178,696,482,6094,1165,251,136,2395,,,
Clay,2/3,4300,2650,2163,487,8666,2484,136,60,3011,,,
Cochran,1,400,620,516,104,2188,468,57,0,956,,,
Coke,9/10,0,421,317,104,2756,947,47,130,899,,,
Coleman,2/3,800,872,546,326,6721,2119,342,162,2379,,,
Collin,2/3,120750,130687,102124,28563,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,535,370,165,2263,555,80,92,847,,,
Colorado,6/5S,2400,2644,2132,512,17107,4850,853,477,5957,,,
Comal,8,17500,17804,13617,4187,125307,28528,5457,1845,38712,,,
Comanche,2/3,2850,1972,1476,496,10944,3330,330,292,3738,,,
Concho,9/10,300,436,376,60,2288,689,76,66,815,,,
Cooke,2/3,4100,3609,2490,1119,32675,7804,948,552,11640,,,
Coryell,7,7075,5309,4202,1107,60428,8040,1178,610,22789,,,
Cottle,2/3,0,137,101,36,1123,339,5,0,446,,,
Crane,9/10,2150,691,568,123,3554,594,71,110,1353,,,
Crockett,9/10,0,728,506,222,2694,612,31,56,1031,,,
Crosby,1,2350,1337,1119,218,4421,1085,98,115,1771,,,
Culberson,9/10,400,353,281,72,1746,480,67,0,722,,,
Dallam,1,4800,1537,1392,145,5217,857,40,0,2067,,,
Dallas,2/3,456375,297573,223999,73574,2028105,292117,142713,21399,730851,,,
Dawson,9/10,700,909,740,169,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,2121,1437,684,13439,2423,238,147,5332,,,
Delta,4/5N,200,482,377,105,4222,1118,379,100,1580,,,
Denton,2/3,104750,64981,45942,19039,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1506,1042,464,16110,4035,319,438,6110,,,
Dickens,1,0,265,238,27,1858,525,21,0,689,,,
Dimmit,8,5975,2738,2472,266,7539,1749,238,175,3179,,,
Donley,1,200,561,386,175,2716,804,27,65,918,,,
Duval,11,700,1516,1277,239,8600,2031,69,150,3541,,,
Eastland,2/3,1100,1768,1219,549,14970,4054,860,389,5393,,,
Ector,9/10,33300,18889,14447,4442,120896,15970,5303,1016,50679,,,
Edwards,8,0,197,163,34,1555,561,24,0,528,,,
El Paso,9/10,161575,141506,100642,40864,640180,105175,35065,8383,245567,,,
Ellis,2/3,14300,21084,16176,4908,141665,24288,3985,1994,54463,,,
Erath,2/3,2400,3526,2680,846,34875,6256,1250,481,12564,,,
Falls,7,5575,1889,1637,252,14049,3226,328,187,5671,,,
Fannin,2/3,8375,4468,3141,1327,28874,6588,962,614,10987,,,
Fayette,7,1400,2449,1982,467,20879,6679,998,647,6844,,,
Fisher,2/3,600,357,309,48,3088,961,101,28,1061,,,
Floyd,1,600,946,686,260,4371,1070,132,68,1723,,,
Foard,2/3,400,430,299,131,962,315,7,80,332,,,
Fort Bend,6/5S,97850,112866,84166,28700,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,836,590,246,8554,2367,169,163,2871,,,
Freestone,7,1200,1165,831,334,15808,3996,553,261,6319,,,
Frio,8,3475,2630,1941,689,16121,2499,186,166,6797,,,
Gaines,9/10,1400,1426,876,550,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,55053,38801,16252,269280,50987,11784,2830,96486,,,
Garza,1,400,399,328,71,5325,719,33,75,2197,,,
Gillespie,8,6700,4610,3768,842,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,278,259,19,1099,210,23,0,426,,,
Goliad,8,200,977,765,212,6281,1832,39,135,2282,,,
Gonzales,8,1700,2257,1604,653,15937,3572,550,256,6356,,,
Gray,1,1400,2553,1718,835,16924,3531,689,315,6978,,,
Grayson,2/3,24100,14776,10226,4550,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,13205,10113,3092,95544,19451,7025,2324,37362,,,
Grimes,7,1400,2011,1534,477,23245,5134,234,311,9653,,,
Guadalupe,8,16625,14661,11104,3557,130517,23614,3801,1225,49282,,,
Hale,1,3300,3740,2576,1164,25476,4604,873,399,10561,,,
Hall,1,0,691,555,136,2406,711,27,72,978,,,
Hamilton,7,1800,2319,1758,561,6832,2146,481,296,2427,,,
Hansford,1,700,869,631,238,3987,812,139,84,1616,,,
Hardeman,2/3,1000,1133,778,355,3190,912,102,16,1146,,,
Hardin,6/5S,5400,6066,4631,1435,45112,9762,1003,527,16190,,,
Harris,6/5S,759025,540775,385575,155200,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,3983,2935,1048,51900,11607,3063,608,20509,,,
Hartley,1,1475,638,577,61,4561,861,196,94,1669,,,
Haskell,2/3,600,884,766,118,4831,1266,123,68,1872,,,
Hays,7,28550,24926,19210,5716,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,973,611,362,2827,606,104,98,1066,,,
Henderson,4/5N,5000,5843,4470,1373,67238,18534,2043,998,26544,,,
Hidalgo,11,160975,102432,75597,26835,620824,98328,54962,17074,286328,,,
Hill,7,1900,3678,2694,984,29198,7684,862,523,11381,,,
Hockley,1,1200,3003,2371,632,17799,3453,483,263,6829,,,
Hood,2/3,4500,6430,5285,1145,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3100,2129,1624,505,29175,6887,1192,620,11166,,,
Houston,4/5N,2000,2140,1431,709,18929,5176,634,538,7399,,,
Howard,9/10,3100,2485,1676,809,29544,4813,1456,454,12143,,,
Hudspeth,9/10,300,489,365,124,3979,775,33,0,1778,,,
Hunt,2/3,8150,8851,6144,2707,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2151,1562,589,16258,3581,504,246,6098,,,
Irion,9/10,0,169,120,49,1234,328,15,0,429,,,
Jack,2/3,1100,1135,846,289,7230,1515,198,149,2732,,,
Jackson,8,3750,2499,1920,579,11425,2720,380,237,4205,,,
Jasper,4/5N,7200,4224,3752,472,28056,7187,1597,374,11687,,,
Jeff Davis,9/10,200,529,482,47,2180,812,28,0,685,,,
Jefferson,6/5S,41200,18898,14858,4040,197382,37595,13127,2431,90120,,,
Jim Hogg,11,300,1080,697,383,3791,890,14,60,1572,,,
Jim Wells,11,6675,6173,5218,955,30579,6358,3897,985,12474,,,
Johnson,2/3,7400,14077,10055,4022,135345,25151,3559,1471,53224,,,
Jones,2/3,500,1515,1168,347,17011,3188,337,254,6981,,,
Karnes,8,2000,1660,1294,366,12669,2211,370,244,5177,,,
Kaufman,2/3,5550,12163,8493,3670,102341,16113,2857,1189,40613,,,
Kendall,8,2900,5496,3990,1506,37890,9152,1091,801,12702,,,
Kenedy,11,0,118,109,9,321,68,1,0,139,,,
Kent,2/3,0,116,83,33,615,201,13,60,198,,,
Kerr,8,5300,5377,4072,1305,43793,14769,2805,1022,13990,,,
Kimble,9/10,700,677,596,81,3651,1288,90,0,1243,,,
King,1,0,35,27,8,205,51,7,0,69,,,
Kinney,8,200,459,397,62,3050,910,11,0,1171,,,
Kleberg,11,10175,7296,6706,590,24188,4046,1401,341,9265,,,
Knox,2/3,700,825,651,174,2808,736,95,127,976,,,
La Salle,8,4400,1823,1703,120,6212,1018,22,60,2410,,,
Lamar,4/5N,6500,5772,4300,1472,39402,9726,3115,745,14986,,,
Lamb,1,600,1968,1550,418,9740,2240,454,226,3968,,,
Lampasas,7,800,1584,1265,319,17366,4322,348,284,6457,,,
Lavaca,8,2300,2580,1630,950,16004,4775,820,612,5435,,,
Lee,7,800,1342,993,349,13993,3219,334,226,5333,,,
Leon,7,900,1006,706,300,13946,4334,155,74,4662,,,
Liberty,6/5S,9175,4935,3532,1403,66868,11399,1398,614,28567,,,
Limestone,7,1700,1631,1185,446,18871,4670,2332,1060,7512,,,
Lipscomb,1,200,497,369,128,2520,617,24,61,919,,,
Live Oak,11,400,1328,1024,304,10055,2533,35,100,3769,,,
Llano,7,1200,2508,2093,415,18908,8119,277,358,5362,,,
Loving,9/10,0,27,27,0,129,23,0,0,50,,,
Lubbock,1,95200,66138,48045,18093,244992,39476,20974,4093,83028,,,
Lynn,1,400,889,607,282,4496,974,191,40,1838,,,
Madison,7,900,709,481,228,11595,2264,299,258,4451,,,
Marion,4/5N,0,450,319,131,8277,2697,351,158,3058,,,
Martin,9/10,800,1142,865,277,4136,659,165,0,1624,,,
Mason,9/10,400,656,522,134,3521,1250,104,0,1147,,,
Matagorda,6/5S,2900,2631,1812,819,28247,6391,1113,369,11409,,,
Maverick,8,9100,4836,3857,979,42606,7003,2970,1198,18727,,,
McCulloch,9/10,1200,779,670,109,6435,1792,212,122,2275,,,
McLennan,7,34950,26776,21379,5397,200781,37728,11153,3621,71906,,,
McMullen,11,100,108,100,8,616,189,10,0,202,,,
Medina,8,2600,5004,3635,1369,41263,8757,899,536,16090,,,
Menard,9/10,200,471,402,69,1790,699,9,40,550,,,
Midland,9/10,32275,21924,18232,3692,131025,18438,5950,1288,49538,,,
Milam,7,2700,2604,1786,818,19689,5245,532,297,7641,,,
Mills,7,300,746,507,239,4006,1416,149,152,1305,,,
Mitchell,2/3,1000,917,654,263,6958,1259,265,96,2753,,,
Montague,2/3,2350,2523,2193,330,15872,4444,560,383,5668,,,
Montgomery,6/5S,74300,52494,37154,15340,467232,81457,20255,3836,157396,,,
Moore,1,1500,3202,2296,906,14986,2372,448,176,6143,,,
Morris,4/5N,500,820,549,271,9830,2730,77,179,3692,,,
Motley,1,0,197,150,47,994,368,22,50,319,,,
Nacogdoches,4/5N,8700,8698,6073,2625,51773,9953,2530,755,19948,,,
Navarro,2/3,7100,6300,5370,930,38360,8651,1720,869,15775,,,
Newton,4/5N,900,1279,1096,183,11298,2878,55,113,4648,,,
Nolan,2/3,2200,2231,1637,594,11321,2737,519,251,4249,,,
Nueces,11,74275,38174,25876,12298,284366,54069,25582,4100,113767,,,
Ochiltree,1,1300,1109,787,322,7106,1148,200,114,2812,,,
Oldham,1,300,386,247,139,1728,316,18,0,654,,,
Orange,6/5S,1600,4571,3748,823,65087,13729,1456,548,26244,,,
Palo Pinto,2/3,1800,2010,1463,547,23207,5893,864,283,8796,,,
Panola,4/5N,1600,1589,1198,391,18462,4589,473,377,7117,,,
Parker,2/3,15350,15393,11352,4041,111686,22331,2890,1301,40567,,,
Parmer,1,800,1683,1279,404,7222,1366,161,174,2910,,,
Pecos,9/10,2000,2789,2284,505,12317,2141,400,120,5047,,,
Polk,4/5N,4300,4320,3364,956,42276,9733,1184,574,17118,,,
Potter,1,84125,25314,16556,8758,88673,15203,10224,1770,35559,,,
Presidio,9/10,800,1246,1049,197,5069,1601,27,0,2039,,,
Rains,4/5N,300,793,589,204,10277,3123,163,68,3649,,,
Randall,1,6100,38046,24417,13629,108431,21424,2812,869,34803,,,
Reagan,9/10,300,445,333,112,2841,427,52,42,1173,,,
Real,8,200,647,459,188,2943,1053,25,86,1051,,,
Red River,4/5N,800,1441,1232,209,9965,3044,420,252,3717,,,
Reeves,9/10,5775,3555,2883,672,12781,1878,281,89,5277,,,
Refugio,11,700,1209,814,395,5583,1617,228,154,2031,,,
Roberts,1,0,138,93,45,672,193,16,0,227,,,
Robertson,7,1000,1468,1170,298,13474,3412,252,252,4991,,,
Rockwall,2/3,6775,12820,9520,3300,80325,13395,3750,1347,27575,,,
Runnels,2/3,1500,1619,1073,546,8184,2153,405,312,2979,,,
Rusk,4/5N,2000,2835,2145,690,43777,9197,1501,759,17428,,,
Sabine,4/5N,1400,1436,1116,320,8871,3267,572,186,3077,,,
San Augustine,4/5N,1200,800,583,217,6811,2227,415,337,2590,,,
San Jacinto,4/5N,1600,2035,1522,513,23444,6488,132,190,9275,,,
San Patricio,11,3200,6148,4784,1364,51116,10209,975,347,19063,,,
San Saba,7,300,242,185,57,5000,1465,33,72,1828,,,
Schleicher,9/10,400,273,179,94,2218,559,65,34,793,,,
Scurry,2/3,3925,1532,1157,375,13000,2566,399,128,5165,,,
Shackelford,2/3,300,324,272,52,2612,691,52,0,937,,,
Shelby,4/5N,1700,1425,980,445,19449,4532,540,369,7876,,,
Sherman,1,500,418,340,78,2294,462,24,42,868,,,
Smith,4/5N,63600,29425,21884,7541,182283,39337,19690,3030,62467,,,
Somervell,2/3,600,1134,892,242,7386,1770,457,220,2741,,,
Starr,11,6400,6653,4876,1777,45765,7370,4479,1999,21117,,,
Stephens,2/3,900,514,440,74,7542,1890,168,92,2928,,,
Sterling,9/10,100,120,100,20,975,186,10,44,375,,,
Stonewall,2/3,500,221,174,47,1095,361,63,53,369,,,
Sutton,9/10,400,437,349,88,2992,723,91,0,1051,,,
Swisher,1,500,1195,904,291,5764,1305,114,61,2381,,,
Tarrant,2/3,395350,210250,149322,60928,1617160,244511,86106,18386,590239,,,
Taylor,2/3,22375,21763,16205,5558,107257,20131,11065,2465,36680,,,
Terrell,9/10,0,214,195,19,639,255,10,0,207,,,
Terry,1,3450,2568,1915,653,9307,1858,345,178,3985,,,
Throckmorton,2/3,500,427,359,68,1247,445,64,0,399,,,
