County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,19397865,12981590,8434288,4906823,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,3626940,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,14670,10818,7283,4489,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5400,9367,5338,4141,13503,1833,309,106,5450,41,,
Angelina,4/5N,45300,31686,20557,12059,67056,14422,6534,1752,28054,3266,,
Aransas,11,5170,12917,8154,5048,19803,6791,370,252,6701,39,,
Archer,2/3,2700,4066,2464,1769,6921,1677,80,13,2381,330,,
Armstrong,1,1900,889,541,366,1499,470,32,86,466,0,,
Atascosa,8,15600,15741,10529,5771,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6400,15549,10981,5325,23704,5933,667,396,7873,1079,,
Bailey,1,21665,3435,1968,1590,5089,1036,114,74,1982,0,,
Bandera,8,3400,9099,6116,3382,19763,6439,352,180,6555,20,,
Bastrop,7,38900,29497,18994,11245,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2154,1290,883,2793,844,137,97,908,0,,
Bee,11,70000,14930,8379,6704,26496,4091,981,684,11359,989,,
Bell,7,173890,90050,56996,37011,272969,40534,15894,2466,95066,12910,,
Bexar,8,1084460,862783,545567,330708,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4500,6295,4228,2235,10092,3004,90,102,3388,303,,
Borden,9/10,0,247,148,109,543,174,9,0,163,0,,
Bosque,7,9300,7861,5105,3085,15224,4741,624,407,5126,579,,
Bowie,4/5N,52230,24482,14842,11067,73689,15832,6332,1467,29102,3303,,
