County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,5022372,3340425,1681947,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4620,2892,1728,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,5360,3470,1890,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,15463,10348,5115,67056,14422,6534,1752,28054,,,
Aransas,11,1500,4487,3011,1476,19803,6791,370,252,6701,,,
Archer,2/3,1100,2168,1383,785,6921,1677,80,13,2381,,,
Armstrong,1,600,592,353,239,1499,470,32,86,466,,,
Atascosa,8,4700,5996,3755,2241,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,5239,3845,1394,23704,5933,667,396,7873,,,
Bailey,1,9765,2594,1451,1143,5089,1036,114,74,1982,,,
Bandera,8,600,3400,2444,956,19763,6439,352,180,6555,,,
Bastrop,7,14000,8269,5784,2485,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1574,882,692,2793,844,137,97,908,,,
Bee,11,30050,10566,6036,4530,26496,4091,981,684,11359,,,
Bell,7,69180,40230,25487,14743,272969,40534,15894,2466,95066,,,
Bexar,8,515470,351718,227980,123738,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,2053,1485,568,10092,3004,90,102,3388,,,
Borden,9/10,0,94,57,37,543,174,9,0,163,,,
Bosque,7,3800,3275,1980,1295,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,8847,5560,3287,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,63156,40737,22419,287683,45752,9762,2648,105966,,,
Brazos,7,39200,31641,23495,8146,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,2935,2050,885,7706,2231,303,0,2579,,,
Briscoe,1,500,538,365,173,1272,404,19,0,452,,,
Brooks,11,1400,1518,1073,445,5317,1308,323,246,2253,,,
Brown,2/3,3600,4058,2875,1183,30883,7720,1663,911,11188,,,
Burleson,7,1500,2578,1935,643,14869,3867,143,218,5600,,,
Burnet,7,10815,5703,4238,1465,39239,10999,1823,595,13132,,,
Caldwell,7,4700,4513,3094,1419,34853,6512,1286,524,14114,,,
Calhoun,8,1600,3088,2187,901,16817,3981,470,384,6161,,,
Callahan,2/3,1400,2106,1454,652,11263,2958,146,122,4094,,,
Cameron,11,104995,89721,57596,32125,311689,58607,29737,6315,127806,,,
Camp,4/5N,500,1482,1035,447,10031,2494,207,152,3927,,,
Carson,1,400,1317,766,551,4718,1250,60,0,1547,,,
Cass,4/5N,900,1704,1124,580,24182,6856,1216,550,9010,,,
Castro,1,1400,1533,1018,515,5607,1236,121,174,2168,,,
Chambers,6/5S,14100,5500,3601,1899,33062,5259,958,244,12484,,,
Cherokee,4/5N,7500,6700,4313,2387,40876,9444,1500,738,16376,,,
Childress,1,1900,1388,812,576,6094,1165,251,136,2395,,,
Clay,2/3,6745,4036,2365,1671,8666,2484,136,60,3011,,,
Cochran,1,500,587,421,166,2188,468,57,0,956,,,
Coke,9/10,0,576,407,169,2756,947,47,130,899,,,
