County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,25408585,17369952,10696902,7295111,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5023640,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17370,15822,10294,6682,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10421,5751,4861,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,56000,40097,24637,16948,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18142,10478,8211,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3000,5140,2991,2498,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,987,576,434,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,18500,22424,14045,9192,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8600,18063,11465,7759,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23835,3755,2134,1809,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,11811,7260,5208,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,55100,50192,32709,19051,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2525,1449,1163,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,81290,17400,9930,7843,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,213350,123156,77419,51000,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1414660,1215829,750879,497266,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5500,8058,4894,3454,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,287,174,154,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11000,10351,6099,4799,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,65890,32407,19361,15199,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,208110,227668,136525,99933,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,167450,130610,82881,51904,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7388,4328,3469,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,884,475,426,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5349,2974,2429,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14600,15241,9815,8397,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,9574,5813,4283,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,35775,25019,15847,10564,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,14700,20729,13532,8665,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12606,7906,5789,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6073,3511,2940,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,356965,312861,196752,127117,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5708,3470,2416,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2530,1425,1159,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,10951,6752,5125,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3575,2116,1573,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,36200,18816,12131,7095,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,17070,19092,11468,8760,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4900,3595,2056,1845,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,13645,5940,3296,2856,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,2615,1680,1094,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1743,1002,777,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3781,2164,1779,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,719020,750406,456988,311222,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1370,789,680,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12300,12549,7918,5953,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,88760,96943,60467,41465,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7447,4295,3655,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1585,905,751,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,15959,9932,6648,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,36725,22463,13921,9389,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,754,427,374,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2040,1265,795,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1822,1027,820,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3399,1892,1555,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1682,941,748,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,27340,4084,2403,1727,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1844095,1559684,971949,636936,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4500,4123,2426,1850,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6700,9786,5746,4605,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
