County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,8888955,6061277,3893881,2167396,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Federal Pharmacy Retail Vaccination Program,--,647990,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,7900,5510,3336,2174,48045,8658,2051,833,20206,,,
Andrews,9/10,3000,6047,4059,1988,13503,1833,309,106,5450,,,
Angelina,4/5N,23300,17389,11508,5881,67056,14422,6534,1752,28054,,,
Aransas,11,1900,5382,3423,1959,19803,6791,370,252,6701,,,
Archer,2/3,1400,2547,1449,1098,6921,1677,80,13,2381,,,
Armstrong,1,900,640,376,264,1499,470,32,86,466,,,
Atascosa,8,6100,7357,4746,2611,38768,7605,1124,651,15239,,,
Austin,6/5S,2900,6995,4994,2001,23704,5933,667,396,7873,,,
Bailey,1,12105,2737,1534,1203,5089,1036,114,74,1982,,,
Bandera,8,1100,4157,2966,1191,19763,6439,352,180,6555,,,
Bastrop,7,17900,10249,7134,3115,68839,13865,1462,696,29356,,,
Baylor,2/3,3450,1608,912,696,2793,844,137,97,908,,,
Bee,11,37100,11121,6137,4984,26496,4091,981,684,11359,,,
Bell,7,82050,45617,27657,17960,272969,40534,15894,2466,95066,,,
Bexar,8,587330,417981,263701,154280,1552823,247843,100704,17248,614646,,,
Blanco,7,2200,2534,1763,771,10092,3004,90,102,3388,,,
Borden,9/10,0,130,87,43,543,174,9,0,163,,,
Bosque,7,4000,4012,2513,1499,15224,4741,624,407,5126,,,
Bowie,4/5N,21250,10615,6725,3890,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,74490,78520,49919,28601,287683,45752,9762,2648,105966,,,
Brazos,7,51270,38470,28199,10271,186843,21693,7514,1414,59619,,,
Brewster,9/10,2200,3669,2283,1386,7706,2231,303,0,2579,,,
Briscoe,1,800,616,371,245,1272,404,19,0,452,,,
Brooks,11,1800,2267,1368,899,5317,1308,323,246,2253,,,
Brown,2/3,4800,4896,3616,1280,30883,7720,1663,911,11188,,,
Burleson,7,1600,3369,2551,818,14869,3867,143,218,5600,,,
Burnet,7,13255,7419,5579,1840,39239,10999,1823,595,13132,,,
Caldwell,7,5600,5765,4004,1761,34853,6512,1286,524,14114,,,
Calhoun,8,1900,3389,2288,1101,16817,3981,470,384,6161,,,
Callahan,2/3,1700,2490,1635,855,11263,2958,146,122,4094,,,
Cameron,11,119565,106353,66406,39947,311689,58607,29737,6315,127806,,,
Camp,4/5N,800,1853,1196,657,10031,2494,207,152,3927,,,
Carson,1,500,1528,885,643,4718,1250,60,0,1547,,,
Cass,4/5N,1400,2139,1400,739,24182,6856,1216,550,9010,,,
Castro,1,1500,1914,1145,769,5607,1236,121,174,2168,,,
Chambers,6/5S,17000,6430,4123,2307,33062,5259,958,244,12484,,,
Cherokee,4/5N,8200,7768,4727,3041,40876,9444,1500,738,16376,,,
Childress,1,2200,1735,1117,618,6094,1165,251,136,2395,,,
Clay,2/3,6945,4515,2398,2117,8666,2484,136,60,3011,,,
Cochran,1,800,766,539,227,2188,468,57,0,956,,,
Coke,9/10,0,760,487,273,2756,947,47,130,899,,,
Coleman,2/3,1200,1522,1002,520,6721,2119,342,162,2379,,,
Collin,2/3,257410,233603,146002,87601,801716,116575,38139,7817,236374,,,
Collingsworth,1,1100,823,521,302,2263,555,80,92,847,,,
Colorado,6/5S,4900,5355,3334,2021,17107,4850,853,477,5957,,,
Comal,8,30500,34791,22114,12677,125307,28528,5457,1845,38712,,,
Comanche,2/3,4420,3355,2012,1343,10944,3330,330,292,3738,,,
Concho,9/10,700,825,578,247,2288,689,76,66,815,,,
Cooke,2/3,7500,6997,4915,2082,32675,7804,948,552,11640,,,
Coryell,7,14105,9272,5659,3613,60428,8040,1178,610,22789,,,
Cottle,2/3,0,281,211,70,1123,339,5,0,446,,,
Crane,9/10,2450,1223,800,423,3554,594,71,110,1353,,,
Crockett,9/10,0,987,616,371,2694,612,31,56,1031,,,
Crosby,1,2850,1827,1394,433,4421,1085,98,115,1771,,,
Culberson,9/10,900,559,378,181,1746,480,67,0,722,,,
Dallam,1,11630,3092,1836,1256,5217,857,40,0,2067,,,
Dallas,2/3,744325,495642,313990,181652,2028105,292117,142713,21399,730851,,,
Dawson,9/10,1500,1728,1119,609,9789,1898,304,112,4206,,,
Deaf Smith,1,2700,3221,2087,1134,13439,2423,238,147,5332,,,
Delta,4/5N,600,903,578,325,4222,1118,379,100,1580,,,
Denton,2/3,225280,173701,107086,66615,697330,93499,23806,5913,257836,,,
DeWitt,8,1800,2893,1959,934,16110,4035,319,438,6110,,,
Dickens,1,0,449,382,67,1858,525,21,0,689,,,
Dimmit,8,12035,4676,3130,1546,7539,1749,238,175,3179,,,
Donley,1,500,737,479,258,2716,804,27,65,918,,,
Duval,11,1400,3511,2322,1189,8600,2031,69,150,3541,,,
Eastland,2/3,1800,2472,1578,894,14970,4054,860,389,5393,,,
Ector,9/10,62860,34146,25552,8594,120896,15970,5303,1016,50679,,,
Edwards,8,0,285,211,74,1555,561,24,0,528,,,
El Paso,9/10,260040,223051,138886,84165,640180,105175,35065,8383,245567,,,
Ellis,2/3,31660,33820,23617,10203,141665,24288,3985,1994,54463,,,
Erath,2/3,6500,6578,4908,1670,34875,6256,1250,481,12564,,,
Falls,7,12605,3028,2029,999,14049,3226,328,187,5671,,,
Fannin,2/3,15605,7079,4396,2683,28874,6588,962,614,10987,,,
Fayette,7,2400,5107,3660,1447,20879,6679,998,647,6844,,,
Fisher,2/3,1100,847,532,315,3088,961,101,28,1061,,,
Floyd,1,1100,1561,1052,509,4371,1070,132,68,1723,,,
Foard,2/3,900,555,408,147,962,315,7,80,332,,,
Fort Bend,6/5S,198650,215203,128796,86407,616413,93851,24721,4977,175581,,,
Franklin,4/5N,1600,1673,1108,565,8554,2367,169,163,2871,,,
Freestone,7,1700,2226,1501,725,15808,3996,553,261,6319,,,
Frio,8,5550,3501,2146,1355,16121,2499,186,166,6797,,,
Gaines,9/10,2000,2184,1479,705,14548,1907,323,95,6156,,,
Galveston,6/5S,96900,90979,55941,35038,269280,50987,11784,2830,96486,,,
Garza,1,1300,928,684,244,5325,719,33,75,2197,,,
Gillespie,8,14100,7693,4640,3053,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,519,290,229,1099,210,23,0,426,,,
Goliad,8,600,2090,1172,918,6281,1832,39,135,2282,,,
Gonzales,8,2700,3988,2846,1142,15937,3572,550,256,6356,,,
Gray,1,2300,3543,2289,1254,16924,3531,689,315,6978,,,
Grayson,2/3,27870,22152,14140,8012,107521,24182,9338,2131,40586,,,
Gregg,4/5N,43815,23486,15624,7862,95544,19451,7025,2324,37362,,,
Grimes,7,2200,4430,3186,1244,23245,5134,234,311,9653,,,
Guadalupe,8,32975,26886,18477,8409,130517,23614,3801,1225,49282,,,
Hale,1,3700,5907,4002,1905,25476,4604,873,399,10561,,,
Hall,1,0,917,638,279,2406,711,27,72,978,,,
Hamilton,7,2100,1934,1271,663,6832,2146,481,296,2427,,,
Hansford,1,1200,1424,946,478,3987,812,139,84,1616,,,
Hardeman,2/3,1700,1594,949,645,3190,912,102,16,1146,,,
Hardin,6/5S,7000,11039,7820,3219,45112,9762,1003,527,16190,,,
Harris,6/5S,1215280,872179,556195,315984,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,6800,8450,5770,2680,51900,11607,3063,608,20509,,,
Hartley,1,1475,2135,1249,886,4561,861,196,94,1669,,,
Haskell,2/3,1300,1483,997,486,4831,1266,123,68,1872,,,
Hays,7,56190,42059,27769,14290,183380,26187,5488,1907,61462,,,
Hemphill,1,1800,1142,727,415,2827,606,104,98,1066,,,
Henderson,4/5N,8800,12026,7655,4371,67238,18534,2043,998,26544,,,
Hidalgo,11,252530,186796,116046,70750,620824,98328,54962,17074,286328,,,
Hill,7,3500,6122,3929,2193,29198,7684,862,523,11381,,,
Hockley,1,2000,5919,3789,2130,17799,3453,483,263,6829,,,
Hood,2/3,9800,13591,9910,3681,50193,15416,1720,867,16867,,,
Hopkins,4/5N,4100,5648,3332,2316,29175,6887,1192,620,11166,,,
Houston,4/5N,2800,3147,2078,1069,18929,5176,634,538,7399,,,
Howard,9/10,4000,4329,2586,1743,29544,4813,1456,454,12143,,,
Hudspeth,9/10,500,1050,701,349,3979,775,33,0,1778,,,
Hunt,2/3,13860,14103,8743,5360,77878,15810,4112,947,31096,,,
