County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,5225050,3523303,2630567,892736,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,3022,2508,514,48045,8658,2051,833,20206,,,
Andrews,9/10,1600,2866,2247,619,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,11140,7566,3574,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2194,1718,476,19803,6791,370,252,6701,,,
Archer,2/3,700,1438,1046,392,6921,1677,80,13,2381,,,
Armstrong,1,400,478,331,147,1499,470,32,86,466,,,
Atascosa,8,3600,3970,2887,1083,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,3714,2863,851,23704,5933,667,396,7873,,,
Bailey,1,5475,1516,1380,136,5089,1036,114,74,1982,,,
Bandera,8,500,2127,1727,400,19763,6439,352,180,6555,,,
Bastrop,7,7500,4670,3342,1328,68839,13865,1462,696,29356,,,
Baylor,2/3,2950,949,735,214,2793,844,137,97,908,,,
Bee,11,16925,7002,5216,1786,26496,4091,981,684,11359,,,
Bell,7,49450,30912,21657,9255,272969,40534,15894,2466,95066,,,
Bexar,8,376100,240235,175715,64520,1552823,247843,100704,17248,614646,,,
Blanco,7,900,2282,1682,600,10092,3004,90,102,3388,,,
Borden,9/10,0,60,48,12,543,174,9,0,163,,,
Bosque,7,2900,1479,1122,357,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,6002,4036,1966,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,42229,30527,11702,287683,45752,9762,2648,105966,,,
Brazos,7,29100,18468,15039,3429,186843,21693,7514,1414,59619,,,
Brewster,9/10,1300,2007,1700,307,7706,2231,303,0,2579,,,
Briscoe,1,400,621,428,193,1272,404,19,0,452,,,
Brooks,11,900,1010,869,141,5317,1308,323,246,2253,,,
Brown,2/3,2700,2739,1960,779,30883,7720,1663,911,11188,,,
Burleson,7,800,1697,1254,443,14869,3867,143,218,5600,,,
Burnet,7,6425,4054,3212,842,39239,10999,1823,595,13132,,,
Caldwell,7,3300,2679,2022,657,34853,6512,1286,524,14114,,,
Calhoun,8,1200,1779,1289,490,16817,3981,470,384,6161,,,
Callahan,2/3,1000,1325,984,341,11263,2958,146,122,4094,,,
Cameron,11,76750,63316,46140,17176,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,821,627,194,10031,2494,207,152,3927,,,
Carson,1,200,1070,729,341,4718,1250,60,0,1547,,,
Cass,4/5N,500,955,656,299,24182,6856,1216,550,9010,,,
Castro,1,800,1104,900,204,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,3577,2560,1017,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,3962,3045,917,40876,9444,1500,738,16376,,,
Childress,1,1500,1153,683,470,6094,1165,251,136,2395,,,
Clay,2/3,4300,2604,2138,466,8666,2484,136,60,3011,,,
Cochran,1,400,618,509,109,2188,468,57,0,956,,,
Coke,9/10,0,398,305,93,2756,947,47,130,899,,,
Coleman,2/3,800,735,523,212,6721,2119,342,162,2379,,,
Collin,2/3,120750,124793,98057,26736,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,525,367,158,2263,555,80,92,847,,,
Colorado,6/5S,2400,2560,2082,478,17107,4850,853,477,5957,,,
Comal,8,17500,17499,13466,4033,125307,28528,5457,1845,38712,,,
Comanche,2/3,2850,1953,1463,490,10944,3330,330,292,3738,,,
Concho,9/10,300,373,318,55,2288,689,76,66,815,,,
Cooke,2/3,4100,3300,2277,1023,32675,7804,948,552,11640,,,
Coryell,7,7075,5091,4059,1032,60428,8040,1178,610,22789,,,
Cottle,2/3,0,133,100,33,1123,339,5,0,446,,,
Crane,9/10,2150,680,557,123,3554,594,71,110,1353,,,
Crockett,9/10,0,665,457,208,2694,612,31,56,1031,,,
Crosby,1,2350,1318,1107,211,4421,1085,98,115,1771,,,
Culberson,9/10,400,344,272,72,1746,480,67,0,722,,,
Dallam,1,4800,1446,1302,144,5217,857,40,0,2067,,,
Dallas,2/3,456375,281262,214320,66942,2028105,292117,142713,21399,730851,,,
Dawson,9/10,700,885,724,161,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,2000,1380,620,13439,2423,238,147,5332,,,
Delta,4/5N,200,449,353,96,4222,1118,379,100,1580,,,
Denton,2/3,104750,61983,44492,17491,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1410,992,418,16110,4035,319,438,6110,,,
Dickens,1,0,257,235,22,1858,525,21,0,689,,,
Dimmit,8,5975,2623,2368,255,7539,1749,238,175,3179,,,
Donley,1,200,557,386,171,2716,804,27,65,918,,,
Duval,11,700,1486,1246,240,8600,2031,69,150,3541,,,
Eastland,2/3,1100,1729,1188,541,14970,4054,860,389,5393,,,
Ector,9/10,33300,18858,14417,4441,120896,15970,5303,1016,50679,,,
Edwards,8,0,163,128,35,1555,561,24,0,528,,,
El Paso,9/10,161575,136155,99178,36977,640180,105175,35065,8383,245567,,,
Ellis,2/3,14300,20550,15903,4647,141665,24288,3985,1994,54463,,,
Erath,2/3,2400,3172,2389,783,34875,6256,1250,481,12564,,,
Falls,7,5575,1831,1602,229,14049,3226,328,187,5671,,,
Fannin,2/3,8375,4319,3102,1217,28874,6588,962,614,10987,,,
Fayette,7,1400,2149,1753,396,20879,6679,998,647,6844,,,
Fisher,2/3,600,343,305,38,3088,961,101,28,1061,,,
Floyd,1,600,915,667,248,4371,1070,132,68,1723,,,
Foard,2/3,400,256,230,26,962,315,7,80,332,,,
Fort Bend,6/5S,97850,105766,79853,25913,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,780,576,204,8554,2367,169,163,2871,,,
Freestone,7,1200,1100,802,298,15808,3996,553,261,6319,,,
Frio,8,3475,2525,1872,653,16121,2499,186,166,6797,,,
Gaines,9/10,1400,1393,852,541,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,53009,37994,15015,269280,50987,11784,2830,96486,,,
Garza,1,400,391,326,65,5325,719,33,75,2197,,,
Gillespie,8,6700,4381,3586,795,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,268,255,13,1099,210,23,0,426,,,
Goliad,8,200,949,753,196,6281,1832,39,135,2282,,,
Gonzales,8,1700,2191,1592,599,15937,3572,550,256,6356,,,
Gray,1,1400,2511,1695,816,16924,3531,689,315,6978,,,
Grayson,2/3,24100,14404,10049,4355,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,10798,8133,2665,95544,19451,7025,2324,37362,,,
Grimes,7,1400,1945,1487,458,23245,5134,234,311,9653,,,
Guadalupe,8,16625,14290,10914,3376,130517,23614,3801,1225,49282,,,
Hale,1,3300,3531,2487,1044,25476,4604,873,399,10561,,,
Hall,1,0,679,551,128,2406,711,27,72,978,,,
Hamilton,7,1800,2282,1710,572,6832,2146,481,296,2427,,,
Hansford,1,700,750,526,224,3987,812,139,84,1616,,,
Hardeman,2/3,1000,1124,771,353,3190,912,102,16,1146,,,
Hardin,6/5S,5400,5547,4251,1296,45112,9762,1003,527,16190,,,
Harris,6/5S,759025,523308,377952,145356,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,3708,2801,907,51900,11607,3063,608,20509,,,
Hartley,1,1475,594,535,59,4561,861,196,94,1669,,,
Haskell,2/3,600,877,765,112,4831,1266,123,68,1872,,,
Hays,7,28550,23994,18602,5392,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,971,610,361,2827,606,104,98,1066,,,
Henderson,4/5N,5000,5480,4296,1184,67238,18534,2043,998,26544,,,
Hidalgo,11,160975,100813,75101,25712,620824,98328,54962,17074,286328,,,
Hill,7,1900,3477,2645,832,29198,7684,862,523,11381,,,
Hockley,1,1200,2829,2241,588,17799,3453,483,263,6829,,,
Hood,2/3,4500,5965,4892,1073,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3100,2008,1553,455,29175,6887,1192,620,11166,,,
Houston,4/5N,2000,2147,1454,693,18929,5176,634,538,7399,,,
Howard,9/10,3100,2361,1610,751,29544,4813,1456,454,12143,,,
Hudspeth,9/10,300,426,320,106,3979,775,33,0,1778,,,
Hunt,2/3,8150,8504,5946,2558,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2076,1532,544,16258,3581,504,246,6098,,,
Irion,9/10,0,159,114,45,1234,328,15,0,429,,,
Jack,2/3,1100,1125,842,283,7230,1515,198,149,2732,,,
Jackson,8,3750,2307,1764,543,11425,2720,380,237,4205,,,
Jasper,4/5N,7200,4005,3571,434,28056,7187,1597,374,11687,,,
Jeff Davis,9/10,200,361,319,42,2180,812,28,0,685,,,
Jefferson,6/5S,41200,17721,13894,3827,197382,37595,13127,2431,90120,,,
Jim Hogg,11,300,780,676,104,3791,890,14,60,1572,,,
Jim Wells,11,6675,5982,5080,902,30579,6358,3897,985,12474,,,
Johnson,2/3,7400,13416,9773,3643,135345,25151,3559,1471,53224,,,
Jones,2/3,500,1446,1139,307,17011,3188,337,254,6981,,,
Karnes,8,2000,1567,1258,309,12669,2211,370,244,5177,,,
Kaufman,2/3,5550,11653,8217,3436,102341,16113,2857,1189,40613,,,
Kendall,8,2900,5302,3930,1372,37890,9152,1091,801,12702,,,
