County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,5225050,4090423,2931147,1159276,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,3891,2710,1181,48045,8658,2051,833,20206,,,
Andrews,9/10,1600,2991,2361,630,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,13266,8992,4274,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2947,2200,747,19803,6791,370,252,6701,,,
Archer,2/3,700,1726,1191,535,6921,1677,80,13,2381,,,
Armstrong,1,400,546,347,199,1499,470,32,86,466,,,
Atascosa,8,3600,4629,3289,1340,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,4322,3294,1028,23704,5933,667,396,7873,,,
Bailey,1,5475,2445,1439,1006,5089,1036,114,74,1982,,,
Bandera,8,500,2551,2050,501,19763,6439,352,180,6555,,,
Bastrop,7,7500,5602,3850,1752,68839,13865,1462,696,29356,,,
Baylor,2/3,2950,1504,848,656,2793,844,137,97,908,,,
Bee,11,16925,8309,5544,2765,26496,4091,981,684,11359,,,
Bell,7,49450,35421,24183,11238,272969,40534,15894,2466,95066,,,
Bexar,8,378050,286558,201180,85378,1552823,247843,100704,17248,614646,,,
Blanco,7,900,1880,1562,318,10092,3004,90,102,3388,,,
Borden,9/10,0,66,50,16,543,174,9,0,163,,,
Bosque,7,2900,2607,1625,982,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,6685,4448,2237,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,49922,34735,15187,287683,45752,9762,2648,105966,,,
Brazos,7,29100,21198,15902,5296,186843,21693,7514,1414,59619,,,
Brewster,9/10,1300,2310,1947,363,7706,2231,303,0,2579,,,
Briscoe,1,400,518,372,146,1272,404,19,0,452,,,
Brooks,11,900,1208,985,223,5317,1308,323,246,2253,,,
Brown,2/3,2700,3563,2547,1016,30883,7720,1663,911,11188,,,
Burleson,7,800,2062,1525,537,14869,3867,143,218,5600,,,
Burnet,7,6425,4562,3519,1043,39239,10999,1823,595,13132,,,
Caldwell,7,3300,3311,2298,1013,34853,6512,1286,524,14114,,,
Calhoun,8,1200,2608,1847,761,16817,3981,470,384,6161,,,
Callahan,2/3,1000,1572,1128,444,11263,2958,146,122,4094,,,
Cameron,11,76750,75296,52182,23114,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,1089,809,280,10031,2494,207,152,3927,,,
Carson,1,200,1121,737,384,4718,1250,60,0,1547,,,
Cass,4/5N,500,1191,802,389,24182,6856,1216,550,9010,,,
Castro,1,800,1290,935,355,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,4203,2845,1358,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,5340,3704,1636,40876,9444,1500,738,16376,,,
Childress,1,1500,1247,737,510,6094,1165,251,136,2395,,,
Clay,2/3,4300,2778,2217,561,8666,2484,136,60,3011,,,
Cochran,1,400,600,477,123,2188,468,57,0,956,,,
Coke,9/10,0,462,340,122,2756,947,47,130,899,,,
Coleman,2/3,800,983,621,362,6721,2119,342,162,2379,,,
Collin,2/3,120750,145703,111126,34577,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,540,372,168,2263,555,80,92,847,,,
Colorado,6/5S,2400,3049,2447,602,17107,4850,853,477,5957,,,
Comal,8,17500,21266,16328,4938,125307,28528,5457,1845,38712,,,
Comanche,2/3,2850,2699,1540,1159,10944,3330,330,292,3738,,,
Concho,9/10,300,520,444,76,2288,689,76,66,815,,,
Cooke,2/3,4100,4593,3277,1316,32675,7804,948,552,11640,,,
Coryell,7,7075,6307,4511,1796,60428,8040,1178,610,22789,,,
Cottle,2/3,0,153,106,47,1123,339,5,0,446,,,
Crane,9/10,2150,770,637,133,3554,594,71,110,1353,,,
Crockett,9/10,0,816,570,246,2694,612,31,56,1031,,,
Crosby,1,2350,1410,1155,255,4421,1085,98,115,1771,,,
Culberson,9/10,400,379,299,80,1746,480,67,0,722,,,
Dallam,1,4800,2513,1771,742,5217,857,40,0,2067,,,
Dallas,2/3,456375,329680,239648,90032,2028105,292117,142713,21399,730851,,,
Dawson,9/10,700,966,781,185,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,2383,1667,716,13439,2423,238,147,5332,,,
Delta,4/5N,200,554,433,121,4222,1118,379,100,1580,,,
Denton,2/3,104750,83577,60097,23480,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1747,1212,535,16110,4035,319,438,6110,,,
Dickens,1,0,283,251,32,1858,525,21,0,689,,,
Dimmit,8,5975,2974,2551,423,7539,1749,238,175,3179,,,
Donley,1,200,579,395,184,2716,804,27,65,918,,,
Duval,11,700,2141,1483,658,8600,2031,69,150,3541,,,
Eastland,2/3,1100,1847,1239,608,14970,4054,860,389,5393,,,
Ector,9/10,33300,25045,19750,5295,120896,15970,5303,1016,50679,,,
Edwards,8,0,190,164,26,1555,561,24,0,528,,,
El Paso,9/10,162575,155124,107126,47998,640180,105175,35065,8383,245567,,,
Ellis,2/3,14300,23528,17944,5584,141665,24288,3985,1994,54463,,,
Erath,2/3,2400,4108,3049,1059,34875,6256,1250,481,12564,,,
Falls,7,5575,2066,1753,313,14049,3226,328,187,5671,,,
Fannin,2/3,8375,4724,3290,1434,28874,6588,962,614,10987,,,
Fayette,7,1400,2918,2312,606,20879,6679,998,647,6844,,,
Fisher,2/3,600,495,428,67,3088,961,101,28,1061,,,
Floyd,1,600,1092,807,285,4371,1070,132,68,1723,,,
Foard,2/3,400,511,379,132,962,315,7,80,332,,,
Fort Bend,6/5S,97850,127996,91761,36235,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1221,875,346,8554,2367,169,163,2871,,,
Freestone,7,1200,1317,911,406,15808,3996,553,261,6319,,,
Frio,8,3475,2803,2003,800,16121,2499,186,166,6797,,,
Gaines,9/10,1400,1498,940,558,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,61640,41802,19838,269280,50987,11784,2830,96486,,,
Garza,1,400,438,364,74,5325,719,33,75,2197,,,
Gillespie,8,6700,5296,4081,1215,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,287,265,22,1099,210,23,0,426,,,
Goliad,8,200,1314,977,337,6281,1832,39,135,2282,,,
Gonzales,8,1700,2536,1733,803,15937,3572,550,256,6356,,,
Gray,1,1400,2601,1745,856,16924,3531,689,315,6978,,,
Grayson,2/3,24100,15705,10886,4819,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,14522,10544,3978,95544,19451,7025,2324,37362,,,
Grimes,7,1400,2308,1697,611,23245,5134,234,311,9653,,,
Guadalupe,8,16625,16827,12361,4466,130517,23614,3801,1225,49282,,,
Hale,1,3300,4353,2954,1399,25476,4604,873,399,10561,,,
Hall,1,0,732,567,165,2406,711,27,72,978,,,
Hamilton,7,1800,1723,1150,573,6832,2146,481,296,2427,,,
Hansford,1,700,885,643,242,3987,812,139,84,1616,,,
Hardeman,2/3,1000,1264,857,407,3190,912,102,16,1146,,,
Hardin,6/5S,5400,7009,5300,1709,45112,9762,1003,527,16190,,,
Harris,6/5S,764875,588278,411165,177113,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,4784,3481,1303,51900,11607,3063,608,20509,,,
Hartley,1,1475,1298,883,415,4561,861,196,94,1669,,,
Haskell,2/3,600,1021,792,229,4831,1266,123,68,1872,,,
Hays,7,28550,27546,20525,7021,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,994,626,368,2827,606,104,98,1066,,,
Henderson,4/5N,5000,7483,5416,2067,67238,18534,2043,998,26544,,,
Hidalgo,11,160975,117223,81767,35456,620824,98328,54962,17074,286328,,,
Hill,7,1900,4183,2878,1305,29198,7684,862,523,11381,,,
Hockley,1,1200,3236,2499,737,17799,3453,483,263,6829,,,
Hood,2/3,4500,7209,5773,1436,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3100,3304,2482,822,29175,6887,1192,620,11166,,,
Houston,4/5N,2000,2256,1451,805,18929,5176,634,538,7399,,,
Howard,9/10,3100,2957,1898,1059,29544,4813,1456,454,12143,,,
Hudspeth,9/10,300,632,467,165,3979,775,33,0,1778,,,
Hunt,2/3,8150,9834,6374,3460,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2442,1770,672,16258,3581,504,246,6098,,,
Irion,9/10,0,187,133,54,1234,328,15,0,429,,,
Jack,2/3,1100,1164,859,305,7230,1515,198,149,2732,,,
Jackson,8,3750,2637,2020,617,11425,2720,380,237,4205,,,
Jasper,4/5N,7200,4883,4310,573,28056,7187,1597,374,11687,,,
Jeff Davis,9/10,200,661,607,54,2180,812,28,0,685,,,
Jefferson,6/5S,41200,22678,17770,4908,197382,37595,13127,2431,90120,,,
Jim Hogg,11,300,1332,908,424,3791,890,14,60,1572,,,
Jim Wells,11,6675,8694,6313,2381,30579,6358,3897,985,12474,,,
