County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,23521675,16831274,10462845,6986227,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4573480,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15970,15300,9995,6458,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10346,5703,4836,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,53800,39533,24316,16704,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6640,17955,10376,8125,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,2900,5068,2954,2461,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2000,986,576,433,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,17400,21583,13512,8882,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,7300,17351,11470,7058,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23435,3736,2131,1799,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,4100,11601,7179,5086,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,47400,54294,35512,20339,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5450,2639,1542,1184,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,77850,16746,9346,7773,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,202590,119428,75285,49396,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1349190,1175952,731036,477126,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4700,7987,4862,3410,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,290,177,154,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,10000,10097,6066,4579,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,59210,31899,19080,14966,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,194220,221795,134247,96308,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,153600,128899,82119,50943,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7424,4354,3482,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,889,480,429,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3300,5279,2924,2409,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14500,15116,9783,8306,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4500,9368,5753,4127,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,33435,23800,15089,10080,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,13600,19910,13044,8321,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,6100,12524,7926,5709,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3400,5986,3483,2881,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,321075,304165,192188,122938,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5567,3415,2331,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1700,2516,1423,1147,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,10786,6685,5029,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,2900,3528,2098,1542,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,34100,18201,11710,6903,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,16170,18299,11121,8311,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4700,3592,2056,1842,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,13645,5900,3278,2829,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,3240,2192,1207,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1733,997,771,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3400,3761,2155,1766,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,653250,724354,448480,293626,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1367,787,680,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,11000,12334,7863,5792,17107,4850,853,477,5957,613,,,,,,,,,,,,,
