County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,21385845,14497571,9294198,5721979,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,4126230,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,15270,11650,7735,4966,48045,8658,2051,833,20206,1574,,
Andrews,9/10,6000,9831,5429,4520,13503,1833,309,106,5450,41,,
Angelina,4/5N,49600,34021,21965,13359,67056,14422,6534,1752,28054,3266,,
Aransas,11,6540,13764,8512,5704,19803,6791,370,252,6701,39,,
Archer,2/3,2800,4327,2604,1981,6921,1677,80,13,2381,330,,
Armstrong,1,1900,924,554,389,1499,470,32,86,466,0,,
Atascosa,8,16600,17268,11384,6610,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6600,16773,11809,5991,23704,5933,667,396,7873,1079,,
Bailey,1,23135,3592,2095,1678,5089,1036,114,74,1982,0,,
Bandera,8,3600,10549,6724,4366,19763,6439,352,180,6555,20,,
Bastrop,7,43000,32661,20866,12903,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2272,1376,924,2793,844,137,97,908,0,,
Bee,11,74510,15736,8837,7180,26496,4091,981,684,11359,989,,
Bell,7,191800,99488,61091,42985,272969,40534,15894,2466,95066,12910,,
Bexar,8,1202410,955501,601272,376814,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4600,6831,4497,2574,10092,3004,90,102,3388,303,,
Borden,9/10,0,268,168,132,543,174,9,0,163,0,,
Bosque,7,9400,8814,5391,3913,15224,4741,624,407,5126,579,,
Bowie,4/5N,56570,26253,15635,12454,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,187080,182467,113020,75948,287683,45752,9762,2648,105966,12034,,
Brazos,7,139020,102909,68712,37497,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,4800,7108,4228,3276,7706,2231,303,0,2579,255,,
Briscoe,1,1200,892,494,436,1272,404,19,0,452,0,,
Brooks,11,3200,4844,2697,2195,5317,1308,323,246,2253,22,,
Brown,2/3,14000,12722,8313,6950,30883,7720,1663,911,11188,1112,,
Burleson,7,4200,8241,5224,3457,14869,3867,143,218,5600,518,,
Burnet,7,30995,20678,13185,8819,39239,10999,1823,595,13132,94,,
Caldwell,7,12400,15947,10428,6692,34853,6512,1286,524,14114,1294,,
Calhoun,8,5600,10025,6415,4627,16817,3981,470,384,6161,53,,
Callahan,2/3,3200,5105,2956,2337,11263,2958,146,122,4094,442,,
Cameron,11,264825,245831,157612,98031,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1800,4247,2691,1698,10031,2494,207,152,3927,0,,
Carson,1,1700,2337,1349,1036,4718,1250,60,0,1547,240,,
Cass,4/5N,4600,7785,4738,3720,24182,6856,1216,550,9010,1125,,
Castro,1,2800,3340,2004,1443,5607,1236,121,174,2168,341,,
Chambers,6/5S,32800,13910,8958,5182,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,15970,15232,9563,6663,40876,9444,1500,738,16376,1511,,
Childress,1,4300,3268,1862,1649,6094,1165,251,136,2395,0,,
Clay,2/3,12645,5615,3100,2663,8666,2484,136,60,3011,384,,
Cochran,1,1400,3255,2550,850,2188,468,57,0,956,0,,
Coke,9/10,0,1584,919,688,2756,947,47,130,899,0,,
Coleman,2/3,3100,3064,1932,1254,6721,2119,342,162,2379,289,,
Collin,2/3,600460,578182,367188,224219,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,2100,1276,756,612,2263,555,80,92,847,0,,
Colorado,6/5S,10700,10674,6886,4923,17107,4850,853,477,5957,613,,
Comal,8,74410,74835,48165,30659,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6690,6744,3964,3232,10944,3330,330,292,3738,455,,
Concho,9/10,1800,1405,860,612,2288,689,76,66,815,0,,
Cooke,2/3,17700,13692,8526,5590,32675,7804,948,552,11640,1051,,
Coryell,7,30745,17958,10835,7820,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,679,375,337,1123,339,5,0,446,0,,
Crane,9/10,3450,1940,1212,748,3554,594,71,110,1353,0,,
Crockett,9/10,0,1724,987,762,2694,612,31,56,1031,0,,
Crosby,1,4050,3139,1739,1427,4421,1085,98,115,1771,284,,
Culberson,9/10,1900,1315,796,523,1746,480,67,0,722,0,,
Dallam,1,25970,3774,2214,1587,5217,857,40,0,2067,0,,
Dallas,2/3,1492385,1245578,811593,475265,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,3800,3485,2085,1480,9789,1898,304,112,4206,475,,
Deaf Smith,1,4500,6816,4200,3088,13439,2423,238,147,5332,0,,
Delta,4/5N,1500,1814,1083,790,4222,1118,379,100,1580,0,,
Denton,2/3,462750,418912,251550,178274,697330,93499,23806,5913,257836,22330,,
DeWitt,8,6100,8198,4987,3760,16110,4035,319,438,6110,1055,,
Dickens,1,0,917,531,443,1858,525,21,0,689,0,,
Dimmit,8,23065,6896,3936,2982,7539,1749,238,175,3179,48,,
Donley,1,1400,1391,845,576,2716,804,27,65,918,0,,
Duval,11,3200,6914,4124,3192,8600,2031,69,150,3541,482,,
Eastland,2/3,6070,7433,4602,3421,14970,4054,860,389,5393,591,,
Ector,9/10,109350,70454,40896,31150,120896,15970,5303,1016,50679,428,,
Edwards,8,0,934,536,413,1555,561,24,0,528,0,,
El Paso,9/10,524630,493579,313149,194546,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,98780,84925,53476,34923,141665,24288,3985,1994,54463,6578,,
Erath,2/3,20300,15620,9518,6712,34875,6256,1250,481,12564,1079,,
Falls,7,26945,5892,3709,2495,14049,3226,328,187,5671,486,,
Fannin,2/3,31145,12823,7678,5993,28874,6588,962,614,10987,1108,,
Fayette,7,6600,11070,7048,4912,20879,6679,998,647,6844,671,,
Fisher,2/3,2100,1461,870,666,3088,961,101,28,1061,0,,
Floyd,1,2200,2908,1698,1303,4371,1070,132,68,1723,0,,
Foard,2/3,1600,763,455,340,962,315,7,80,332,0,,
Fort Bend,6/5S,418980,467049,286387,193902,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,3000,3466,2083,1526,8554,2367,169,163,2871,0,,
Freestone,7,3700,5384,3498,2375,15808,3996,553,261,6319,689,,
Frio,8,11050,6946,4324,3217,16121,2499,186,166,6797,28,,
Gaines,9/10,4500,4448,2685,2084,14548,1907,323,95,6156,717,,
Galveston,6/5S,240360,196532,117458,82388,269280,50987,11784,2830,96486,10219,,
Garza,1,3400,2225,1437,1199,5325,719,33,75,2197,0,,
Gillespie,8,28400,15105,9348,6030,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,795,455,371,1099,210,23,0,426,0,,
Goliad,8,2300,3349,1860,1560,6281,1832,39,135,2282,0,,
Gonzales,8,8700,9308,6045,4281,15937,3572,550,256,6356,693,,
Gray,1,4600,7980,4928,3409,16924,3531,689,315,6978,42,,
Grayson,2/3,56930,49221,32113,22052,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,99295,51083,29436,22424,95544,19451,7025,2324,37362,3988,,
Grimes,7,4300,10924,7048,4461,23245,5134,234,311,9653,771,,
Guadalupe,8,75785,65211,41758,30306,130517,23614,3801,1225,49282,3850,,
Hale,1,11500,12331,7805,5306,25476,4604,873,399,10561,1177,,
Hall,1,0,1619,952,765,2406,711,27,72,978,0,,
Hamilton,7,5000,4484,2777,2172,6832,2146,481,296,2427,10,,
Hansford,1,3200,2677,1648,1397,3987,812,139,84,1616,295,,
Hardeman,2/3,3200,2267,1301,1153,3190,912,102,16,1146,0,,
Hardin,6/5S,11000,21797,13135,9072,45112,9762,1003,527,16190,1814,,
Harris,6/5S,2669720,2235071,1458056,855394,3601939,514167,225769,27623,1408024,148273,,
Harrison,4/5N,15370,19565,11970,9197,51900,11607,3063,608,20509,2169,,
Hartley,1,1475,2768,1684,1096,4561,861,196,94,1669,253,,
Haskell,2/3,2600,2831,1743,1222,4831,1266,123,68,1872,187,,
Hays,7,141540,108043,70399,43284,183380,26187,5488,1907,61462,6431,,
Hemphill,1,2900,1940,1169,1053,2827,606,104,98,1066,0,,
Henderson,4/5N,20170,27790,17251,11895,67238,18534,2043,998,26544,1787,,
Hidalgo,11,500890,469335,302131,183316,620824,98328,54962,17074,286328,36161,,
Hill,7,8200,14948,9060,7081,29198,7684,862,523,11381,1209,,
Hockley,1,5200,9567,5556,4455,17799,3453,483,263,6829,887,,
Hood,2/3,26970,32744,19602,13841,50193,15416,1720,867,16867,147,,
Hopkins,4/5N,10670,12175,7537,5074,29175,6887,1192,620,11166,1299,,
Houston,4/5N,6100,8143,5176,3673,18929,5176,634,538,7399,631,,
Howard,9/10,7600,10072,5750,4727,29544,4813,1456,454,12143,858,,
Hudspeth,9/10,1700,2085,1214,915,3979,775,33,0,1778,145,,
Hunt,2/3,34970,31658,19004,13856,77878,15810,4112,947,31096,2723,,
Hutchinson,1,4200,7870,4506,3503,16258,3581,504,246,6098,741,,
Irion,9/10,0,778,449,337,1234,328,15,0,429,0,,
Jack,2/3,3700,3455,2027,1558,7230,1515,198,149,2732,284,,
Jackson,8,9290,6483,4062,2614,11425,2720,380,237,4205,674,,
Jasper,4/5N,14000,14022,8094,6463,28056,7187,1597,374,11687,1173,,
Jeff Davis,9/10,1400,1824,1028,842,2180,812,28,0,685,0,,
Jefferson,6/5S,211590,99785,62258,38425,197382,37595,13127,2431,90120,6898,,
Jim Hogg,11,1400,3761,2165,1620,3791,890,14,60,1572,0,,
Jim Wells,11,30045,24049,13645,10946,30579,6358,3897,985,12474,1370,,
Johnson,2/3,84210,65098,38971,27739,135345,25151,3559,1471,53224,5814,,
Jones,2/3,2800,5531,3437,2549,17011,3188,337,254,6981,525,,
Karnes,8,11680,6208,3961,3016,12669,2211,370,244,5177,505,,
Kaufman,2/3,51050,50247,32185,19964,102341,16113,2857,1189,40613,4498,,
Kendall,8,15100,26363,16355,11007,37890,9152,1091,801,12702,160,,
Kenedy,11,0,314,174,144,321,68,1,0,139,0,,
Kent,2/3,0,385,223,186,615,201,13,60,198,0,,
Kerr,8,16500,23083,14385,9430,43793,14769,2805,1022,13990,1087,,
Kimble,9/10,2500,2310,1354,1060,3651,1288,90,0,1243,0,,
King,1,0,95,68,31,205,51,7,0,69,0,,
Kinney,8,2200,1667,1087,608,3050,910,11,0,1171,0,,
Kleberg,11,50045,20935,11574,9678,24188,4046,1401,341,9265,870,,
Knox,2/3,2100,1911,1070,948,2808,736,95,127,976,182,,
La Salle,8,23835,4936,2820,2272,6212,1018,22,60,2410,0,,
Lamar,4/5N,24800,20906,12214,9477,39402,9726,3115,745,14986,1612,,
Lamb,1,2300,5808,3469,2671,9740,2240,454,226,3968,536,,
Lampasas,7,4400,7261,4574,3168,17366,4322,348,284,6457,0,,
Lavaca,8,7800,8752,5325,4212,16004,4775,820,612,5435,476,,
Lee,7,4500,6829,4335,2825,13993,3219,334,226,5333,494,,
Leon,7,3500,6079,3963,2802,13946,4334,155,74,4662,603,,
Liberty,6/5S,33845,23228,14836,9631,66868,11399,1398,614,28567,2987,,
Limestone,7,6700,6980,4414,3151,18871,4670,2332,1060,7512,702,,
Lipscomb,1,1300,1261,747,568,2520,617,24,61,919,190,,
Live Oak,11,2900,4522,2624,2004,10055,2533,35,100,3769,300,,
Llano,7,5700,10426,6530,4512,18908,8119,277,358,5362,15,,
Loving,9/10,0,54,31,23,129,23,0,0,50,0,,
Lubbock,1,207750,160452,96256,67159,244992,39476,20974,4093,83028,9242,,
Lynn,1,1700,2548,1555,1060,4496,974,191,40,1838,328,,
Madison,7,3000,3827,2536,1587,11595,2264,299,258,4451,17,,
Marion,4/5N,1300,3399,2022,1616,8277,2697,351,158,3058,0,,
Martin,9/10,2000,2266,1355,1013,4136,659,165,0,1624,0,,
Mason,9/10,1900,2607,1471,1217,3521,1250,104,0,1147,0,,
Matagorda,6/5S,14850,14482,9635,5399,28247,6391,1113,369,11409,1164,,
Maverick,8,40400,30138,22294,9961,42606,7003,2970,1198,18727,152,,
McCulloch,9/10,4000,3053,1842,1349,6435,1792,212,122,2275,260,,
McLennan,7,124810,98807,61366,43477,200781,37728,11153,3621,71906,8718,,
McMullen,11,1000,383,228,186,616,189,10,0,202,0,,
Medina,8,15000,22685,14585,9908,41263,8757,899,536,16090,1720,,
Menard,9/10,1300,1333,797,665,1790,699,9,40,550,0,,
Midland,9/10,130425,78329,45773,33834,131025,18438,5950,1288,49538,4151,,
Milam,7,8400,10177,5975,4468,19689,5245,532,297,7641,827,,
Mills,7,2400,2405,1421,1064,4006,1416,149,152,1305,265,,
Mitchell,2/3,3600,2331,1457,917,6958,1259,265,96,2753,254,,
Montague,2/3,4350,7826,4652,3522,15872,4444,560,383,5668,702,,
Montgomery,6/5S,339000,217577,137646,86578,467232,81457,20255,3836,157396,17330,,
Moore,1,6740,11383,6586,4995,14986,2372,448,176,6143,27,,
Morris,4/5N,1900,4130,2618,1872,9830,2730,77,179,3692,0,,
Motley,1,0,528,343,195,994,368,22,50,319,0,,
Nacogdoches,4/5N,27600,27887,18346,13051,51773,9953,2530,755,19948,1728,,
Navarro,2/3,32800,23062,14021,9487,38360,8651,1720,869,15775,1772,,
Newton,4/5N,2700,3958,2222,1815,11298,2878,55,113,4648,354,,
Nolan,2/3,7500,6216,4049,3176,11321,2737,519,251,4249,719,,
Nueces,11,225855,177053,102180,78541,284366,54069,25582,4100,113767,9771,,
Ochiltree,1,4200,3758,2494,1465,7106,1148,200,114,2812,0,,
Oldham,1,1500,739,431,333,1728,316,18,0,654,227,,
Orange,6/5S,4300,25190,15337,10556,65087,13729,1456,548,26244,2692,,
Palo Pinto,2/3,4800,10401,6249,4637,23207,5893,864,283,8796,816,,
Panola,4/5N,3800,6241,4082,2809,18462,4589,473,377,7117,661,,
Parker,2/3,61730,58014,34838,25153,111686,22331,2890,1301,40567,3773,,
Parmer,1,2400,4643,2651,2205,7222,1366,161,174,2910,525,,
Pecos,9/10,5900,9078,4999,4274,12317,2141,400,120,5047,517,,
Polk,4/5N,9100,17433,10420,7841,42276,9733,1184,574,17118,1025,,
Potter,1,170495,48493,29182,20155,88673,15203,10224,1770,35559,518,,
Presidio,9/10,5000,7183,4218,3023,5069,1601,27,0,2039,0,,
Rains,4/5N,1900,3965,2354,1710,10277,3123,163,68,3649,0,,
Randall,1,15270,68871,39871,30950,108431,21424,2812,869,34803,519,,
Reagan,9/10,1400,1450,892,729,2841,427,52,42,1173,0,,
Real,8,1700,2152,1192,980,2943,1053,25,86,1051,0,,
Red River,4/5N,3300,4890,2978,2303,9965,3044,420,252,3717,477,,
Reeves,9/10,26235,8239,4489,3819,12781,1878,281,89,5277,0,,
Refugio,11,2600,4094,2386,1783,5583,1617,228,154,2031,313,,
Roberts,1,0,307,169,147,672,193,16,0,227,0,,
Robertson,7,3700,6613,4116,3076,13474,3412,252,252,4991,690,,
Rockwall,2/3,50685,49543,30438,21366,80325,13395,3750,1347,27575,3321,,
Runnels,2/3,6400,5081,2869,2483,8184,2153,405,312,2979,430,,
Rusk,4/5N,10470,15053,9288,6688,43777,9197,1501,759,17428,1859,,
Sabine,4/5N,3500,4732,2710,2237,8871,3267,572,186,3077,0,,
San Augustine,4/5N,3300,3657,2219,1538,6811,2227,415,337,2590,0,,
San Jacinto,4/5N,4000,8639,5227,4018,23444,6488,132,190,9275,40,,
San Patricio,11,17570,29839,18260,12850,51116,10209,975,347,19063,2379,,
San Saba,7,2000,1703,1170,593,5000,1465,33,72,1828,197,,
Schleicher,9/10,1700,1373,762,658,2218,559,65,34,793,0,,
Scurry,2/3,6895,6702,3853,3081,13000,2566,399,128,5165,0,,
Shackelford,2/3,1700,1450,844,642,2612,691,52,0,937,119,,
Shelby,4/5N,8680,7073,4258,3211,19449,4532,540,369,7876,948,,
Sherman,1,1800,1297,793,573,2294,462,24,42,868,0,,
Smith,4/5N,184920,95721,58579,38764,182283,39337,19690,3030,62467,7172,,
Somervell,2/3,4000,4314,2616,1980,7386,1770,457,220,2741,479,,
Starr,11,32000,45086,27790,21249,45765,7370,4479,1999,21117,3311,,
Stephens,2/3,3000,3241,2030,1575,7542,1890,168,92,2928,22,,
Sterling,9/10,700,536,331,207,975,186,10,44,375,0,,
Stonewall,2/3,1600,690,386,338,1095,361,63,53,369,0,,
Sutton,9/10,1900,2018,1150,891,2992,723,91,0,1051,0,,
Swisher,1,2200,2901,1762,1467,5764,1305,114,61,2381,323,,
Tarrant,2/3,1167770,891449,537183,375825,1617160,244511,86106,18386,590239,56668,,
Taylor,2/3,85425,65317,38667,28186,107257,20131,11065,2465,36680,4185,,
Terrell,9/10,0,614,364,269,639,255,10,0,207,0,,
Terry,1,8490,5923,3493,2788,9307,1858,345,178,3985,416,,
Throckmorton,2/3,2000,935,514,432,1247,445,64,0,399,0,,
Titus,4/5N,17150,8776,5538,3582,24323,4845,1811,633,9797,1297,,
Tom Green,9/10,83510,60075,34523,26262,93752,18625,6702,1601,33131,3815,,
Travis,7,1212100,691969,447152,273241,1032386,129553,51820,8264,311477,32884,,
Trinity,4/5N,4650,5673,3361,2565,12104,3956,347,241,4400,427,,
Tyler,4/5N,8300,7094,4074,3159,17963,4895,476,238,6926,722,,
Upshur,4/5N,5000,12292,7224,5578,33011,7825,714,567,12366,1404,,
Upton,9/10,3100,1957,1061,903,2730,537,170,30,1105,0,,
Uvalde,8,27805,15044,9109,6365,20379,4508,1498,515,8253,985,,
Val Verde,8,34410,20550,13627,7876,36546,7003,2610,490,14417,104,,
Van Zandt,4/5N,11200,18556,11573,8026,45216,11495,1280,711,16861,1783,,
Victoria,8,51750,35721,21944,14728,71388,15242,5624,1030,27119,241,,
Walker,6/5S,30770,22545,15246,9226,63471,10049,1526,400,24628,1438,,
Waller,6/5S,12270,15262,9653,6399,43350,6546,1182,466,16819,1813,,
Ward,9/10,4640,5965,3356,2851,8921,1629,137,92,3551,0,,
Washington,7,59400,16133,9417,7124,29086,7889,2581,1018,10662,72,,
Webb,11,160400,170213,110999,67685,196916,26921,12073,1646,88397,11668,,
Wharton,6/5S,15450,14257,9789,5698,32110,7239,1438,615,12933,1328,,
Wheeler,1,2800,2165,1269,1076,3915,1002,200,114,1459,243,,
Wichita,2/3,62970,55859,34265,24911,105631,19854,8664,2030,42031,3508,,
Wilbarger,2/3,9600,7476,4442,3814,10361,2421,457,304,4240,27,,
Willacy,11,5500,12084,7148,5140,16897,3057,325,557,7612,775,,
Williamson,7,322350,295158,191171,117799,458433,73202,14404,4639,146388,19090,,
Wilson,8,17400,19463,12559,8166,40488,8411,1224,615,13986,1510,,
Winkler,9/10,2000,3419,2032,1621,5954,964,102,0,2445,0,,
Wise,2/3,23870,24464,15066,10778,54722,10598,3589,552,22459,1533,,
Wood,4/5N,6300,18476,11132,8554,38005,12527,1046,880,13019,1130,,
Yoakum,1,3000,3279,2220,1464,6135,1033,225,60,2367,0,,
Young,2/3,7900,7710,4636,3679,14219,3774,862,431,5296,626,,
Zapata,11,7400,8722,5674,3573,9981,1866,195,202,4642,0,,
Zavala,8,1700,7021,4062,3002,8840,1723,25,60,4035,458,,
Other, ,,961509,768032,239323,,,,,,,,
