County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,3213025,1713980,1459293,254687,22448443,3769216,1591521,270194,9499038
Federal Long-Term Care Vaccination Program,--,731250,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,1914,1829,85,49346,8955,2590,833,24078
Andrews,9/10,1100,1416,1099,317,13954,1905,401,106,5867
Angelina,4/5N,11200,5466,5019,447,70388,14706,7603,1752,34525
Aransas,11,600,1015,936,79,19727,6538,542,252,10102
Archer,2/3,400,554,485,69,7533,1887,107,59,3131
Armstrong,1,200,256,249,7,1693,588,37,86,659
Atascosa,8,2900,1803,1544,259,39065,7743,1181,655,17891
Austin,6/5S,1400,1480,1379,101,25584,6512,1069,396,10132
Bailey,1,1475,549,520,29,5190,1024,156,74,2359
Bandera,8,200,1251,1149,102,19833,6530,426,186,9348
Bastrop,7,3200,2624,2377,247,70499,14746,2137,696,34606
Baylor,2/3,1575,722,692,30,3002,916,156,97,1287
Bee,11,4625,3004,2886,118,26904,4202,1219,684,13037
Bell,7,27300,17127,14613,2514,265191,37371,20144,2466,105279
Bexar,8,235400,130338,101596,28742,1541803,248261,127752,17100,696450
Blanco,7,300,1141,1100,41,10177,3274,167,102,4572
Borden,9/10,0,26,26,0,580,206,10,0,228
Bosque,7,1900,789,760,29,15491,4847,677,407,7171
Bowie,4/5N,8850,3433,2795,638,78179,16917,7877,1532,36179
Brazoria,6/5S,14600,21021,17039,3982,295635,48145,13914,2648,119229
Brazos,7,16125,8049,7213,836,185835,21605,10756,1278,64988
Brewster,9/10,1000,639,613,26,7291,1942,548,0,3547
Briscoe,1,100,159,158,1,1295,443,18,0,642
Brooks,11,600,309,304,5,5438,1441,396,246,2867
Brown,2/3,1600,1278,1033,245,31586,8452,1886,911,14261
Burleson,7,600,585,535,50,14721,3981,203,218,7277
Burnet,7,2800,1597,1392,205,39423,11162,2391,595,17381
Caldwell,7,1200,1421,1292,129,33813,6558,1744,524,16400
Calhoun,8,1000,1096,972,124,17169,3944,608,254,7841
Callahan,2/3,700,617,479,138,11666,3185,310,122,5346
Cameron,11,39850,34206,29430,4776,315242,59778,33067,6480,149238
Camp,4/5N,100,490,428,62,10054,2412,353,154,4991
Carson,1,200,479,464,15,4769,1096,77,0,2031
Cass,4/5N,300,479,408,71,24447,7203,1609,550,12120
Castro,1,700,526,467,59,5574,1267,152,174,2718
Chambers,6/5S,4200,1879,1712,167,34171,5692,1101,120,13721
Cherokee,4/5N,4200,2328,2162,166,41571,9380,1837,809,20430
Childress,1,900,489,451,38,5769,1177,276,136,2845
Clay,2/3,1275,615,519,96,8544,2430,175,60,4071
Cochran,1,100,429,355,74,2167,497,66,0,1139
Coke,9/10,0,160,138,22,2839,957,47,130,1324
Coleman,2/3,600,439,407,32,6555,2051,418,162,3427
Collin,2/3,47375,47079,39912,7167,806242,118818,56174,7544,256993
Collingsworth,1,300,312,305,7,2177,574,94,92,1084
Colorado,6/5S,600,755,711,44,17682,5065,1057,477,7953
Comal,8,9200,7005,5777,1228,125758,29676,7125,1845,45927
Comanche,2/3,1475,1073,1027,46,11046,3438,418,292,5170
Concho,9/10,0,102,83,19,2381,528,81,66,1923
Cooke,2/3,1500,1436,1339,97,32501,7977,1347,552,14449
Coryell,7,2575,2217,2061,156,58277,6832,1291,594,25149
Cottle,2/3,0,49,48,1,1120,400,5,0,608
Crane,9/10,1175,289,270,19,3483,625,95,110,1547
Crockett,9/10,0,300,291,9,2687,716,45,56,1307
Crosby,1,1175,363,336,27,4386,1236,127,115,2252
Culberson,9/10,400,127,109,18,1797,529,79,0,972
Dallam,1,300,318,314,4,5092,691,95,0,2336
Dallas,2/3,236700,125642,106454,19188,2015538,284171,183122,21354,820238
Dawson,9/10,500,520,498,22,9997,1927,385,112,5005
Deaf Smith,1,1100,909,868,41,14288,2472,316,228,6265
Delta,4/5N,0,180,148,32,4312,1312,437,100,2090
Denton,2/3,39875,26923,22873,4050,702429,94410,34569,5667,276089
DeWitt,8,700,588,507,81,16610,4251,421,438,7926
Dickens,1,0,52,51,1,1840,546,29,0,943
Dimmit,8,1475,591,541,50,7130,1517,226,175,4018
Donley,1,100,278,272,6,2655,798,47,74,1278
Duval,11,300,783,758,25,8359,2073,107,150,4543
Eastland,2/3,600,839,778,61,14718,4181,1021,405,7102
Ector,9/10,15200,7404,5944,1460,123303,16788,6730,1016,54750
Edwards,8,0,92,78,14,1605,586,27,0,792
El Paso,9/10,91975,75974,62802,13172,640715,111036,46429,8546,281334
Ellis,2/3,4600,7003,6013,990,146536,26120,5259,1781,61039
Erath,2/3,700,1322,1154,168,34869,6466,1793,481,14817
Falls,7,1575,840,808,32,14306,3332,413,187,7192
