County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,19151567,11347541,8471564,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,21567,14966,7837,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10653,5860,4986,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,44412,25667,20305,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19026,10854,8753,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5389,2986,2680,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1014,575,462,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,25166,15387,10728,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17464,10334,8205,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3856,2160,1875,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12449,7445,5718,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,53477,33284,21862,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2167,1206,1086,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19257,11488,8157,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,139015,84105,60617,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1364234,798499,600677,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,8679,4954,4016,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,261,147,133,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,10864,6253,5195,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,34940,20470,16695,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,248210,144794,112713,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,148230,87352,65197,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7563,4317,3662,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,876,472,422,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5574,3096,2623,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16054,10256,8793,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10464,6140,4942,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,27923,16960,12473,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,23353,14681,10144,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12943,7674,6354,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6311,3600,3097,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,345717,210035,147161,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6087,3557,2720,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2643,1468,1235,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11601,6966,5576,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3774,2193,1704,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,20628,12981,8128,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,20931,12460,9695,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4078,2506,1886,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6312,3402,3138,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1461,856,764,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1788,1007,817,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3968,2242,1902,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,837625,481966,375224,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1381,790,687,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,13684,8315,6715,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,107045,64357,48144,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7614,4391,3754,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1707,962,816,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,18602,11096,8193,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,27294,17369,10849,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,759,429,377,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2111,1308,823,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1909,1051,884,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3533,1934,1651,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1806,967,844,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4133,2409,1764,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,1731718,1024908,760437,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,4714,2864,1994,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,10619,6223,4922,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,8131,4871,3785,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2228,1258,1047,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,657221,378060,295898,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,980,548,493,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7829,4504,3359,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1717,1004,758,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,8347,4910,3828,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,8236,4878,3971,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,80807,45339,37436,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,971,529,459,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,693820,420084,293302,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,107588,62802,48540,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,18735,10784,8624,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,8389,5149,3453,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,15818,9435,7444,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,15786,9465,7515,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1765,1005,874,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3284,1838,1563,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,702,402,328,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,679819,395894,303824,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,4535,2709,2109,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,7771,4917,3405,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,9295,5729,4298,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,5169,3032,2507,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,247151,138757,112984,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,2792,1875,1350,5325,719,33,75,2197,0,,,,,,,,,,,,,
