County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,9204921,6275169,3148130,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7861,5418,2823,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,8005,4985,3110,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,24620,16304,8810,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,9179,6195,3175,19803,6791,370,252,6701,39,,
Archer,2/3,1800,3439,2187,1319,6921,1677,80,13,2381,330,,
Armstrong,1,1200,775,484,297,1499,470,32,86,466,0,,
Atascosa,8,8600,11023,7618,3693,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,10823,7684,3461,23704,5933,667,396,7873,1079,,
Bailey,1,16885,3082,1801,1326,5089,1036,114,74,1982,0,,
Bandera,8,1600,6103,4094,2190,19763,6439,352,180,6555,20,,
Bastrop,7,25200,19961,15016,5353,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1774,969,814,2793,844,137,97,908,0,,
Bee,11,48460,13329,7758,5666,26496,4091,981,684,11359,989,,
Bell,7,116990,69452,46554,25920,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,636133,413709,229426,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,4314,3045,1359,10092,3004,90,102,3388,303,,
Borden,9/10,0,174,125,55,543,174,9,0,163,0,,
Bosque,7,5600,6315,4518,2037,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,18557,12723,6854,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,118043,78914,42142,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,62463,44830,19738,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,5269,3529,1903,7706,2231,303,0,2579,255,,
Briscoe,1,800,752,426,333,1272,404,19,0,452,0,,
Brooks,11,2000,3511,2436,1085,5317,1308,323,246,2253,22,,
Brown,2/3,9700,9122,6568,3944,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,5412,3767,1908,14869,3867,143,218,5600,518,,
Burnet,7,19435,13363,9474,4593,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,9139,6695,2892,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,5777,4329,1658,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3691,2452,1326,11263,2958,146,122,4094,442,,
Cameron,11,158455,159900,105934,58128,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2918,1991,979,10031,2494,207,152,3927,0,,
Carson,1,1000,1871,1167,717,4718,1250,60,0,1547,240,,
Cass,4/5N,2400,5076,3709,1660,24182,6856,1216,550,9010,1125,,
Castro,1,2000,2494,1613,967,5607,1236,121,174,2168,341,,
Chambers,6/5S,22300,11515,7979,3628,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10300,10994,7118,4265,40876,9444,1500,738,16376,1511,,
Childress,1,3000,2279,1533,819,6094,1165,251,136,2395,0,,
Clay,2/3,8145,5217,3025,2224,8666,2484,136,60,3011,384,,
Cochran,1,1000,1144,841,393,2188,468,57,0,956,0,,
Coke,9/10,0,1170,803,374,2756,947,47,130,899,0,,
Coleman,2/3,1700,2229,1657,633,6721,2119,342,162,2379,289,,
Collin,2/3,359990,364607,243492,126774,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1400,1039,637,411,2263,555,80,92,847,0,,
Colorado,6/5S,6100,7341,4755,2962,17107,4850,853,477,5957,613,,
Comal,8,40100,54638,36318,19864,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4720,4710,3206,1744,10944,3330,330,292,3738,455,,
Concho,9/10,1200,1178,756,438,2288,689,76,66,815,0,,
Cooke,2/3,11400,10300,6737,3703,32675,7804,948,552,11640,1051,,
Coryell,7,18985,12435,7949,4700,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,443,330,120,1123,339,5,0,446,0,,
Crane,9/10,2750,1649,1010,645,3554,594,71,110,1353,0,,
Crockett,9/10,0,1362,827,536,2694,612,31,56,1031,0,,
Crosby,1,3150,2717,1588,1145,4421,1085,98,115,1771,284,,
Culberson,9/10,1200,953,651,304,1746,480,67,0,722,0,,
Dallam,1,16310,3244,1957,1295,5217,857,40,0,2067,0,,
Dallas,2/3,973925,753970,513451,258355,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,2100,2620,1733,919,9789,1898,304,112,4206,475,,
Deaf Smith,1,3200,4873,3258,1724,13439,2423,238,147,5332,0,,
Delta,4/5N,900,1338,886,486,4222,1118,379,100,1580,0,,
Denton,2/3,315750,263713,168175,99542,697330,93499,23806,5913,257836,22330,,
DeWitt,8,3000,5093,3775,1364,16110,4035,319,438,6110,1055,,
Dickens,1,0,686,447,258,1858,525,21,0,689,0,,
Dimmit,8,15745,5916,3385,2535,7539,1749,238,175,3179,48,,
