County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,18960916,11292655,8329391,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,21465,14899,7782,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10636,5851,4978,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,44130,25517,20155,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18969,10826,8724,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5335,2959,2652,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1013,575,461,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,24891,15284,10549,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17208,10244,8031,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3857,2162,1874,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12315,7411,5613,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,52387,33033,21004,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2184,1232,1077,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19192,11454,8118,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,136905,83513,59017,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1345693,793625,586555,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,8531,4915,3900,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,261,148,132,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,10813,6227,5159,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,34791,20415,16589,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,246535,144360,111435,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,145308,86903,62694,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7496,4307,3605,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,874,470,422,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5554,3085,2614,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,15989,10230,8754,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10320,6112,4826,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,27727,16871,12329,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,22883,14458,9892,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12773,7636,6220,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6301,3593,3094,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,341632,209100,143939,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6068,3564,2689,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2633,1465,1228,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11587,6958,5569,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3766,2188,1699,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,20466,12906,8039,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,20803,12416,9605,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4064,2496,1882,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6262,3379,3112,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,2028,1145,1042,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1780,1002,812,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3967,2242,1901,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,828011,480236,367124,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1376,788,683,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,13587,8271,6645,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,105476,63446,47434,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7589,4374,3745,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1702,960,813,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,16626,10368,6940,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,26977,17250,10650,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,757,428,376,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2105,1304,821,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1876,1040,861,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3518,1931,1638,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1806,967,844,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4132,2412,1760,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,1713631,1019887,746713,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,4701,2859,1982,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,10174,5886,4813,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,8063,4843,3745,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2225,1257,1045,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,650425,377088,289899,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,977,548,490,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7793,4484,3343,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1704,1002,747,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,8322,4899,3814,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,8197,4860,3950,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,80502,45178,37225,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,970,529,458,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,687527,418455,288543,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,106177,62518,47384,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,18649,10722,8591,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,8207,5013,3403,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,15714,9369,7402,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,15591,9385,7384,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1721,996,837,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3247,1816,1543,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,705,405,328,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,674312,394111,299984,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,4527,2709,2100,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,7689,4885,3345,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,9229,5702,4258,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,5161,3026,2506,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,245544,138272,111829,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,2696,1781,1341,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,19077,10994,8656,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,833,464,394,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4140,2294,2047,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,11373,6740,5742,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5500,9754,5761,4403,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2/3,67740,65760,40046,31726,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,124925,64811,36467,30028,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4700,15870,9721,6926,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91395,92139,57196,42983,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
Hale,1,14000,15026,8721,7188,25476,4604,873,399,10561,1177,,,,,,,,,,,,,
Hall,1,0,1757,1009,868,2406,711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,6100,5135,3050,2563,6832,2146,481,296,2427,10,,,,,,,,,,,,,
Hansford,1,3400,2913,1713,1574,3987,812,139,84,1616,295,,,,,,,,,,,,,
Hardeman,2/3,3800,2341,1331,1198,3190,912,102,16,1146,0,,,,,,,,,,,,,
Hardin,6/5S,11800,24798,14207,11176,45112,9762,1003,527,16190,1814,,,,,,,,,,,,,
Harris,6/5S,3395220,3015327,1840591,1290341,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,,
Harrison,4/5N,16870,27473,16314,13203,51900,11607,3063,608,20509,2169,,,,,,,,,,,,,
Hartley,1,1475,3422,2019,1419,4561,861,196,94,1669,253,,,,,,,,,,,,,
Haskell,2/3,3200,3176,1849,1470,4831,1266,123,68,1872,187,,,,,,,,,,,,,
Hays,7,170240,159719,97530,69781,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,,
Hemphill,1,3100,2151,1289,1149,2827,606,104,98,1066,0,,,,,,,,,,,,,
