County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,4468600,2602789,2041378,561411,21407691,3329659,1241763,271813,8051352
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--
Anderson,4/5N,6200,2489,2180,309,47597,8202,2051,833,20210
Andrews,9/10,1600,2301,1692,609,12825,1801,309,106,5148
Angelina,4/5N,13600,7951,6227,1724,67453,13539,6534,1752,28736
Aransas,11,1100,1527,1357,170,20955,6656,370,252,7364
Archer,2/3,700,901,752,149,7130,1721,80,13,2456
Armstrong,1,400,377,305,72,1461,396,32,86,482
Atascosa,8,2900,3242,2564,678,36791,6915,1124,651,14609
Austin,6/5S,1800,2523,2100,423,23308,5403,667,396,7932
Bailey,1,3525,1385,1276,109,5134,981,114,74,2031
Bandera,8,500,1741,1469,272,18536,5623,352,180,6353
Bastrop,7,6200,3717,2814,903,63974,11861,1462,696,27828
Baylor,2/3,1975,811,723,88,2923,886,137,97,949
Bee,11,11075,4695,4231,464,26535,3836,981,684,11508
Bell,7,41450,21770,18021,3749,255178,34957,15894,2466,90070
Bexar,8,309800,186205,138167,48038,1482211,223179,100704,17248,593004
Blanco,7,900,2013,1610,403,9449,2691,90,102,3230
Borden,9/10,0,38,36,2,537,159,9,0,167
Bosque,7,2700,1093,900,193,14611,4384,624,407,5001
Bowie,4/5N,11050,4879,3443,1436,73749,14999,6332,1467,29551
Brazoria,6/5S,29600,29605,22723,6882,269413,39812,9762,2648,100565
Brazos,7,24625,13053,11047,2006,179099,18744,7514,1414,57888
Brewster,9/10,1300,1425,1294,131,7609,1973,303,0,2655
Briscoe,1,400,606,433,173,1229,373,19,0,446
Brooks,11,800,711,624,87,5398,1257,323,246,2327
Brown,2/3,2100,1747,1203,544,30563,7318,1663,911,11227
Burleson,7,800,1146,872,274,14289,3555,143,218,5464
Burnet,7,5250,2168,1673,495,36993,9846,1823,595,12623
Caldwell,7,2400,2076,1617,459,32672,5715,1286,524,13425
Calhoun,8,1100,1570,1179,391,17099,3642,470,384,6459
Callahan,2/3,1000,928,728,200,11037,2758,146,122,4082
Cameron,11,58950,49511,38659,10852,304880,53736,29737,6315,126828
Camp,4/5N,300,705,558,147,9755,2252,207,152,3909
Carson,1,200,783,636,147,4746,1057,60,0,1645
Cass,4/5N,400,755,535,220,24043,6470,1216,550,9138
Castro,1,700,891,766,125,5737,1134,121,174,2283
Chambers,6/5S,8000,2708,2153,555,30384,4489,958,244,11627
Cherokee,4/5N,5200,3336,2686,650,40020,8738,1500,738,16298
Childress,1,1500,619,436,183,5879,1060,251,136,2342
Clay,2/3,3325,2019,1802,217,8415,2186,136,60,3034
Cochran,1,300,519,408,111,2201,439,57,0,980
Coke,9/10,0,276,242,34,2665,863,47,130,896
Coleman,2/3,800,599,480,119,6816,2028,342,162,2475
