County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,27901295,15852332,13172164,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,36398,21148,17603,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,12994,7265,6003,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,60342,34493,28442,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,23957,13634,11207,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6494,3632,3209,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1211,686,562,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,39956,23007,18440,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,23678,13972,11550,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4508,2600,2145,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,16815,9672,8259,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,80871,47209,36302,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2332,1292,1161,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,25944,14527,12008,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,224047,129332,104308,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2101051,1186558,983680,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,10793,6025,5205,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,318,190,154,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,13220,7624,6430,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,50708,29632,24229,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,350787,196990,168295,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,196149,110251,92643,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8693,4955,4212,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,1030,560,499,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,7355,4220,3446,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,21517,13553,11486,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,13712,7891,6713,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,39463,22919,19010,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,36898,21683,17263,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,17989,10644,8825,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,7930,4659,3871,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,519366,293569,242440,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,8462,4882,3876,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3268,1834,1531,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,15585,9264,7569,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4898,2916,2148,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,32819,18851,14880,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
