County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,16653045,11818417,7780666,4340937,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2667690,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,13970,9681,6723,3648,48045,8658,2051,833,20206,1574,,
Andrews,44449,5100,9056,5223,3934,13503,1833,309,106,5450,41,,
Angelina,4/5N,40500,29143,19054,10903,67056,14422,6534,1752,28054,3266,,
Aransas,11,4670,12396,7938,4726,19803,6791,370,252,6701,39,,
Archer,44230,2400,3819,2355,1591,6921,1677,80,13,2381,330,,
Armstrong,1,1700,837,516,332,1499,470,32,86,466,0,,
Atascosa,8,13100,14728,9903,5284,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6000,14393,10055,4992,23704,5933,667,396,7873,1079,,
Bailey,1,20395,3399,1960,1559,5089,1036,114,74,1982,0,,
Bandera,8,3000,8281,5695,2863,19763,6439,352,180,6555,20,,
Bastrop,7,34300,25725,17619,8715,68839,13865,1462,696,29356,2746,,
Baylor,44230,4750,2004,1145,875,2793,844,137,97,908,0,,
Bee,11,63120,14664,8252,6545,26496,4091,981,684,11359,989,,
Bell,7,152980,82960,53103,33484,272969,40534,15894,2466,95066,12910,,
Bexar,8,945450,795648,505101,300973,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4100,5837,4045,1943,10092,3004,90,102,3388,303,,
Borden,44449,0,239,145,101,543,174,9,0,163,0,,
Bosque,7,8000,7130,4930,2487,15224,4741,624,407,5126,579,,
Bowie,4/5N,43950,22269,14210,9393,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,144220,149015,94760,58410,287683,45752,9762,2648,105966,12034,,
Brazos,7,101260,86541,58951,30359,186843,21693,7514,1414,59619,6083,,
Brewster,44449,3800,6257,3808,2635,7706,2231,303,0,2579,255,,
Briscoe,1,1200,842,482,394,1272,404,19,0,452,0,,
Brooks,11,2900,4384,2583,1813,5317,1308,323,246,2253,22,,
Brown,44230,12100,11214,7640,5747,30883,7720,1663,911,11188,1112,,
Burleson,7,3300,7123,4510,2941,14869,3867,143,218,5600,518,,
Burnet,7,24715,17017,11502,6372,39239,10999,1823,595,13132,94,,
Caldwell,7,11100,12607,8554,4734,34853,6512,1286,524,14114,1294,,
Calhoun,8,5100,7630,5291,2929,16817,3981,470,384,6161,53,,
Callahan,44230,2900,4588,2822,1897,11263,2958,146,122,4094,442,,
Cameron,11,200045,202481,130560,77272,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1400,3729,2487,1337,10031,2494,207,152,3927,0,,
Carson,1,1300,2146,1282,894,4718,1250,60,0,1547,240,,
Cass,4/5N,4100,6429,4298,2542,24182,6856,1216,550,9010,1125,,
Castro,1,2500,2958,1885,1172,5607,1236,121,174,2168,341,,
Chambers,6/5S,27400,12591,8360,4399,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,13970,13092,8302,5423,40876,9444,1500,738,16376,1511,,
Childress,1,3900,2834,1681,1229,6094,1165,251,136,2395,0,,
Clay,44230,10545,5277,2857,2489,8666,2484,136,60,3011,384,,
Cochran,1,1400,2334,1870,584,2188,468,57,0,956,0,,
Coke,44449,0,1390,862,544,2756,947,47,130,899,0,,
