County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,18555599,11157897,8044899,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,20483,14418,7263,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10562,5812,4939,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,42639,25328,18834,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18791,10738,8624,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5286,3011,2545,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1010,578,456,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,24228,15031,10126,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17222,10374,7906,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3833,2146,1864,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12085,7297,5482,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,51711,32812,20520,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2239,1298,1066,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19052,11386,8034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,132876,81718,56664,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1307865,783756,557759,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,8486,4912,3848,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,275,161,141,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,10755,6224,5085,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,34229,20163,16268,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,242498,143021,108550,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,140996,85882,59351,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7477,4310,3577,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,866,463,418,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5518,3055,2585,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,15815,10132,8667,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10061,6037,4619,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,26992,16726,11708,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,22414,14277,9601,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12736,7705,6112,16817,3981,470,384,6161,53,,,,,,,,,,,,,
