County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,5225050,3829551,2794008,1035543,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,3213,2591,622,48045,8658,2051,833,20206,,,
Andrews,9/10,1600,2939,2317,622,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,12324,8460,3864,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2554,1974,580,19803,6791,370,252,6701,,,
Archer,2/3,700,1548,1094,454,6921,1677,80,13,2381,,,
Armstrong,1,400,529,343,186,1499,470,32,86,466,,,
Atascosa,8,3600,4271,3073,1198,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,4102,3143,959,23704,5933,667,396,7873,,,
Bailey,1,5475,2022,1405,617,5089,1036,114,74,1982,,,
Bandera,8,500,2284,1829,455,19763,6439,352,180,6555,,,
Bastrop,7,7500,5059,3579,1480,68839,13865,1462,696,29356,,,
Baylor,2/3,2950,1198,825,373,2793,844,137,97,908,,,
Bee,11,16925,7712,5481,2231,26496,4091,981,684,11359,,,
Bell,7,49450,33436,22667,10769,272969,40534,15894,2466,95066,,,
Bexar,8,376100,260618,186059,74559,1552823,247843,100704,17248,614646,,,
Blanco,7,900,1884,1559,325,10092,3004,90,102,3388,,,
Borden,9/10,0,70,51,19,543,174,9,0,163,,,
Bosque,7,2900,1901,1256,645,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,6262,4147,2115,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,46762,33042,13720,287683,45752,9762,2648,105966,,,
Brazos,7,29100,19063,15277,3786,186843,21693,7514,1414,59619,,,
Brewster,9/10,1300,2149,1833,316,7706,2231,303,0,2579,,,
Briscoe,1,400,550,389,161,1272,404,19,0,452,,,
Brooks,11,900,1137,971,166,5317,1308,323,246,2253,,,
Brown,2/3,2700,3384,2477,907,30883,7720,1663,911,11188,,,
Burleson,7,800,1879,1416,463,14869,3867,143,218,5600,,,
Burnet,7,6425,4214,3281,933,39239,10999,1823,595,13132,,,
Caldwell,7,3300,2968,2120,848,34853,6512,1286,524,14114,,,
Calhoun,8,1200,2214,1590,624,16817,3981,470,384,6161,,,
Callahan,2/3,1000,1497,1085,412,11263,2958,146,122,4094,,,
Cameron,11,76750,67480,47529,19951,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,923,688,235,10031,2494,207,152,3927,,,
Carson,1,200,1123,742,381,4718,1250,60,0,1547,,,
Cass,4/5N,500,1031,699,332,24182,6856,1216,550,9010,,,
Castro,1,800,1246,922,324,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,3855,2711,1144,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,4554,3346,1208,40876,9444,1500,738,16376,,,
Childress,1,1500,1201,710,491,6094,1165,251,136,2395,,,
Clay,2/3,4300,2685,2176,509,8666,2484,136,60,3011,,,
Cochran,1,400,637,516,121,2188,468,57,0,956,,,
Coke,9/10,0,443,329,114,2756,947,47,130,899,,,
Coleman,2/3,800,892,559,333,6721,2119,342,162,2379,,,
Collin,2/3,120750,136602,106408,30194,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,540,371,169,2263,555,80,92,847,,,
Colorado,6/5S,2400,2735,2188,547,17107,4850,853,477,5957,,,
Comal,8,17500,19130,14751,4379,125307,28528,5457,1845,38712,,,
Comanche,2/3,2850,2031,1493,538,10944,3330,330,292,3738,,,
Concho,9/10,300,495,428,67,2288,689,76,66,815,,,
Cooke,2/3,4100,3842,2685,1157,32675,7804,948,552,11640,,,
Coryell,7,7075,5516,4297,1219,60428,8040,1178,610,22789,,,
Cottle,2/3,0,141,103,38,1123,339,5,0,446,,,
Crane,9/10,2150,753,625,128,3554,594,71,110,1353,,,
Crockett,9/10,0,777,536,241,2694,612,31,56,1031,,,
Crosby,1,2350,1367,1137,230,4421,1085,98,115,1771,,,
Culberson,9/10,400,366,291,75,1746,480,67,0,722,,,
Dallam,1,4800,1580,1437,143,5217,857,40,0,2067,,,
Dallas,2/3,456375,308637,229682,78955,2028105,292117,142713,21399,730851,,,
Dawson,9/10,700,950,770,180,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,2238,1541,697,13439,2423,238,147,5332,,,
Delta,4/5N,200,485,379,106,4222,1118,379,100,1580,,,
Denton,2/3,104750,67328,47249,20079,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1655,1167,488,16110,4035,319,438,6110,,,
Dickens,1,0,270,242,28,1858,525,21,0,689,,,
Dimmit,8,5975,2813,2494,319,7539,1749,238,175,3179,,,
Donley,1,200,563,384,179,2716,804,27,65,918,,,
Duval,11,700,1737,1329,408,8600,2031,69,150,3541,,,
Eastland,2/3,1100,1775,1227,548,14970,4054,860,389,5393,,,
Ector,9/10,33300,22468,17648,4820,120896,15970,5303,1016,50679,,,
Edwards,8,0,207,171,36,1555,561,24,0,528,,,
El Paso,9/10,161575,146514,103493,43021,640180,105175,35065,8383,245567,,,
Ellis,2/3,14300,22010,16853,5157,141665,24288,3985,1994,54463,,,
Erath,2/3,2400,3855,2965,890,34875,6256,1250,481,12564,,,
Falls,7,5575,1991,1713,278,14049,3226,328,187,5671,,,
Fannin,2/3,8375,4503,3170,1333,28874,6588,962,614,10987,,,
Fayette,7,1400,2671,2129,542,20879,6679,998,647,6844,,,
Fisher,2/3,600,406,349,57,3088,961,101,28,1061,,,
Floyd,1,600,1022,743,279,4371,1070,132,68,1723,,,
Foard,2/3,400,521,390,131,962,315,7,80,332,,,
Fort Bend,6/5S,97850,118222,87257,30965,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,872,606,266,8554,2367,169,163,2871,,,
Freestone,7,1200,1212,868,344,15808,3996,553,261,6319,,,
Frio,8,3475,2705,1961,744,16121,2499,186,166,6797,,,
Gaines,9/10,1400,1471,917,554,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,57482,40019,17463,269280,50987,11784,2830,96486,,,
Garza,1,400,431,356,75,5325,719,33,75,2197,,,
Gillespie,8,6700,4752,3856,896,22307,8110,1175,706,6815,,,
Glasscock,9/10,0,284,263,21,1099,210,23,0,426,,,
Goliad,8,200,1172,949,223,6281,1832,39,135,2282,,,
Gonzales,8,1700,2324,1641,683,15937,3572,550,256,6356,,,
Gray,1,1400,2578,1729,849,16924,3531,689,315,6978,,,
Grayson,2/3,24100,15122,10470,4652,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,13513,10252,3261,95544,19451,7025,2324,37362,,,
Grimes,7,1400,2090,1596,494,23245,5134,234,311,9653,,,
Guadalupe,8,16625,15617,11828,3789,130517,23614,3801,1225,49282,,,
Hale,1,3300,4109,2778,1331,25476,4604,873,399,10561,,,
Hall,1,0,703,561,142,2406,711,27,72,978,,,
Hamilton,7,1800,2376,1810,566,6832,2146,481,296,2427,,,
Hansford,1,700,880,642,238,3987,812,139,84,1616,,,
Hardeman,2/3,1000,1136,779,357,3190,912,102,16,1146,,,
Hardin,6/5S,5400,6301,4812,1489,45112,9762,1003,527,16190,,,
Harris,6/5S,759025,565807,399072,166735,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,4344,3200,1144,51900,11607,3063,608,20509,,,
Hartley,1,1475,670,606,64,4561,861,196,94,1669,,,
Haskell,2/3,600,908,790,118,4831,1266,123,68,1872,,,
Hays,7,28550,25721,19655,6066,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,969,610,359,2827,606,104,98,1066,,,
Henderson,4/5N,5000,6167,4673,1494,67238,18534,2043,998,26544,,,
Hidalgo,11,160975,109643,76999,32644,620824,98328,54962,17074,286328,,,
Hill,7,1900,3900,2743,1157,29198,7684,862,523,11381,,,
Hockley,1,1200,3120,2443,677,17799,3453,483,263,6829,,,
Hood,2/3,4500,6556,5359,1197,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3100,2163,1635,528,29175,6887,1192,620,11166,,,
Houston,4/5N,2000,2157,1438,719,18929,5176,634,538,7399,,,
Howard,9/10,3100,2682,1747,935,29544,4813,1456,454,12143,,,
Hudspeth,9/10,300,550,412,138,3979,775,33,0,1778,,,
Hunt,2/3,8150,8962,6214,2748,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2281,1641,640,16258,3581,504,246,6098,,,
Irion,9/10,0,181,127,54,1234,328,15,0,429,,,
Jack,2/3,1100,1145,852,293,7230,1515,198,149,2732,,,
