County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31316865,17242681,14808108,24068624,22421178,3734229,1241763,271813,8302974,850859,437377,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,41846,23749,20229,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,9/10,6100,14939,8106,6930,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,70160,38906,33444,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,26981,14620,12696,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2/3,3200,7392,4024,3609,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1321,730,621,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,45803,25245,21613,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,26289,15056,12921,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,4929,2827,2333,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18618,10412,9102,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,93380,52223,42737,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2/3,5550,2688,1460,1314,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,30480,16379,13885,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,269324,149564,126454,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2342526,1277326,1097857,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11653,6362,5594,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,9/10,0,381,221,193,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,14869,8452,7169,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,58850,33123,27832,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,391211,211603,188614,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,217282,119790,102682,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,9/10,5100,9281,5254,4419,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
Briscoe,1,1200,1130,611,545,1352,1272,404,19,0,452,0,,,,,,,,,,,,
Brooks,11,3400,8390,4540,3976,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,
Brown,2/3,14800,24817,15031,13289,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,
Burleson,7,4700,15585,8725,7627,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,
Burnet,7,38215,44557,24951,21559,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,
Caldwell,7,15100,42830,24159,20310,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,
Calhoun,8,7300,20044,11465,9927,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,
Callahan,2/3,3500,9171,5187,4520,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,
Cameron,11,377955,576224,316038,271299,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,
Camp,4/5N,1800,9835,5492,4573,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,
Carson,1,1800,3685,2010,1758,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,
Cass,4/5N,5100,18149,10393,8890,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,
Castro,1,3100,5890,3280,2645,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,
Chambers,6/5S,37400,38496,21203,17803,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,
Cherokee,4/5N,18070,35957,20527,17242,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,
Childress,1,5000,6016,3531,3221,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,
Clay,2/3,14645,8246,4429,4022,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,
Cochran,1,1400,1881,1097,960,2361,2188,468,57,0,956,0,,,,,,,,,,,,
Coke,9/10,0,2350,1286,1101,2889,2756,947,47,130,899,0,,,,,,,,,,,,
Coleman,2/3,3700,5537,3075,2682,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,
Collin,2/3,763700,1267700,679400,604047,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,
Collingsworth,1,2200,1608,948,794,2432,2263,555,80,92,847,0,,,,,,,,,,,,
Colorado,6/5S,12600,19820,11403,9904,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,
Comal,8,94530,171859,94527,83249,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,
Comanche,2/3,6890,10895,6101,5376,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,
Concho,9/10,2000,2449,1399,1141,2382,2288,689,76,66,815,0,,,,,,,,,,,,
Cooke,2/3,18500,28715,16226,13562,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,
Coryell,7,38595,53776,29726,25384,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,
Cottle,2/3,0,938,527,467,1181,1123,339,5,0,446,0,,,,,,,,,,,,
Crane,9/10,3550,3360,1986,1371,3834,3554,594,71,110,1353,0,,,,,,,,,,,,
Crockett,9/10,0,2858,1557,1308,2885,2694,612,31,56,1031,0,,,,,,,,,,,,
Crosby,1,4050,4790,2559,2280,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,
Culberson,9/10,2000,2235,1195,1050,1824,1746,480,67,0,722,0,,,,,,,,,,,,
Dallam,1,28810,5931,3467,2558,5706,5217,857,40,0,2067,0,,,,,,,,,,,,
Dallas,2/3,1962805,2827193,1555701,1322422,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,
Dawson,9/10,4600,7652,4480,3706,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,
DeWitt,8,7100,16539,9128,8058,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,
Deaf Smith,1,5000,13799,7780,6688,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,
Delta,4/5N,1700,3373,1823,1561,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,
Denton,2/3,567070,995605,532978,479208,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,
Dickens,1,0,1277,721,639,1943,1858,525,21,0,689,0,,,,,,,,,,,,
Dimmit,8,23265,13992,8302,5677,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,
Donley,1,1400,2271,1261,1054,2837,2716,804,27,65,918,0,,,,,,,,,,,,
Duval,11,3800,13603,7379,6062,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,
Eastland,2/3,7340,11595,6681,5585,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,
Ector,9/10,117100,129352,71151,59825,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,
Edwards,8,0,1356,738,638,1648,1555,561,24,0,528,0,,,,,,,,,,,,
El Paso,9/10,713000,1109348,605361,522116,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,
Ellis,2/3,130520,173435,95862,81808,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,
Erath,2/3,24600,28256,15760,13503,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,
Falls,7,30755,14170,7874,6560,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,
Fannin,2/3,37695,25231,14193,12262,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,
Fayette,7,8700,23934,13678,11498,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,
Fisher,2/3,2200,2440,1421,1208,3277,3088,961,101,28,1061,0,,,,,,,,,,,,
Floyd,1,2300,4485,2484,2187,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,
Foard,2/3,1700,950,554,424,1003,962,315,7,80,332,0,,,,,,,,,,,,
Fort Bend,6/5S,528850,1050883,564068,499567,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,
Franklin,4/5N,3200,6963,3994,3342,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,
Freestone,7,4400,13415,7614,6547,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,
