County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,14239685,9319666,6345029,3196293,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2011660,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,11100,7938,5488,2845,48045,8658,2051,833,20206,1574,,
Andrews,9/10,4500,8004,4983,3111,13503,1833,309,106,5450,41,,
Angelina,4/5N,36400,24694,16375,8815,67056,14422,6534,1752,28054,3266,,
Aransas,11,4070,9281,6294,3188,19803,6791,370,252,6701,39,,
Archer,2/3,2100,3459,2205,1322,6921,1677,80,13,2381,330,,
Armstrong,1,1400,777,485,298,1499,470,32,86,466,0,,
Atascosa,8,9800,11099,7663,3727,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4400,10677,7593,3418,23704,5933,667,396,7873,1079,,
Bailey,1,19225,3087,1804,1328,5089,1036,114,74,1982,0,,
Bandera,8,2100,6408,4390,2205,19763,6439,352,180,6555,20,,
Bastrop,7,29300,20241,15232,5424,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4450,1775,970,815,2793,844,137,97,908,0,,
Bee,11,56340,13334,7759,5670,26496,4091,981,684,11359,989,,
Bell,7,135870,70115,46872,26360,272969,40534,15894,2466,95066,12910,,
Bexar,8,839570,641699,416797,232004,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3500,4321,3044,1367,10092,3004,90,102,3388,303,,
Borden,9/10,0,174,125,55,543,174,9,0,163,0,,
Bosque,7,6800,6313,4512,2041,15224,4741,624,407,5126,579,,
Bowie,4/5N,36770,18779,12884,6916,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,127640,121896,80825,44129,287683,45752,9762,2648,105966,12034,,
Brazos,7,84480,62653,44980,19796,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3700,5340,3551,1954,7706,2231,303,0,2579,255,,
Briscoe,1,1000,751,425,333,1272,404,19,0,452,0,,
Brooks,11,2300,3529,2448,1091,5317,1308,323,246,2253,22,,
Brown,2/3,10600,9149,6595,3946,30883,7720,1663,911,11188,1112,,
Burleson,7,2900,5425,3774,1913,14869,3867,143,218,5600,518,,
Burnet,7,21775,13550,9614,4646,39239,10999,1823,595,13132,94,,
Caldwell,7,9500,9240,6773,2915,34853,6512,1286,524,14114,1294,,
Calhoun,8,3300,5862,4412,1694,16817,3981,470,384,6161,53,,
Callahan,2/3,2500,3731,2490,1348,11263,2958,146,122,4094,442,,
Cameron,11,178795,160988,106761,58554,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1200,2948,1999,1003,10031,2494,207,152,3927,0,,
Carson,1,1100,1874,1169,718,4718,1250,60,0,1547,240,,
Cass,4/5N,3200,5193,3785,1702,24182,6856,1216,550,9010,1125,,
Castro,1,2200,2496,1615,913,5607,1236,121,174,2168,341,,
Chambers,6/5S,24700,11566,8012,3650,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10800,11079,7194,4282,40876,9444,1500,738,16376,1511,,
Childress,1,3300,2367,1580,860,6094,1165,251,136,2395,0,,
Clay,2/3,9345,5216,3026,2224,8666,2484,136,60,3011,384,,
Cochran,1,1200,1257,944,403,2188,468,57,0,956,0,,
Coke,9/10,0,1173,806,374,2756,947,47,130,899,0,,
Coleman,2/3,2100,2229,1657,633,6721,2119,342,162,2379,289,,
Collin,2/3,422290,370536,247741,128664,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1600,1040,638,411,2263,555,80,92,847,0,,
Colorado,6/5S,6800,7367,4776,2976,17107,4850,853,477,5957,613,,
Comal,8,46940,55013,36524,20074,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6190,4741,3232,1768,10944,3330,330,292,3738,455,,
Concho,9/10,1500,1184,762,439,2288,689,76,66,815,0,,
Cooke,2/3,13900,10319,6749,3715,32675,7804,948,552,11640,1051,,
Coryell,7,21925,12487,7989,4723,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,443,330,120,1123,339,5,0,446,0,,
Crane,9/10,2950,1653,1014,646,3554,594,71,110,1353,0,,
Crockett,9/10,0,1363,828,536,2694,612,31,56,1031,0,,
Crosby,1,3450,2721,1588,1150,4421,1085,98,115,1771,284,,
Culberson,9/10,1400,952,650,304,1746,480,67,0,722,0,,
Dallam,1,18650,3243,1956,1295,5217,857,40,0,2067,0,,
Dallas,2/3,1077645,770551,522427,266445,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,2600,2626,1739,919,9789,1898,304,112,4206,475,,
Deaf Smith,1,3400,4874,3258,1722,13439,2423,238,147,5332,0,,
Delta,4/5N,1000,1341,888,487,4222,1118,379,100,1580,0,,
Denton,2/3,348170,270608,174148,100672,697330,93499,23806,5913,257836,22330,,
DeWitt,8,3500,5102,3782,1367,16110,4035,319,438,6110,1055,,
Dickens,1,0,688,449,258,1858,525,21,0,689,0,,
Dimmit,8,18185,5966,3394,2576,7539,1749,238,175,3179,48,,
Donley,1,1000,1152,854,305,2716,804,27,65,918,0,,
Duval,11,2400,5489,3449,2196,8600,2031,69,150,3541,482,,
Eastland,2/3,3500,4848,3694,1556,14970,4054,860,389,5393,591,,
Ector,9/10,90770,47643,31875,16257,120896,15970,5303,1016,50679,428,,
Edwards,8,0,1488,1328,162,1555,561,24,0,528,0,,
El Paso,9/10,373150,321744,209446,115967,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,67300,57528,38576,20744,141665,24288,3985,1994,54463,6578,,
Erath,2/3,13200,10782,7865,3333,34875,6256,1250,481,12564,1079,,
Falls,7,19825,4477,2875,1757,14049,3226,328,187,5671,486,,
Fannin,2/3,23725,9579,5973,3939,28874,6588,962,614,10987,1108,,
Fayette,7,3700,7856,5130,2937,20879,6679,998,647,6844,671,,
Fisher,2/3,1600,1155,700,488,3088,961,101,28,1061,0,,
Floyd,1,1600,2298,1522,810,4371,1070,132,68,1723,0,,
Foard,2/3,1400,592,350,250,962,315,7,80,332,0,,
Fort Bend,6/5S,301020,316439,206581,116218,616413,93851,24721,4977,175581,19047,,
