County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",
Texas,--,21385845,14946985,9563133,5962723,22421178,3734229,1241763,271813,8302974,850859,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,
Federal Pharmacy Retail Vaccination Program,--,4126230,--,--,--,--,--,--,--,--,--,
Anderson,4/5N,15270,11842,7808,5084,48045,8658,2051,833,20206,1574,
Andrews,9/10,6000,10043,5570,4649,13503,1833,309,106,5450,41,
Angelina,4/5N,49600,34902,22202,14083,67056,14422,6534,1752,28054,3266,
Aransas,11,6540,13966,8586,5850,19803,6791,370,252,6701,39,
Archer,2/3,2800,4426,2639,2053,6921,1677,80,13,2381,330,
Armstrong,1,1900,944,563,402,1499,470,32,86,466,0,
Atascosa,8,16600,17854,11731,6905,38768,7605,1124,651,15239,1557,
Austin,6/5S,6600,16610,11691,6016,23704,5933,667,396,7873,1079,
Bailey,1,23135,3620,2105,1704,5089,1036,114,74,1982,0,
Bandera,8,3600,10601,6764,4423,19763,6439,352,180,6555,20,
Bastrop,7,43000,33493,21355,13442,68839,13865,1462,696,29356,2746,
Baylor,2/3,5050,2274,1378,924,2793,844,137,97,908,0,
Bee,11,74510,15878,8957,7251,26496,4091,981,684,11359,989,
Bell,7,191800,101063,62228,43679,272969,40534,15894,2466,95066,12910,
Bexar,8,1202410,987350,621769,392097,1552823,247843,100704,17248,614646,61232,
Blanco,7,4600,7036,4608,2686,10092,3004,90,102,3388,303,
Borden,9/10,0,285,178,147,543,174,9,0,163,0,
Bosque,7,9400,9023,5462,4072,15224,4741,624,407,5126,579,
Bowie,4/5N,56570,26850,16055,12743,73689,15832,6332,1467,29102,3303,
Brazoria,6/5S,187080,187888,115970,79071,287683,45752,9762,2648,105966,12034,
Brazos,7,139020,106899,72238,38089,186843,21693,7514,1414,59619,6083,
Brewster,9/10,4800,7138,4249,3297,7706,2231,303,0,2579,255,
Briscoe,1,1200,889,491,431,1272,404,19,0,452,0,
Brooks,11,3200,4891,2716,2223,5317,1308,323,246,2253,22,
Brown,2/3,14000,13008,8461,7173,30883,7720,1663,911,11188,1112,
Burleson,7,4200,8360,5323,3511,14869,3867,143,218,5600,518,
Burnet,7,30995,20653,13100,8819,39239,10999,1823,595,13132,94,
Caldwell,7,12400,16401,10718,7022,34853,6512,1286,524,14114,1294,
Calhoun,8,5600,10130,6457,4706,16817,3981,470,384,6161,53,
Callahan,2/3,3200,5271,3021,2472,11263,2958,146,122,4094,442,
Cameron,11,264825,252555,162109,100812,311689,58607,29737,6315,127806,17059,
Camp,4/5N,1800,4473,2809,1809,10031,2494,207,152,3927,0,
Carson,1,1700,2371,1366,1058,4718,1250,60,0,1547,240,
Cass,4/5N,4600,7977,4867,3818,24182,6856,1216,550,9010,1125,
Castro,1,2800,3397,2039,1477,5607,1236,121,174,2168,341,
Chambers,6/5S,32800,14233,9123,5375,33062,5259,958,244,12484,1539,
Cherokee,4/5N,15970,15590,9702,6927,40876,9444,1500,738,16376,1511,
Childress,1,4300,3288,1875,1662,6094,1165,251,136,2395,0,
Clay,2/3,12645,5657,3140,2676,8666,2484,136,60,3011,384,
Cochran,1,1400,3238,2551,834,2188,468,57,0,956,0,
Coke,9/10,0,1604,930,706,2756,947,47,130,899,0,
Coleman,2/3,3100,3251,1957,1422,6721,2119,342,162,2379,289,
Collin,2/3,600460,598270,377657,236064,801716,116575,38139,7817,236374,34589,
Collingsworth,1,2100,1298,770,631,2263,555,80,92,847,0,
Colorado,6/5S,10700,10793,6994,4990,17107,4850,853,477,5957,613,
Comal,8,74410,77629,49239,32733,125307,28528,5457,1845,38712,4242,
Comanche,2/3,6690,6782,3987,3267,10944,3330,330,292,3738,455,
Concho,9/10,1800,1413,864,619,2288,689,76,66,815,0,
Cooke,2/3,17700,13772,8580,5644,32675,7804,948,552,11640,1051,
Coryell,7,30745,18414,11082,8093,60428,8040,1178,610,22789,2014,
Cottle,2/3,0,683,378,340,1123,339,5,0,446,0,
Crane,9/10,3450,1954,1215,759,3554,594,71,110,1353,0,
Crockett,9/10,0,1731,994,762,2694,612,31,56,1031,0,
Crosby,1,4050,3147,1740,1439,4421,1085,98,115,1771,284,
Culberson,9/10,1900,1438,860,584,1746,480,67,0,722,0,
Dallam,1,25970,3780,2219,1589,5217,857,40,0,2067,0,
Dallas,2/3,1492385,1293789,843308,495102,2028105,292117,142713,21399,730851,83452,
Dawson,9/10,3800,3557,2129,1540,9789,1898,304,112,4206,475,
Deaf Smith,1,4500,6918,4251,3159,13439,2423,238,147,5332,0,
Delta,4/5N,1500,1897,1107,853,4222,1118,379,100,1580,0,
Denton,2/3,462750,429910,257990,184233,697330,93499,23806,5913,257836,22330,
DeWitt,8,6100,8344,5098,3803,16110,4035,319,438,6110,1055,
