County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,6001125,4268998,3020660,1248338,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6400,4321,2791,1530,48045,8658,2051,833,20206,,,
Andrews,44449,2200,2993,2365,628,13503,1833,309,106,5450,,,
Angelina,4/5N,17900,13486,9114,4372,67056,14422,6534,1752,28054,,,
Aransas,11,1300,3043,2255,788,19803,6791,370,252,6701,,,
Archer,44230,900,1828,1255,573,6921,1677,80,13,2381,,,
Armstrong,1,500,550,347,203,1499,470,32,86,466,,,
Atascosa,8,4100,4771,3391,1380,38768,7605,1124,651,15239,,,
Austin,6/5S,2300,4824,3723,1101,23704,5933,667,396,7873,,,
Bailey,1,7425,2563,1438,1125,5089,1036,114,74,1982,,,
Bandera,8,600,2613,2084,529,19763,6439,352,180,6555,,,
Bastrop,7,10900,6049,4124,1925,68839,13865,1462,696,29356,,,
Baylor,44230,3050,1510,852,658,2793,844,137,97,908,,,
Bee,11,23100,8333,5562,2771,26496,4091,981,684,11359,,,
Bell,7,58050,36083,24729,11354,272969,40534,15894,2466,95066,,,
Bexar,8,452750,299436,209431,90005,1552823,247843,100704,17248,614646,,,
Blanco,7,1300,1901,1579,322,10092,3004,90,102,3388,,,
Borden,44449,0,70,53,17,543,174,9,0,163,,,
Bosque,7,3000,2803,1730,1073,15224,4741,624,407,5126,,,
Bowie,4/5N,15850,7124,4800,2324,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,45000,53675,36403,17272,287683,45752,9762,2648,105966,,,
Brazos,7,33900,22927,16685,6242,186843,21693,7514,1414,59619,,,
Brewster,44449,1600,2306,1948,358,7706,2231,303,0,2579,,,
Briscoe,1,400,520,371,149,1272,404,19,0,452,,,
Brooks,11,1300,1213,987,226,5317,1308,323,246,2253,,,
Brown,44230,3000,3638,2589,1049,30883,7720,1663,911,11188,,,
Burleson,7,1100,2181,1605,576,14869,3867,143,218,5600,,,
Burnet,7,8475,5037,3913,1124,39239,10999,1823,595,13132,,,
Caldwell,7,3700,3428,2361,1067,34853,6512,1286,524,14114,,,
Calhoun,8,1400,2659,1850,809,16817,3981,470,384,6161,,,
Callahan,44230,1300,1612,1157,455,11263,2958,146,122,4094,,,
Cameron,11,89425,76552,53007,23545,311689,58607,29737,6315,127806,,,
Camp,4/5N,400,1225,903,322,10031,2494,207,152,3927,,,
Carson,1,300,1135,741,394,4718,1250,60,0,1547,,,
Cass,4/5N,700,1352,922,430,24182,6856,1216,550,9010,,,
Castro,1,1300,1305,940,365,5607,1236,121,174,2168,,,
Chambers,6/5S,11700,4498,3007,1491,33062,5259,958,244,12484,,,
Cherokee,4/5N,6800,5690,3882,1808,40876,9444,1500,738,16376,,,
Childress,1,1700,1298,763,535,6094,1165,251,136,2395,,,
Clay,44230,5375,2857,2264,593,8666,2484,136,60,3011,,,
Cochran,1,400,614,488,126,2188,468,57,0,956,,,
Coke,44449,0,490,353,137,2756,947,47,130,899,,,
Coleman,44230,900,986,622,364,6721,2119,342,162,2379,,,
Collin,44230,143350,153600,115412,38188,801716,116575,38139,7817,236374,,,
Collingsworth,1,700,542,373,169,2263,555,80,92,847,,,
Colorado,6/5S,2600,3228,2552,676,17107,4850,853,477,5957,,,
Comal,8,20500,22120,16989,5131,125307,28528,5457,1845,38712,,,
Comanche,44230,2950,2714,1547,1167,10944,3330,330,292,3738,,,
Concho,44449,400,530,451,79,2288,689,76,66,815,,,
Cooke,44230,4600,4872,3503,1369,32675,7804,948,552,11640,,,
Coryell,7,9025,6512,4591,1921,60428,8040,1178,610,22789,,,
Cottle,44230,0,158,108,50,1123,339,5,0,446,,,
Crane,44449,2250,871,679,192,3554,594,71,110,1353,,,
Crockett,44449,0,826,577,249,2694,612,31,56,1031,,,
Crosby,1,2450,1450,1166,284,4421,1085,98,115,1771,,,
Culberson,44449,700,379,299,80,1746,480,67,0,722,,,
Dallam,1,6850,2531,1799,732,5217,857,40,0,2067,,,
Dallas,44230,547325,349699,248497,101202,2028105,292117,142713,21399,730851,,,
Dawson,44449,1100,1040,822,218,9789,1898,304,112,4206,,,
Deaf Smith,1,2300,2399,1675,724,13439,2423,238,147,5332,,,
Delta,4/5N,300,561,438,123,4222,1118,379,100,1580,,,
Denton,44230,123050,88794,62774,26020,697330,93499,23806,5913,257836,,,
DeWitt,8,1000,1769,1226,543,16110,4035,319,438,6110,,,
Dickens,1,0,283,251,32,1858,525,21,0,689,,,
Dimmit,8,8125,3206,2686,520,7539,1749,238,175,3179,,,
Donley,1,300,570,384,186,2716,804,27,65,918,,,
Duval,11,900,2153,1487,666,8600,2031,69,150,3541,,,
Eastland,44230,1400,1858,1248,610,14970,4054,860,389,5393,,,
Ector,44449,41800,25199,19851,5348,120896,15970,5303,1016,50679,,,
Edwards,8,0,193,166,27,1555,561,24,0,528,,,
El Paso,44449,194000,161776,110963,50813,640180,105175,35065,8383,245567,,,
Ellis,44230,16900,24295,18271,6024,141665,24288,3985,1994,54463,,,
Erath,44230,3600,4176,3085,1091,34875,6256,1250,481,12564,,,
Falls,7,7825,2136,1791,345,14049,3226,328,187,5671,,,
Fannin,44230,10525,4749,3305,1444,28874,6588,962,614,10987,,,
Fayette,7,1600,3282,2577,705,20879,6679,998,647,6844,,,
Fisher,44230,700,501,433,68,3088,961,101,28,1061,,,
Floyd,1,700,1114,824,290,4371,1070,132,68,1723,,,
Foard,44230,500,546,419,127,962,315,7,80,332,,,
Fort Bend,6/5S,116900,143474,100220,43254,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1273,908,365,8554,2367,169,163,2871,,,
Freestone,7,1300,1419,962,457,15808,3996,553,261,6319,,,
Frio,8,4650,2805,2003,802,16121,2499,186,166,6797,,,
Gaines,44449,1600,1515,946,569,14548,1907,323,95,6156,,,
Galveston,6/5S,69200,66611,44069,22542,269280,50987,11784,2830,96486,,,
Garza,1,500,457,375,82,5325,719,33,75,2197,,,
Gillespie,8,9200,5403,4153,1250,22307,8110,1175,706,6815,,,
Glasscock,44449,0,290,265,25,1099,210,23,0,426,,,
Goliad,8,400,1591,1038,553,6281,1832,39,135,2282,,,
Gonzales,8,1900,2736,1844,892,15937,3572,550,256,6356,,,
Gray,1,1800,2628,1759,869,16924,3531,689,315,6978,,,
Grayson,44230,24600,16257,11192,5065,107521,24182,9338,2131,40586,,,
Gregg,4/5N,29375,16942,12589,4353,95544,19451,7025,2324,37362,,,
Grimes,7,1700,2539,1813,726,23245,5134,234,311,9653,,,
Guadalupe,8,17425,17507,12802,4705,130517,23614,3801,1225,49282,,,
Hale,1,3300,4497,3072,1425,25476,4604,873,399,10561,,,
Hall,1,0,737,568,169,2406,711,27,72,978,,,
Hamilton,7,1800,1587,1012,575,6832,2146,481,296,2427,,,
Hansford,1,900,893,645,248,3987,812,139,84,1616,,,
Hardeman,44230,1200,1279,847,432,3190,912,102,16,1146,,,
Hardin,6/5S,5900,7191,5359,1832,45112,9762,1003,527,16190,,,
Harris,6/5S,871450,623461,424588,198873,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4900,5087,3712,1375,51900,11607,3063,608,20509,,,
Hartley,1,1475,1366,934,432,4561,861,196,94,1669,,,
Haskell,44230,600,1019,789,230,4831,1266,123,68,1872,,,
Hays,7,35350,28271,20966,7305,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,999,630,369,2827,606,104,98,1066,,,
Henderson,4/5N,5100,8101,5774,2327,67238,18534,2043,998,26544,,,
Hidalgo,11,188750,121754,82913,38841,620824,98328,54962,17074,286328,,,
Hill,7,2200,4421,2976,1445,29198,7684,862,523,11381,,,
Hockley,1,1400,3516,2628,888,17799,3453,483,263,6829,,,
Hood,44230,5200,7615,6010,1605,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3800,3412,2541,871,29175,6887,1192,620,11166,,,
Houston,4/5N,2100,2222,1403,819,18929,5176,634,538,7399,,,
Howard,44449,3500,3061,1956,1105,29544,4813,1456,454,12143,,,
Hudspeth,44449,300,688,507,181,3979,775,33,0,1778,,,
Hunt,44230,8750,10076,6532,3544,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2552,1843,709,16258,3581,504,246,6098,,,
Irion,44449,0,209,146,63,1234,328,15,0,429,,,
Jack,44230,1200,1164,861,303,7230,1515,198,149,2732,,,
Jackson,8,4450,2646,2021,625,11425,2720,380,237,4205,,,
Jasper,4/5N,8800,4953,4359,594,28056,7187,1597,374,11687,,,
Jeff Davis,44449,200,668,615,53,2180,812,28,0,685,,,
Jefferson,6/5S,55150,24637,18957,5680,197382,37595,13127,2431,90120,,,
Jim Hogg,11,400,1447,946,501,3791,890,14,60,1572,,,
Jim Wells,11,8925,8872,6393,2479,30579,6358,3897,985,12474,,,
Johnson,44230,11600,16216,10987,5229,135345,25151,3559,1471,53224,,,
Jones,44230,700,1668,1246,422,17011,3188,337,254,6981,,,
Karnes,8,2500,1836,1375,461,12669,2211,370,244,5177,,,
Kaufman,44230,6750,14630,9960,4670,102341,16113,2857,1189,40613,,,
Kendall,8,3000,6568,4752,1816,37890,9152,1091,801,12702,,,
Kenedy,11,0,117,109,8,321,68,1,0,139,,,
Kent,44230,0,182,131,51,615,201,13,60,198,,,
Kerr,8,5400,6094,4653,1441,43793,14769,2805,1022,13990,,,
Kimble,44449,700,696,612,84,3651,1288,90,0,1243,,,
King,1,0,31,27,4,205,51,7,0,69,,,
Kinney,8,200,482,411,71,3050,910,11,0,1171,,,
Kleberg,11,14325,7966,6957,1009,24188,4046,1401,341,9265,,,
Knox,44230,700,958,671,287,2808,736,95,127,976,,,
La Salle,8,7325,2575,1776,799,6212,1018,22,60,2410,,,
Lamar,4/5N,8000,7046,5422,1624,39402,9726,3115,745,14986,,,
Lamb,1,600,2596,1693,903,9740,2240,454,226,3968,,,
Lampasas,7,900,1863,1442,421,17366,4322,348,284,6457,,,
Lavaca,8,2300,3004,1866,1138,16004,4775,820,612,5435,,,
Lee,7,800,1551,1106,445,13993,3219,334,226,5333,,,
Leon,7,1000,1188,788,400,13946,4334,155,74,4662,,,
Liberty,6/5S,11125,5973,3938,2035,66868,11399,1398,614,28567,,,
Limestone,7,2600,2053,1370,683,18871,4670,2332,1060,7512,,,
Lipscomb,1,200,568,411,157,2520,617,24,61,919,,,
Live Oak,11,400,1603,1173,430,10055,2533,35,100,3769,,,
Llano,7,1400,2991,2482,509,18908,8119,277,358,5362,,,
Loving,44449,0,28,27,1,129,23,0,0,50,,,
Lubbock,1,105500,76367,53118,23249,244992,39476,20974,4093,83028,,,
Lynn,1,400,1037,686,351,4496,974,191,40,1838,,,
Madison,7,1000,931,644,287,11595,2264,299,258,4451,,,
Marion,4/5N,0,685,456,229,8277,2697,351,158,3058,,,
Martin,44449,800,1174,896,278,4136,659,165,0,1624,,,
Mason,44449,500,751,612,139,3521,1250,104,0,1147,,,
Matagorda,6/5S,3000,2957,2010,947,28247,6391,1113,369,11409,,,
Maverick,8,11000,5269,4213,1056,42606,7003,2970,1198,18727,,,
McCulloch,44449,1300,910,762,148,6435,1792,212,122,2275,,,
McLennan,7,44050,32773,23976,8797,200781,37728,11153,3621,71906,,,
McMullen,11,100,112,104,8,616,189,10,0,202,,,
Medina,8,2700,6357,4609,1748,41263,8757,899,536,16090,,,
Menard,44449,200,484,409,75,1790,699,9,40,550,,,
Midland,44449,42325,27655,22636,5019,131025,18438,5950,1288,49538,,,
Milam,7,2900,3266,2113,1153,19689,5245,532,297,7641,,,
Mills,7,300,839,575,264,4006,1416,149,152,1305,,,
Mitchell,44230,1000,948,669,279,6958,1259,265,96,2753,,,
Montague,44230,2550,3260,2328,932,15872,4444,560,383,5668,,,
Montgomery,6/5S,84900,69591,47592,21999,467232,81457,20255,3836,157396,,,
Moore,1,1500,5030,4019,1011,14986,2372,448,176,6143,,,
Morris,4/5N,700,1020,704,316,9830,2730,77,179,3692,,,
Motley,1,0,199,153,46,994,368,22,50,319,,,
Nacogdoches,4/5N,10500,10215,6515,3700,51773,9953,2530,755,19948,,,
Navarro,44230,9200,7856,6610,1246,38360,8651,1720,869,15775,,,
Newton,4/5N,900,1511,1294,217,11298,2878,55,113,4648,,,
Nolan,44230,3200,2424,1708,716,11321,2737,519,251,4249,,,
Nueces,11,85175,46465,29649,16816,284366,54069,25582,4100,113767,,,
Ochiltree,1,1500,1264,809,455,7106,1148,200,114,2812,,,
Oldham,1,300,431,270,161,1728,316,18,0,654,,,
Orange,6/5S,2000,6347,5212,1135,65087,13729,1456,548,26244,,,
Palo Pinto,44230,2200,2197,1567,630,23207,5893,864,283,8796,,,
Panola,4/5N,1700,1847,1309,538,18462,4589,473,377,7117,,,
Parker,44230,19250,18450,12851,5599,111686,22331,2890,1301,40567,,,
Parmer,1,900,1965,1353,612,7222,1366,161,174,2910,,,
Pecos,44449,2000,2973,2408,565,12317,2141,400,120,5047,,,
