County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,6001125,4213172,2998680,1214492,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6400,4132,2779,1353,48045,8658,2051,833,20206,,,
Andrews,44449,2200,2993,2364,629,13503,1833,309,106,5450,,,
Angelina,4/5N,17900,13432,9073,4359,67056,14422,6534,1752,28054,,,
Aransas,11,1300,3018,2247,771,19803,6791,370,252,6701,,,
Archer,44230,900,1800,1237,563,6921,1677,80,13,2381,,,
Armstrong,1,500,546,346,200,1499,470,32,86,466,,,
Atascosa,8,4100,4722,3365,1357,38768,7605,1124,651,15239,,,
Austin,6/5S,2300,4674,3617,1057,23704,5933,667,396,7873,,,
Bailey,1,7425,2443,1438,1005,5089,1036,114,74,1982,,,
Bandera,8,600,2590,2065,525,19763,6439,352,180,6555,,,
Bastrop,7,10900,5874,4016,1858,68839,13865,1462,696,29356,,,
Baylor,44230,3050,1510,852,658,2793,844,137,97,908,,,
Bee,11,23100,8321,5557,2764,26496,4091,981,684,11359,,,
Bell,7,58050,35999,24677,11322,272969,40534,15894,2466,95066,,,
Bexar,8,452750,296160,207573,88587,1552823,247843,100704,17248,614646,,,
Blanco,7,1300,1892,1571,321,10092,3004,90,102,3388,,,
Borden,44449,0,68,51,17,543,174,9,0,163,,,
Bosque,7,3000,2712,1681,1031,15224,4741,624,407,5126,,,
Bowie,4/5N,15850,6942,4657,2285,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,45000,52290,35966,16324,287683,45752,9762,2648,105966,,,
Brazos,7,33900,22484,16403,6081,186843,21693,7514,1414,59619,,,
Brewster,44449,1600,2276,1919,357,7706,2231,303,0,2579,,,
Briscoe,1,400,523,373,150,1272,404,19,0,452,,,
Brooks,11,1300,1212,987,225,5317,1308,323,246,2253,,,
Brown,44230,3000,3605,2571,1034,30883,7720,1663,911,11188,,,
Burleson,7,1100,2140,1567,573,14869,3867,143,218,5600,,,
Burnet,7,8475,4690,3603,1087,39239,10999,1823,595,13132,,,
Caldwell,7,3700,3372,2327,1045,34853,6512,1286,524,14114,,,
Calhoun,8,1400,2620,1842,778,16817,3981,470,384,6161,,,
Callahan,44230,1300,1599,1148,451,11263,2958,146,122,4094,,,
Cameron,11,89425,75810,52589,23221,311689,58607,29737,6315,127806,,,
Camp,4/5N,400,1195,881,314,10031,2494,207,152,3927,,,
Carson,1,300,1133,741,392,4718,1250,60,0,1547,,,
Cass,4/5N,700,1278,870,408,24182,6856,1216,550,9010,,,
Castro,1,1300,1295,937,358,5607,1236,121,174,2168,,,
Chambers,6/5S,11700,4378,2947,1431,33062,5259,958,244,12484,,,
Cherokee,4/5N,6800,5601,3843,1758,40876,9444,1500,738,16376,,,
Childress,1,1700,1282,757,525,6094,1165,251,136,2395,,,
Clay,44230,5375,2816,2243,573,8666,2484,136,60,3011,,,
Cochran,1,400,592,476,116,2188,468,57,0,956,,,
Coke,44449,0,481,349,132,2756,947,47,130,899,,,
Coleman,44230,900,986,622,364,6721,2119,342,162,2379,,,
Collin,44230,143350,150622,113983,36639,801716,116575,38139,7817,236374,,,
Collingsworth,1,700,542,373,169,2263,555,80,92,847,,,
Colorado,6/5S,2600,3139,2502,637,17107,4850,853,477,5957,,,
Comal,8,20500,21699,16657,5042,125307,28528,5457,1845,38712,,,
Comanche,44230,2950,2707,1545,1162,10944,3330,330,292,3738,,,
Concho,44449,400,531,452,79,2288,689,76,66,815,,,
Cooke,44230,4600,4677,3323,1354,32675,7804,948,552,11640,,,
Coryell,7,9025,6395,4551,1844,60428,8040,1178,610,22789,,,
Cottle,44230,0,158,108,50,1123,339,5,0,446,,,
Crane,44449,2250,871,679,192,3554,594,71,110,1353,,,
Crockett,44449,0,821,573,248,2694,612,31,56,1031,,,
Crosby,1,2450,1432,1159,273,4421,1085,98,115,1771,,,
Culberson,44449,700,377,297,80,1746,480,67,0,722,,,
Dallam,1,6850,2532,1793,739,5217,857,40,0,2067,,,
Dallas,44230,547325,343460,245718,97742,2028105,292117,142713,21399,730851,,,
Dawson,44449,1100,1014,804,210,9789,1898,304,112,4206,,,
Deaf Smith,1,2300,2394,1674,720,13439,2423,238,147,5332,,,
Delta,4/5N,300,560,437,123,4222,1118,379,100,1580,,,
Denton,44230,123050,86845,61762,25083,697330,93499,23806,5913,257836,,,
DeWitt,8,1000,1763,1222,541,16110,4035,319,438,6110,,,
Dickens,1,0,282,250,32,1858,525,21,0,689,,,
Dimmit,8,8125,3108,2653,455,7539,1749,238,175,3179,,,
Donley,1,300,578,390,188,2716,804,27,65,918,,,
Duval,11,900,2153,1491,662,8600,2031,69,150,3541,,,
Eastland,44230,1400,1856,1246,610,14970,4054,860,389,5393,,,
Ector,44449,41800,25163,19826,5337,120896,15970,5303,1016,50679,,,
Edwards,8,0,197,169,28,1555,561,24,0,528,,,
El Paso,44449,194000,159375,110047,49328,640180,105175,35065,8383,245567,,,
Ellis,44230,16900,24090,18185,5905,141665,24288,3985,1994,54463,,,
Erath,44230,3600,4159,3079,1080,34875,6256,1250,481,12564,,,
Falls,7,7825,2103,1775,328,14049,3226,328,187,5671,,,
Fannin,44230,10525,4745,3303,1442,28874,6588,962,614,10987,,,
Fayette,7,1600,3147,2478,669,20879,6679,998,647,6844,,,
Fisher,44230,700,501,433,68,3088,961,101,28,1061,,,
Floyd,1,700,1112,824,288,4371,1070,132,68,1723,,,
Foard,44230,500,536,409,127,962,315,7,80,332,,,
Fort Bend,6/5S,116900,138040,98428,39612,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1246,892,354,8554,2367,169,163,2871,,,
Freestone,7,1300,1372,939,433,15808,3996,553,261,6319,,,
Frio,8,4650,2804,2002,802,16121,2499,186,166,6797,,,
Gaines,44449,1600,1508,941,567,14548,1907,323,95,6156,,,
Galveston,6/5S,69200,64348,43196,21152,269280,50987,11784,2830,96486,,,
Garza,1,500,451,371,80,5325,719,33,75,2197,,,
Gillespie,8,9200,5366,4131,1235,22307,8110,1175,706,6815,,,
Glasscock,44449,0,291,265,26,1099,210,23,0,426,,,
Goliad,8,400,1535,1008,527,6281,1832,39,135,2282,,,
Gonzales,8,1900,2648,1796,852,15937,3572,550,256,6356,,,
Gray,1,1800,2620,1752,868,16924,3531,689,315,6978,,,
Grayson,44230,24600,16075,11069,5006,107521,24182,9338,2131,40586,,,
Gregg,4/5N,29375,15738,11543,4195,95544,19451,7025,2324,37362,,,
Grimes,7,1700,2462,1770,692,23245,5134,234,311,9653,,,
Guadalupe,8,17425,17293,12645,4648,130517,23614,3801,1225,49282,,,
Hale,1,3300,4443,3032,1411,25476,4604,873,399,10561,,,
Hall,1,0,737,568,169,2406,711,27,72,978,,,
Hamilton,7,1800,1581,1008,573,6832,2146,481,296,2427,,,
Hansford,1,900,893,645,248,3987,812,139,84,1616,,,
Hardeman,44230,1200,1256,850,406,3190,912,102,16,1146,,,
Hardin,6/5S,5900,7154,5340,1814,45112,9762,1003,527,16190,,,
Harris,6/5S,871450,611130,422140,188990,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4900,4982,3630,1352,51900,11607,3063,608,20509,,,
Hartley,1,1475,1343,919,424,4561,861,196,94,1669,,,
Haskell,44230,600,1019,791,228,4831,1266,123,68,1872,,,
Hays,7,35350,27997,20802,7195,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,998,629,369,2827,606,104,98,1066,,,
Henderson,4/5N,5100,7761,5609,2152,67238,18534,2043,998,26544,,,
Hidalgo,11,188750,118362,82280,36082,620824,98328,54962,17074,286328,,,
Hill,7,2200,4348,2935,1413,29198,7684,862,523,11381,,,
Hockley,1,1400,3338,2532,806,17799,3453,483,263,6829,,,
Hood,44230,5200,7439,5894,1545,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3800,3380,2525,855,29175,6887,1192,620,11166,,,
Houston,4/5N,2100,2247,1430,817,18929,5176,634,538,7399,,,
Howard,44449,3500,3031,1941,1090,29544,4813,1456,454,12143,,,
Hudspeth,44449,300,656,480,176,3979,775,33,0,1778,,,
Hunt,44230,8750,9978,6481,3497,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2544,1838,706,16258,3581,504,246,6098,,,
Irion,44449,0,196,140,56,1234,328,15,0,429,,,
Jack,44230,1200,1161,859,302,7230,1515,198,149,2732,,,
Jackson,8,4450,2640,2019,621,11425,2720,380,237,4205,,,
Jasper,4/5N,8800,4926,4337,589,28056,7187,1597,374,11687,,,
Jeff Davis,44449,200,660,607,53,2180,812,28,0,685,,,
Jefferson,6/5S,55150,24119,18671,5448,197382,37595,13127,2431,90120,,,
Jim Hogg,11,400,1421,932,489,3791,890,14,60,1572,,,
Jim Wells,11,8925,8789,6361,2428,30579,6358,3897,985,12474,,,
Johnson,44230,11600,16022,10869,5153,135345,25151,3559,1471,53224,,,
Jones,44230,700,1668,1246,422,17011,3188,337,254,6981,,,
Karnes,8,2500,1831,1374,457,12669,2211,370,244,5177,,,
Kaufman,44230,6750,14308,9785,4523,102341,16113,2857,1189,40613,,,
Kendall,8,3000,6427,4636,1791,37890,9152,1091,801,12702,,,
Kenedy,11,0,117,109,8,321,68,1,0,139,,,
Kent,44230,0,182,131,51,615,201,13,60,198,,,
Kerr,8,5400,6079,4640,1439,43793,14769,2805,1022,13990,,,
