County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,20068379,11653346,9123497,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,22505,15405,8401,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10809,5922,5081,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,46015,26096,21522,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19411,11036,8987,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5504,3034,2762,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1036,582,478,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,26582,15888,11710,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17635,10344,8384,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3889,2181,1891,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12914,7553,6090,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,55835,34043,23535,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2117,1155,1057,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19621,11627,8400,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,147872,87398,66814,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1434365,820369,651914,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9014,5046,4280,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,262,148,134,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,11051,6356,5328,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,35805,20850,17261,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,259887,147882,121666,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,155151,88855,70848,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7629,4346,3701,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,879,474,424,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5587,3074,2611,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16376,10424,8995,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,10923,6286,5300,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,30083,17917,14102,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,24982,15198,11303,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,13392,7791,6690,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6430,3663,3176,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,368435,216166,164275,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6312,3627,2882,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2696,1486,1271,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11834,7057,5746,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3865,2223,1771,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,21545,13390,8669,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,21596,12787,10093,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4136,2539,1924,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6398,3442,3187,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1369,805,726,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1816,1018,835,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4001,2259,1921,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,879641,494264,406594,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1389,796,694,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,14103,8475,7005,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,111449,66000,51271,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7754,4467,3827,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1754,988,841,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,19872,11561,9073,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,28466,17907,11585,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,770,434,386,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2134,1323,833,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1998,1114,911,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3567,1945,1677,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1827,970,862,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4156,2413,1782,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,1811114,1053549,815341,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,4850,2904,2100,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,10803,6317,5030,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,8458,5042,3956,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2315,1304,1094,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,683259,388189,313129,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,985,551,496,1858,525,21,0,689,0,,,,,,,,,,,,,
