County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,21385845,15852600,10040769,6421221,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4126230,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15270,14635,9825,5981,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6000,10213,5641,4768,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,49600,37453,23652,15262,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6540,16606,10202,6951,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,2800,4869,2882,2319,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,1900,974,573,422,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,16600,20151,12629,8332,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,6600,17684,12486,6385,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23135,3708,2126,1773,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,3600,11437,7252,4842,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,43000,47420,32070,16900,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5050,2365,1465,987,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,74510,16443,9214,7599,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,191800,111863,70486,46599,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1202410,1100474,696026,436261,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4600,7475,4790,2972,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,287,179,148,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,9400,9799,5939,4405,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,56570,30134,18358,13896,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,187080,210480,129677,89324,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,139020,120970,79295,45644,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,4800,7276,4298,3390,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,888,489,430,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3200,5226,2899,2380,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14000,14733,9631,8076,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4200,8767,5555,3708,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,30995,22631,14426,9582,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,12400,18792,12481,7729,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,5600,12229,7850,5485,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3200,5824,3406,2799,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,264825,285686,183230,113379,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5282,3343,2118,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1700,2442,1396,1101,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,4600,10247,6512,4662,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,2800,3464,2067,1518,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,32800,17206,11109,6486,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,15970,17434,10872,7642,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4300,3577,2050,1828,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,12645,5785,3234,2751,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,3943,2854,1248,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1712,993,754,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3100,3682,2121,1719,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,600460,676525,431733,262423,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2100,1361,783,682,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,10700,11887,7761,5439,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,74410,87984,57140,35786,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6690,7179,4185,3494,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,1800,1562,898,735,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,17700,14998,9402,6193,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,30745,20381,12558,8656,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,749,423,373,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3450,1999,1251,767,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1781,1018,788,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3291,1825,1502,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,1900,1560,911,656,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,25970,3846,2278,1616,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1492385,1426126,927882,546769,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,3800,4012,2360,1802,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6100,9318,5624,4261,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,4500,7388,4431,3472,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1500,2016,1173,913,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,462750,537244,332607,219536,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,948,543,463,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23065,7355,4238,3144,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1675,1011,711,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3200,7710,4577,3559,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,6070,7745,4727,3626,14970,4054,860,389,5393,591,,,,,,,,,,,,,
