County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31805267,17373156,14987165,24068624,22421178,3734229,1241763,271813,8302974,850859,650679,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,39654,22286,19275,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,9/10,6100,15278,8181,7107,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,70916,38994,33975,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,25156,13517,11816,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2/3,3200,7284,3907,3526,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1323,731,620,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,46393,25377,21901,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,25289,14408,12477,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,5012,2855,2385,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18697,10318,9056,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,89584,49825,41165,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2/3,5550,2677,1444,1305,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,30851,16383,13971,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,272372,149069,127347,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2359570,1273271,1097542,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11523,6237,5530,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,9/10,0,391,226,197,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,14770,8301,7175,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,57959,32398,27445,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,388658,208332,186861,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,215085,117914,101857,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,9/10,5100,9433,5276,4436,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
Briscoe,1,1200,1154,621,555,1352,1272,404,19,0,452,0,,,,,,,,,,,,
Brooks,11,3400,8104,4348,3810,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,
Brown,2/3,14800,24085,14515,12973,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,
Burleson,7,4700,15815,8786,7757,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,
Burnet,7,38215,44235,24510,21349,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,
Caldwell,7,15100,41863,23467,19905,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,
Calhoun,8,7300,19394,11065,9652,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,
Callahan,2/3,3500,9045,5035,4429,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,
Cameron,11,377955,564502,308002,265723,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,
Camp,4/5N,1800,9295,5163,4316,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,
Carson,1,1800,3713,2022,1772,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,
Cass,4/5N,5100,17097,9742,8404,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,
Castro,1,3100,5971,3303,2686,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,
Chambers,6/5S,37400,36789,20098,17117,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,
Cherokee,4/5N,18070,35262,19904,16969,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,
Childress,1,5000,5750,3360,3098,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,
Clay,2/3,14645,8391,4433,4047,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,
Cochran,1,1400,1919,1118,973,2361,2188,468,57,0,956,0,,,,,,,,,,,,
Coke,9/10,0,2325,1246,1070,2889,2756,947,47,130,899,0,,,,,,,,,,,,
Coleman,2/3,3700,5346,2941,2593,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,
Collin,2/3,763700,1267441,673145,601061,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,
Collingsworth,1,2200,1618,952,800,2432,2263,555,80,92,847,0,,,,,,,,,,,,
Colorado,6/5S,12600,19486,11075,9776,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,
Comal,8,94530,169571,92494,81815,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,
Comanche,2/3,6890,10991,6051,5391,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,
Concho,9/10,2000,2463,1403,1142,2382,2288,689,76,66,815,0,,,,,,,,,,,,
Cooke,2/3,18500,28251,15892,13323,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,
Coryell,7,38595,54204,29527,25456,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,
Cottle,2/3,0,832,460,414,1181,1123,339,5,0,446,0,,,,,,,,,,,,
Crane,9/10,3550,3447,2029,1407,3834,3554,594,71,110,1353,0,,,,,,,,,,,,
Crockett,9/10,0,2907,1570,1324,2885,2694,612,31,56,1031,0,,,,,,,,,,,,
Crosby,1,4050,4680,2462,2228,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,
Culberson,9/10,2000,2127,1126,1002,1824,1746,480,67,0,722,0,,,,,,,,,,,,
Dallam,1,28810,6037,3543,2584,5706,5217,857,40,0,2067,0,,,,,,,,,,,,
Dallas,2/3,1962805,2861812,1560124,1333461,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,
Dawson,9/10,4600,7478,4352,3643,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,
DeWitt,8,7100,16359,8969,7990,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,
Deaf Smith,1,5000,13956,7832,6789,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,
Delta,4/5N,1700,3428,1821,1588,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,
Denton,2/3,567070,987145,523475,473394,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,
Dickens,1,0,1310,727,646,1943,1858,525,21,0,689,0,,,,,,,,,,,,
Dimmit,8,23265,13820,8115,5549,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,
Donley,1,1400,1998,1103,933,2837,2716,804,27,65,918,0,,,,,,,,,,,,
Duval,11,3800,12996,6953,5813,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,
Eastland,2/3,7340,11795,6741,5674,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,
Ector,9/10,117100,131956,71719,60858,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,
Edwards,8,0,1353,731,642,1648,1555,561,24,0,528,0,,,,,,,,,,,,
El Paso,9/10,713000,1112147,603710,521043,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,
Ellis,2/3,130520,175374,96026,82752,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,
Erath,2/3,24600,28522,15760,13677,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,
Falls,7,30755,13946,7637,6465,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,
Fannin,2/3,37695,25708,14318,12437,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,
Fayette,7,8700,23125,13154,11138,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,
Fisher,2/3,2200,2372,1372,1181,3277,3088,961,101,28,1061,0,,,,,,,,,,,,
Floyd,1,2300,4531,2500,2214,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,
Foard,2/3,1700,931,539,419,1003,962,315,7,80,332,0,,,,,,,,,,,,
Fort Bend,6/5S,528850,1047622,557558,495807,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,
Franklin,4/5N,3200,6829,3888,3285,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,
Freestone,7,4400,12829,7252,6308,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,
Frio,8,13450,17100,10633,9160,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,
Gaines,9/10,5100,8215,4661,4001,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,
Galveston,6/5S,310560,384785,197758,179630,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,
Garza,1,4200,4854,3069,2862,5587,5325,719,33,75,2197,0,,,,,,,,,,,,
Gillespie,8,31400,26668,14364,12727,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,
Glasscock,9/10,0,1113,606,524,1170,1099,210,23,0,426,0,,,,,,,,,,,,
Goliad,8,2400,5894,3183,2834,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,
Gonzales,8,11700,17845,10138,8961,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,
Gray,1,5500,15127,8491,7425,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,
Grayson,2/3,67740,102957,58690,50376,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,
Gregg,4/5N,124925,102701,55024,47864,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,
Grimes,7,4700,26311,14711,12578,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,
Guadalupe,8,91395,159083,88329,78352,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,
Hale,1,14000,24094,13625,12050,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,
Hall,1,0,2269,1268,1133,2552,2406,711,27,72,978,0,,,,,,,,,,,,
Hamilton,7,6100,7328,4124,3633,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,
Hansford,1,3400,3993,2266,2032,4355,3987,812,139,84,1616,295,,,,,,,,,,,,
Hardeman,2/3,3800,3239,1778,1606,3383,3190,912,102,16,1146,0,,,,,,,,,,,,
Hardin,6/5S,11800,40095,21890,18820,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,
Harris,6/5S,3395220,5369470,2952358,2533327,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,
Harrison,4/5N,16870,44441,24876,21464,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,
Hartley,1,1475,4957,2814,2311,4854,4561,861,196,94,1669,253,,,,,,,,,,,,
Haskell,2/3,3200,3830,2186,1806,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,
