County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31429930,17273593,14847448,24068624,22421178,3734229,1241763,271813,8302974,850859,509692,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,42179,23927,20351,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,9/10,6100,15154,8147,7045,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,70472,38999,33641,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,27066,14636,12727,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2/3,3200,7465,4041,3633,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1325,731,622,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,45989,25304,21695,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,26362,15077,12955,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,4939,2832,2340,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18679,10427,9116,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,93638,52305,42862,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2/3,5550,2690,1461,1315,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,30658,16411,13950,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,271483,150034,127236,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2353772,1279674,1100511,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11694,6369,5615,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,9/10,0,385,223,194,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,14995,8483,7254,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,59121,33200,27955,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,392392,211853,188981,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,217811,119931,102969,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,9/10,5100,9278,5250,4414,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
