County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,23521675,16601459,10372271,6845893,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4573480,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15970,15086,10010,6258,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10307,5693,4809,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,53800,39211,24184,16513,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6640,17861,10360,8049,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,2900,5039,2950,2436,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2000,978,573,428,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,17400,21265,13357,8718,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,7300,17345,11497,7038,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23435,3731,2130,1792,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,4100,11621,7188,5097,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,47400,48137,31927,17766,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5450,2555,1547,1095,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,77850,16695,9317,7751,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,202590,116779,74084,47947,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1349190,1159330,723095,468294,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4700,7764,4815,3236,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,283,174,150,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,10000,9982,5994,4535,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,59210,31458,18893,14712,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,194220,219835,133475,95109,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,153600,126832,81608,49394,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7405,4345,3472,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,866,471,414,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3300,5255,2912,2397,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14500,15017,9755,8236,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4500,9267,5724,4048,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,33435,23447,14870,9945,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,13600,19626,12913,8167,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,6100,12513,7936,5688,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3400,5981,3485,2877,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,321075,298481,188750,120692,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5511,3411,2278,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1700,2483,1412,1126,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,10690,6645,4975,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,2900,3511,2091,1532,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,34100,18037,11618,6831,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,16170,18048,11068,8114,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4700,3590,2054,1840,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,13645,5867,3266,2808,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,4268,2752,1676,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1730,998,768,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3400,3736,2150,1744,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,653250,715243,445424,287549,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
