County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,3898700,2170149,1759812,410337,23418623,4073596,1241763,271813,8591155
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,2189,1985,204,48781,9138,2051,833,20337
Andrews,9/10,1600,2208,1618,590,16893,2253,309,106,6837
Angelina,4/5N,12200,6248,5357,891,70305,15150,6534,1752,29398
Aransas,11,600,1281,1155,126,23448,7843,370,252,8037
Archer,2/3,400,713,601,112,6824,1770,80,13,2295
Armstrong,1,200,308,281,27,1648,587,32,86,481
Atascosa,8,2900,2858,2261,597,40483,8111,1124,651,15830
Austin,6/5S,1400,1959,1711,248,24384,6516,667,396,7916
Bailey,1,2450,1310,1222,88,5684,1126,114,74,2229
Bandera,8,200,1525,1289,236,18258,6338,352,180,5865
Bastrop,7,4500,3327,2647,680,68916,15121,1462,696,28727
Baylor,2/3,1575,786,721,65,2887,898,137,97,927
Bee,11,7550,4017,3793,224,27790,4468,981,684,11824
Bell,7,33650,19446,16425,3021,264909,38752,15894,2466,92498
Bexar,8,276025,158906,117174,41732,1649172,273788,100704,17248,647806
Blanco,7,300,1540,1344,196,9721,3295,90,102,3072
Borden,9/10,0,35,33,2,594,220,9,0,165
Bosque,7,2000,936,815,121,14388,4658,624,407,4758
Bowie,4/5N,10050,4187,3036,1151,75454,16868,6332,1467,29469
Brazoria,6/5S,16900,25396,19908,5488,299211,51114,9762,2648,108666
Brazos,7,18025,9752,8356,1396,188279,22891,7514,1414,59705
Brewster,9/10,1000,840,756,84,7247,1989,303,0,2477
Briscoe,1,100,192,179,13,1289,451,19,0,437
Brooks,11,600,441,379,62,5481,1484,323,246,2246
Brown,2/3,1700,1649,1143,506,31624,8722,1663,911,11062
Burleson,7,800,812,683,129,14273,3996,143,218,5231
Burnet,7,3975,1934,1540,394,39401,11506,1823,595,12971
Caldwell,7,1400,1869,1505,364,35286,7157,1286,524,14008
Calhoun,8,1000,1472,1178,294,17873,4223,470,384,6552
Callahan,2/3,700,798,613,185,11212,3157,146,122,3971
Cameron,11,50250,39849,31759,8090,319351,62948,29737,6315,129484
Camp,4/5N,100,649,512,137,10475,2553,207,152,4127
Carson,1,200,666,576,90,4650,1082,60,0,1591
Cass,4/5N,300,646,451,195,24308,7443,1216,550,8770
Castro,1,700,778,671,107,5315,1256,121,174,2013
Chambers,6/5S,5400,2223,1895,328,33361,5780,958,244,12384
Cherokee,4/5N,5200,2970,2504,466,40660,9365,1500,738,16305
Childress,1,1100,467,425,42,5784,1221,251,136,2218
Clay,2/3,2250,1349,1172,177,8023,2403,136,60,2737
Cochran,1,100,502,393,109,2524,612,57,0,1063
Coke,9/10,0,201,174,27,2653,899,47,130,872
Coleman,2/3,600,557,454,103,6728,2157,342,162,2363
Collin,2/3,61275,60943,49019,11924,841758,131278,38139,7817,245116
Collingsworth,1,300,348,321,27,2451,685,80,92,876
Colorado,6/5S,1600,924,779,145,16882,4927,853,477,5810
Comal,8,9700,9329,7009,2320,122316,29374,5457,1845,37177
Comanche,2/3,1775,1493,1358,135,10333,3319,330,292,3444
Concho,9/10,100,177,153,24,3656,847,76,66,1433
Cooke,2/3,1900,1669,1458,211,32061,8164,948,552,11184
Coryell,7,3750,3074,2720,354,61429,7340,1178,610,23529
Cottle,2/3,0,50,48,2,1240,450,5,0,450
Crane,9/10,1175,477,374,103,4793,899,71,110,1780
Crockett,9/10,0,353,343,10,3170,903,31,56,1122
Crosby,1,1175,528,403,125,5020,1466,98,115,1887
Culberson,9/10,400,162,121,41,1820,571,67,0,712
Dallam,1,1475,807,790,17,5258,703,40,0,2159
Dallas,2/3,299125,157421,129660,27761,2114319,310440,142713,21399,759433
Dawson,9/10,600,572,527,45,10637,2054,304,112,4575
Deaf Smith,1,1700,1246,1042,204,13191,2358,238,147,5243
Delta,4/5N,0,232,175,57,4362,1380,379,100,1518
Denton,2/3,54125,33868,26949,6919,740206,105630,23806,5913,270964
DeWitt,8,800,756,621,135,17638,4589,319,438,6603
Dickens,1,0,82,70,12,1878,591,21,0,665
Dimmit,8,2750,1531,1405,126,8764,1840,238,175,3801
Donley,1,100,334,306,28,2774,876,27,65,911
Duval,11,300,930,833,97,9023,2267,69,150,3641
Eastland,2/3,900,1109,903,206,14611,4258,860,389,5114
Ector,9/10,19900,12420,10316,2104,140862,19134,5303,1016,58795
Edwards,8,0,125,103,22,1626,612,24,0,538
El Paso,9/10,108125,90572,73122,17450,664164,120770,35065,8383,249418
Ellis,2/3,4800,8393,6789,1604,140959,26556,3985,1994,53083
Erath,2/3,1000,1775,1497,278,34043,6437,1250,481,12119
Falls,7,2650,1078,1008,70,13589,3260,328,187,5412
Fannin,2/3,4650,2850,2288,562,28488,7569,962,614,10313
Fayette,7,1400,1122,1006,116,21033,6884,998,647,6820
Fisher,2/3,200,276,266,10,3226,1064,101,28,1079
Floyd,1,200,447,409,38,4468,1287,132,68,1660
Foard,2/3,100,198,181,17,1016,352,7,80,341
Fort Bend,6/5S,50575,60696,50127,10569,681745,114245,24721,4977,190680
Franklin,4/5N,400,573,469,104,8474,2221,169,163,2901
Freestone,7,1100,657,635,22,15926,4038,553,261,6360
Frio,8,2475,1840,1547,293,16062,2760,186,166,6638
Gaines,9/10,1200,854,668,186,16010,2446,323,95,6606
Galveston,6/5S,38225,34549,26824,7725,284584,55792,11784,2830,101126
Garza,1,100,167,144,23,5585,812,33,75,2277
Gillespie,8,4300,2429,1998,431,21871,7882,1175,706,6715
Glasscock,9/10,0,69,64,5,1120,311,23,0,388
Goliad,8,100,680,610,70,6430,2076,39,135,2234
Gonzales,8,1600,1132,963,169,16466,3941,550,256,6438
Gray,1,1300,1324,1210,114,19064,3822,689,315,7941
Grayson,2/3,21800,9771,7943,1828,105377,25679,9338,2131,38813
Gregg,4/5N,16050,7219,5419,1800,97920,20416,7025,2324,38054
Grimes,7,1200,1096,949,147,23414,5855,234,311,9359
Guadalupe,8,6275,7499,5333,2166,136431,26026,3801,1225,50897
Hale,1,2600,2252,1837,415,24936,4790,873,399,10194
Hall,1,0,289,275,14,2606,834,27,72,1022
Hamilton,7,1600,1959,1627,332,6553,2009,481,296,2354
Hansford,1,600,500,476,24,4417,1003,139,84,1738
Hardeman,2/3,500,616,508,108,3008,791,102,16,1115
Hardin,6/5S,4700,3072,2746,326,45896,10632,1003,527,16151
Harris,6/5S,571325,340474,277188,63286,3866923,553323,225769,27623,1511002
Harrison,4/5N,2800,2545,2143,402,52923,12077,3063,608,20791
