County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,23521675,16053629,10140180,6524433,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4573480,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15970,14761,9879,6054,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10227,5652,4771,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,53800,37665,23843,15293,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6640,16730,10274,7003,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,2900,4984,2943,2411,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2000,972,573,420,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,17400,20294,12697,8409,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,7300,17073,11744,6518,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23435,3712,2127,1776,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,4100,11820,7379,5102,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,47400,47619,32192,16975,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5450,2365,1463,989,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,77850,16482,9237,7615,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,202590,113619,71955,46892,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1349190,1114143,702353,443645,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4700,7540,4830,3000,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,288,181,150,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,10000,9869,5980,4434,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,59210,30223,18391,13973,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,194220,214525,131136,91923,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,153600,121626,79785,45990,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7290,4303,3399,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,890,490,431,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3300,5213,2894,2372,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14500,14757,9647,8084,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4500,8806,5584,3723,14869,3867,143,218,5600,518,,,,,,,,,,,,,
