County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,482045,475627,6418,22448443,3769216,1591521,270194
Anderson,4/5N,255,255,0,49346,8955,2590,833
Andrews,9/10,582,577,5,13954,1905,401,106
Angelina,4/5N,1342,1339,3,70388,14706,7603,1752
Aransas,11,199,198,1,19727,6538,542,252
Archer,2/3,149,149,0,7533,1887,107,59
Armstrong,1,49,49,0,1693,588,37,86
Atascosa,8,619,616,3,39065,7743,1181,655
Austin,6/5S,315,315,0,25584,6512,1069,396
Bailey,1,107,107,0,5190,1024,156,74
Bandera,8,222,222,0,19833,6530,426,186
Bastrop,7,983,981,2,70499,14746,2137,696
Baylor,2/3,96,96,0,3002,916,156,97
Bee,11,254,254,0,26904,4202,1219,684
Bell,7,3576,3573,3,265191,37371,20144,2466
Bexar,8,39721,39399,322,1541803,248261,127752,17100
Blanco,7,95,95,0,10177,3274,167,102
Borden,9/10,3,3,0,580,206,10,0
Bosque,7,186,185,1,15491,4847,677,407
Bowie,4/5N,1192,1190,2,78179,16917,7877,1532
Brazoria,6/5S,5566,5444,122,295635,48145,13914,2648
Brazos,7,1772,1771,1,185835,21605,10756,1278
Brewster,9/10,102,102,0,7291,1942,548,0
Briscoe,1,29,29,0,1295,443,18,0
Brooks,11,104,104,0,5438,1441,396,246
Brown,2/3,603,600,3,31586,8452,1886,911
Burleson,7,171,171,0,14721,3981,203,218
Burnet,7,525,524,1,39423,11162,2391,595
Caldwell,7,455,454,1,33813,6558,1744,524
Calhoun,8,367,367,0,17169,3944,608,254
Callahan,2/3,201,201,0,11666,3185,310,122
Cameron,11,9479,9473,6,315242,59778,33067,6480
Camp,4/5N,135,135,0,10054,2412,353,154
Carson,1,177,177,0,4769,1096,77,0
Cass,4/5N,217,217,0,24447,7203,1609,550
Castro,1,140,139,1,5574,1267,152,174
Chambers,6/5S,340,337,3,34171,5692,1101,120
Cherokee,4/5N,659,659,0,41571,9380,1837,809
Childress,1,296,296,0,5769,1177,276,136
Clay,2/3,196,195,1,8544,2430,175,60
Cochran,1,107,107,0,2167,497,66,0
Coke,9/10,41,41,0,2839,957,47,130
Coleman,2/3,156,156,0,6555,2051,418,162
Collin,2/3,14154,13865,289,806242,118818,56174,7544
Collingsworth,1,107,107,0,2177,574,94,92
Colorado,6/5S,182,182,0,17682,5065,1057,477
Comal,8,2426,2416,10,125758,29676,7125,1845
Comanche,2/3,444,443,1,11046,3438,418,292
Concho,9/10,29,29,0,2381,528,81,66
Cooke,2/3,261,256,5,32501,7977,1347,552
Coryell,7,588,587,1,58277,6832,1291,594
Cottle,2/3,719,719,0,1120,400,5,0
Crane,9/10,111,111,0,3483,625,95,110
Crockett,9/10,29,29,0,2687,716,45,56
Crosby,1,139,137,2,4386,1236,127,115
Culberson,9/10,51,51,0,1797,529,79,0
Dallam,1,36,36,0,5092,691,95,0
Dallas,2/3,32731,32061,670,2015538,284171,183122,21354
Dawson,9/10,74,73,1,9997,1927,385,112
Deaf Smith,1,385,385,0,14288,2472,316,228
Delta,4/5N,59,59,0,4312,1312,437,100
Denton,2/3,8413,8246,167,702429,94410,34569,5667
DeWitt,8,154,154,0,16610,4251,421,438
Dickens,1,13,13,0,1840,546,29,0
Dimmit,8,149,149,0,7130,1517,226,175
Donley,1,51,51,0,2655,798,47,74
Duval,11,144,144,0,8359,2073,107,150
Eastland,2/3,143,142,1,14718,4181,1021,405
Ector,9/10,1342,1325,17,123303,16788,6730,1016
Edwards,8,33,32,1,1605,586,27,0
El Paso,9/10,21906,21841,65,640715,111036,46429,8546
Ellis,2/3,2268,2257,11,146536,26120,5259,1781
Erath,2/3,371,369,2,34869,6466,1793,481
Falls,7,123,123,0,14306,3332,413,187
Fannin,2/3,766,763,3,29681,7609,1161,693
Fayette,7,479,479,0,21209,6683,1251,647
Fisher,2/3,14,14,0,3139,996,184,28
Floyd,1,33,33,0,4283,1207,156,68
Foard,2/3,28,28,0,937,323,9,80
Fort Bend,6/5S,10999,10782,217,626861,97435,33263,4965
Franklin,4/5N,137,137,0,8327,2189,181,163
Freestone,7,65,65,0,16551,4068,718,261
Frio,8,358,358,0,15133,2573,226,270
Gaines,9/10,209,209,0,14875,2237,348,95
Galveston,6/5S,7862,7729,133,267032,50119,15388,2824
Garza,1,30,29,1,5021,727,52,75
Gillespie,8,620,619,1,22728,8108,1453,706
Glasscock,9/10,5,5,0,1108,296,28,0
Goliad,8,100,100,0,6615,2077,59,135
Gonzales,8,258,258,0,15931,3700,626,256
Gray,1,323,322,1,17050,3428,927,315
Grayson,2/3,2218,2204,14,107568,25224,10711,1989
Gregg,4/5N,1947,1942,5,97771,19676,10046,2328
Grimes,7,274,273,1,23692,5592,422,311
Guadalupe,8,2233,2222,11,130156,24014,5123,1292
Hale,1,549,544,5,25066,4629,1308,399
Hall,1,59,59,0,2399,745,42,72
Hamilton,7,443,443,0,6957,2150,503,296
Hansford,1,206,206,0,3992,874,163,84
Hardeman,2/3,159,157,2,3017,769,118,16
Hardin,6/5S,551,547,4,47640,10521,1237,527
Harris,6/5S,71558,69900,1658,3573784,490810,281834,27084
Harrison,4/5N,603,602,1,53015,11647,3586,608
Hartley,1,28,28,0,4850,899,203,94
Haskell,2/3,55,55,0,4635,1242,136,68
Hays,7,3674,3670,4,183387,29281,7680,1557
Hemphill,1,211,211,0,2788,547,113,98
Henderson,4/5N,677,674,3,67614,18942,2628,932
Hidalgo,11,9657,9619,38,649795,102347,62827,16918
Hill,7,427,425,2,29221,8003,1219,523
Hockley,1,377,371,6,17482,3513,795,263
Hood,2/3,727,723,4,50235,15761,2493,862
Hopkins,4/5N,310,310,0,29578,7446,1680,620
Houston,4/5N,361,360,1,19208,5038,1114,426
Howard,9/10,445,444,1,28821,4493,1826,454
Hudspeth,9/10,39,39,0,2968,818,35,0
Hunt,2/3,1684,1674,10,77702,16832,4485,947
Hutchinson,1,286,286,0,15984,3458,545,246
Irion,9/10,19,19,0,1345,412,19,0
Jack,2/3,115,112,3,7488,1604,226,149
Jackson,8,228,227,1,11172,2670,422,237
Jasper,4/5N,210,209,1,28248,7271,1952,374
Jeff Davis,9/10,18,18,0,2146,846,29,0
Jefferson,6/5S,1496,1491,5,198728,36802,16838,2497
Jim Hogg,11,60,60,0,3764,898,35,60
Jim Wells,11,585,583,2,29988,6423,4090,1033
Johnson,2/3,2101,2025,76,135188,26669,5142,1260
Jones,2/3,164,164,0,16827,3127,400,340
Karnes,8,122,122,0,12523,2489,396,244
Kaufman,2/3,1771,1733,38,104736,19164,4062,1176
Kendall,8,1044,1032,12,38074,9979,2094,801
Kenedy,11,3,3,0,315,94,1,0
Kent,2/3,5,5,0,633,235,14,60
Kerr,8,682,682,0,43611,14400,3557,1022
Kimble,9/10,63,63,0,3844,1379,104,0
King,1,4,4,0,233,60,5,0
Kinney,8,8,8,0,2931,889,19,0
Kleberg,11,409,408,1,25862,4574,1835,341
Knox,2/3,68,68,0,2861,823,117,127
La Salle,8,46,46,0,6105,1224,37,60
Lamar,4/5N,1022,1018,4,40212,10314,3737,745
Lamb,1,188,185,3,9647,2400,541,226
Lampasas,7,166,166,0,17275,4497,436,284
Lavaca,8,447,446,1,16041,4537,881,620
Lee,7,205,205,0,13837,3373,363,226
Leon,7,160,159,1,14066,4292,256,74
Liberty,6/5S,391,383,8,70912,13765,2505,614
Limestone,7,113,113,0,19033,4691,2488,1060
Lipscomb,1,48,48,0,2496,636,31,61
Live Oak,11,52,52,0,9966,2656,55,100
Llano,7,190,189,1,18642,7523,340,358
Loving,9/10,1,1,0,83,34,1,0
Lubbock,1,10600,10148,452,243899,41235,24699,4151
Lynn,1,96,92,4,4820,1113,212,40
Madison,7,133,133,0,11353,2256,314,258
Marion,4/5N,62,61,1,8117,2491,372,158
Martin,9/10,91,88,3,4306,880,184,0
Mason,9/10,118,117,1,3567,1322,126,0
Matagorda,6/5S,188,188,0,28353,6359,1540,369
Maverick,8,553,553,0,42357,7656,3716,1198
McCulloch,9/10,16,16,0,6675,2024,303,122
McLennan,7,3562,3557,5,198642,37827,14401,3591
McMullen,11,5,5,0,640,256,13,0
Medina,8,700,699,1,42991,9239,1165,811
Menard,9/10,49,49,0,1759,687,15,40
Midland,9/10,1409,1287,122,132357,17262,7414,1391
Milam,7,159,159,0,19805,5508,693,254
Mills,7,132,132,0,3970,1369,186,152
Mitchell,2/3,238,238,0,7087,1476,310,96
Montague,2/3,174,172,2,15803,4504,678,383
Montgomery,6/5S,5280,5128,152,470846,84212,25684,3769
Moore,1,378,376,2,15513,2464,477,176
Morris,4/5N,176,176,0,9938,2901,146,179
Motley,1,19,19,0,1016,403,20,50
Nacogdoches,4/5N,1393,1390,3,52561,10458,3380,851
Navarro,2/3,530,529,1,40888,9624,2099,869
Newton,4/5N,63,63,0,11070,2715,101,113
Nolan,2/3,216,216,0,10998,2627,692,251
Nueces,11,8489,8344,145,282299,51768,30463,4100
Ochiltree,1,193,193,0,7508,1186,218,114
Oldham,1,66,64,2,1714,417,20,0
Orange,6/5S,301,300,1,65680,14828,2217,554
Palo Pinto,2/3,186,184,2,23268,5869,1093,283
Panola,4/5N,113,113,0,19325,4774,784,377
Parker,2/3,1938,1875,63,112329,24963,4236,1301
