County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,8888955,6520469,4201888,2319520,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,647990,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,7900,5704,3511,2193,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3000,6403,4296,2107,13503,1833,309,106,5450,41,,
Angelina,4/5N,23300,19106,12367,6739,67056,14422,6534,1752,28054,3266,,
Aransas,11,1900,5707,3631,2079,19803,6791,370,252,6701,39,,
Archer,2/3,1400,2677,1509,1168,6921,1677,80,13,2381,330,,
Armstrong,1,900,681,410,271,1499,470,32,86,466,0,,
Atascosa,8,6100,7865,5114,2751,38768,7605,1124,651,15239,1557,,
Austin,6/5S,2900,7592,5496,2096,23704,5933,667,396,7873,1079,,
Bailey,1,12105,2869,1655,1214,5089,1036,114,74,1982,0,,
Bandera,8,1100,4631,3098,1533,19763,6439,352,180,6555,20,,
Bastrop,7,17900,11145,7828,3317,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3450,1612,913,699,2793,844,137,97,908,0,,
Bee,11,37100,11513,6388,5125,26496,4091,981,684,11359,989,,
Bell,7,82050,48865,29783,19102,272969,40534,15894,2466,95066,12910,,
Bexar,8,587330,447012,282267,164747,1552823,247843,100704,17248,614646,61232,,
Blanco,7,2200,2784,1952,832,10092,3004,90,102,3388,303,,
Borden,9/10,0,139,94,45,543,174,9,0,163,0,,
Bosque,7,4000,4437,2865,1573,15224,4741,624,407,5126,579,,
Bowie,4/5N,21250,11310,7146,4164,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,74490,83321,52490,30841,287683,45752,9762,2648,105966,12034,,
Brazos,7,51270,42556,29015,13541,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,2200,3849,2335,1522,7706,2231,303,0,2579,255,,
Briscoe,1,800,674,372,302,1272,404,19,0,452,0,,
Brooks,11,1800,2361,1449,912,5317,1308,323,246,2253,22,,
Brown,2/3,4800,5173,3842,1331,30883,7720,1663,911,11188,1112,,
Burleson,7,1600,3630,2657,973,14869,3867,143,218,5600,518,,
Burnet,7,13255,7857,5721,2136,39239,10999,1823,595,13132,94,,
Caldwell,7,5600,6385,4381,2004,34853,6512,1286,524,14114,1294,,
Calhoun,8,1900,3521,2445,1077,16817,3981,470,384,6161,53,,
Callahan,2/3,1700,2763,1838,925,11263,2958,146,122,4094,442,,
Cameron,11,119565,114898,72023,42878,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,800,1947,1261,686,10031,2494,207,152,3927,0,,
Carson,1,500,1642,987,655,4718,1250,60,0,1547,240,,
Cass,4/5N,1400,2411,1608,803,24182,6856,1216,550,9010,1125,,
Castro,1,1500,2035,1220,815,5607,1236,121,174,2168,341,,
Chambers,6/5S,17000,7006,4475,2531,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,8200,8307,5052,3255,40876,9444,1500,738,16376,1511,,
Childress,1,2200,2032,1368,664,6094,1165,251,136,2395,0,,
Clay,2/3,6945,4681,2550,2131,8666,2484,136,60,3011,384,,
Cochran,1,800,798,542,256,2188,468,57,0,956,0,,
Coke,9/10,0,798,511,287,2756,947,47,130,899,0,,
Coleman,2/3,1200,1568,1043,525,6721,2119,342,162,2379,289,,
Collin,2/3,257410,252146,155020,97129,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1100,854,547,307,2263,555,80,92,847,0,,
Colorado,6/5S,4900,5557,3489,2068,17107,4850,853,477,5957,613,,
Comal,8,30500,37262,23626,13637,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,4420,3603,2244,1359,10944,3330,330,292,3738,455,,
Concho,9/10,700,874,604,270,2288,689,76,66,815,0,,
Cooke,2/3,7500,7427,5206,2224,32675,7804,948,552,11640,1051,,
Coryell,7,14105,9642,5899,3743,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,296,218,78,1123,339,5,0,446,0,,
Crane,9/10,2450,1456,905,551,3554,594,71,110,1353,0,,
Crockett,9/10,0,1074,620,454,2694,612,31,56,1031,0,,
Crosby,1,2850,2026,1406,620,4421,1085,98,115,1771,284,,
Culberson,9/10,900,651,387,264,1746,480,67,0,722,0,,
Dallam,1,11630,3103,1834,1269,5217,857,40,0,2067,0,,
Dallas,2/3,744325,529102,336403,192721,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,1500,1821,1150,671,9789,1898,304,112,4206,475,,
Deaf Smith,1,2700,3615,2444,1171,13439,2423,238,147,5332,0,,
Delta,4/5N,600,1003,647,356,4222,1118,379,100,1580,0,,
Denton,2/3,225280,181825,113181,68647,697330,93499,23806,5913,257836,22330,,
DeWitt,8,1800,3433,2456,977,16110,4035,319,438,6110,1055,,
Dickens,1,0,492,381,111,1858,525,21,0,689,0,,
Dimmit,8,12035,4866,3152,1714,7539,1749,238,175,3179,48,,
Donley,1,500,980,709,271,2716,804,27,65,918,0,,
Duval,11,1400,3814,2461,1353,8600,2031,69,150,3541,482,,
Eastland,2/3,1800,3387,2370,1023,14970,4054,860,389,5393,591,,
Ector,9/10,62860,40845,26884,13961,120896,15970,5303,1016,50679,428,,
Edwards,8,0,311,236,75,1555,561,24,0,528,0,,
El Paso,9/10,260040,235111,146925,88186,640180,105175,35065,8383,245567,27330,,
Ellis,2/3,31660,35998,24887,11111,141665,24288,3985,1994,54463,6578,,
Erath,2/3,6500,7640,5502,2138,34875,6256,1250,481,12564,1079,,
Falls,7,12605,3271,2104,1167,14049,3226,328,187,5671,486,,
Fannin,2/3,15605,7392,4614,2778,28874,6588,962,614,10987,1108,,
Fayette,7,2400,5351,3816,1535,20879,6679,998,647,6844,671,,
Fisher,2/3,1100,862,546,316,3088,961,101,28,1061,0,,
Floyd,1,1100,1734,1157,577,4371,1070,132,68,1723,0,,
Foard,2/3,900,533,378,155,962,315,7,80,332,0,,
Fort Bend,6/5S,198650,229439,136829,92648,616413,93851,24721,4977,175581,19047,,
Franklin,4/5N,1600,1774,1163,611,8554,2367,169,163,2871,0,,
Freestone,7,1700,2480,1683,839,15808,3996,553,261,6319,689,,
Frio,8,5550,3827,2195,1632,16121,2499,186,166,6797,28,,
Gaines,9/10,2000,2438,1681,757,14548,1907,323,95,6156,717,,
Galveston,6/5S,96900,95414,58403,37012,269280,50987,11784,2830,96486,10219,,
Garza,1,1300,1070,809,261,5325,719,33,75,2197,0,,
Gillespie,8,14100,8460,5114,3346,22307,8110,1175,706,6815,681,,
Glasscock,9/10,0,544,296,248,1099,210,23,0,426,0,,
Goliad,8,600,2163,1226,937,6281,1832,39,135,2282,0,,
Gonzales,8,2700,4876,3255,1621,15937,3572,550,256,6356,693,,
Gray,1,2300,3706,2410,1296,16924,3531,689,315,6978,42,,
Grayson,2/3,27870,23346,14870,8528,107521,24182,9338,2131,40586,4254,,
Gregg,4/5N,43815,23889,15860,8029,95544,19451,7025,2324,37362,3988,,
Grimes,7,2200,4765,3331,1434,23245,5134,234,311,9653,771,,
Guadalupe,8,32975,31699,20226,11473,130517,23614,3801,1225,49282,3850,,
Hale,1,3700,6226,4198,2029,25476,4604,873,399,10561,1177,,
Hall,1,0,983,687,296,2406,711,27,72,978,0,,
Hamilton,7,2100,2053,1377,676,6832,2146,481,296,2427,10,,
Hansford,1,1200,1521,1025,496,3987,812,139,84,1616,295,,
Hardeman,2/3,1700,1647,966,681,3190,912,102,16,1146,0,,
Hardin,6/5S,7000,11573,8204,3369,45112,9762,1003,527,16190,1814,,
Harris,6/5S,1215280,959058,624639,334669,3601939,514167,225769,27623,1408024,148273,,
Harrison,4/5N,6800,9454,6399,3055,51900,11607,3063,608,20509,2169,,
Hartley,1,1475,2159,1264,895,4561,861,196,94,1669,253,,
Haskell,2/3,1300,1683,1105,580,4831,1266,123,68,1872,187,,
Hays,7,56190,45455,29867,15590,183380,26187,5488,1907,61462,6431,,
Hemphill,1,1800,1385,810,576,2827,606,104,98,1066,0,,
Henderson,4/5N,8800,13115,8346,4769,67238,18534,2043,998,26544,1787,,
Hidalgo,11,252530,197253,123453,73953,620824,98328,54962,17074,286328,36161,,
Hill,7,3500,6938,4414,2524,29198,7684,862,523,11381,1209,,
Hockley,1,2000,6198,3930,2268,17799,3453,483,263,6829,887,,
Hood,2/3,9800,15957,11017,4940,50193,15416,1720,867,16867,147,,
Hopkins,4/5N,4100,5895,3543,2352,29175,6887,1192,620,11166,1299,,
Houston,4/5N,2800,3371,2254,1118,18929,5176,634,538,7399,631,,
Howard,9/10,4000,5251,3129,2122,29544,4813,1456,454,12143,858,,
Hudspeth,9/10,500,1152,748,404,3979,775,33,0,1778,145,,
Hunt,2/3,13860,15732,10144,5589,77878,15810,4112,947,31096,2723,,
Hutchinson,1,1400,4614,3194,1420,16258,3581,504,246,6098,741,,
Irion,9/10,0,358,223,135,1234,328,15,0,429,0,,
Jack,2/3,2000,2100,1346,754,7230,1515,198,149,2732,284,,
Jackson,8,4650,4193,2339,1873,11425,2720,380,237,4205,674,,
Jasper,4/5N,12100,9174,5782,3392,28056,7187,1597,374,11687,1173,,
Jeff Davis,9/10,500,1278,736,544,2180,812,28,0,685,0,,
Jefferson,6/5S,83690,46681,33603,13078,197382,37595,13127,2431,90120,6898,,
Jim Hogg,11,800,2016,1350,666,3791,890,14,60,1572,0,,
Jim Wells,11,13905,14618,8967,5651,30579,6358,3897,985,12474,1370,,
Johnson,2/3,26550,26925,17722,9207,135345,25151,3559,1471,53224,5814,,
Jones,2/3,1100,2987,1885,1102,17011,3188,337,254,6981,525,,
Karnes,8,3600,3326,2124,1202,12669,2211,370,244,5177,505,,
Kaufman,2/3,15750,22363,14377,7986,102341,16113,2857,1189,40613,4498,,
Kendall,8,4100,12512,8294,4218,37890,9152,1091,801,12702,160,,
Kenedy,11,0,204,113,91,321,68,1,0,139,0,,
