County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,29752600,16783423,14141208,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,39731,22946,19185,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,14153,7873,6566,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,66389,37610,31502,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,25509,14341,12067,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6978,3901,3438,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1272,714,597,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,42926,24339,20125,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,25242,14757,12359,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4779,2759,2263,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,17656,10099,8698,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,87844,50568,40055,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2461,1359,1230,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,27925,15723,12813,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,247476,141678,115762,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2212163,1240551,1043424,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,11200,6235,5415,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,357,218,169,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,14130,8150,6837,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,55307,32070,26439,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,373018,207180,180758,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,206927,116189,97752,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,9038,5188,4330,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,1094,597,528,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,7786,4444,3724,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,23582,14568,12624,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,14732,8427,7220,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,41969,24160,20346,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,39992,23238,18890,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,19252,11241,9531,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,8742,5073,4292,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,550959,308441,259851,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,9271,5355,4222,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3511,1963,1652,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,17100,10060,8338,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,5509,3211,2474,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,36011,20539,16430,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,33362,19599,15936,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5817,3479,3110,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,7599,4186,3737,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1804,1062,936,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2228,1252,1053,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,5310,2999,2573,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1223877,668368,587870,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1563,927,774,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,18847,11135,9355,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,163137,92071,79488,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,10294,5922,5053,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2353,1379,1106,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,27734,15878,13100,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,49374,27960,23375,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,908,525,457,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,3073,1885,1217,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2654,1466,1225,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,4546,2497,2161,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,2165,1169,1013,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,5571,3256,2417,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2698298,1515136,1270321,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,7126,4197,3464,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,15401,8730,7440,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,13182,7580,6320,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,3132,1772,1467,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,960630,523096,464982,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1224,700,617,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,13443,8113,5435,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,2171,1231,1008,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
