County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,926375,365455,365455,0,22448443,3769216,1591521,270194
Anderson,4/5N,3200,190,190,0,49346,8955,2590,833
Andrews,9/10,600,570,570,0,13954,1905,401,106
Angelina,4/5N,7400,984,984,0,70388,14706,7603,1752
Aransas,11,0,165,165,0,19727,6538,542,252
Archer,2/3,100,128,128,0,7533,1887,107,59
Armstrong,1,0,27,27,0,1693,588,37,86
Atascosa,8,1200,524,524,0,39065,7743,1181,655
Austin,6/5S,500,214,214,0,25584,6512,1069,396
Bailey,1,200,103,103,0,5190,1024,156,74
Bandera,8,100,188,188,0,19833,6530,426,186
Bastrop,7,700,798,798,0,70499,14746,2137,696
Baylor,2/3,200,72,72,0,3002,916,156,97
Bee,11,600,234,234,0,26904,4202,1219,684
Bell,7,8050,2867,2867,0,265191,37371,20144,2466
Bexar,8,80450,30320,30320,0,1541803,248261,127752,17100
Blanco,7,0,77,77,0,10177,3274,167,102
Borden,9/10,0,1,1,0,580,206,10,0
Bosque,7,1200,103,103,0,15491,4847,677,407
Bowie,4/5N,3725,1051,1051,0,78179,16917,7877,1532
Brazoria,6/5S,4000,4337,4337,0,295635,48145,13914,2648
Brazos,7,5075,1397,1397,0,185835,21605,10756,1278
Brewster,9/10,400,62,62,0,7291,1942,548,0
Briscoe,1,0,16,16,0,1295,443,18,0
Brooks,11,200,76,76,0,5438,1441,396,246
Brown,2/3,600,568,568,0,31586,8452,1886,911
Burleson,7,200,128,128,0,14721,3981,203,218
Burnet,7,1200,473,473,0,39423,11162,2391,595
Caldwell,7,400,385,385,0,33813,6558,1744,524
Calhoun,8,400,308,308,0,17169,3944,608,254
Callahan,2/3,200,187,187,0,11666,3185,310,122
Cameron,11,10625,7090,7090,0,315242,59778,33067,6480
Camp,4/5N,0,107,107,0,10054,2412,353,154
Carson,1,0,88,88,0,4769,1096,77,0
Cass,4/5N,100,183,183,0,24447,7203,1609,550
Castro,1,100,120,120,0,5574,1267,152,174
Chambers,6/5S,1700,260,260,0,34171,5692,1101,120
Cherokee,4/5N,1900,498,498,0,41571,9380,1837,809
Childress,1,300,271,271,0,5769,1177,276,136
Clay,2/3,100,149,149,0,8544,2430,175,60
Cochran,1,0,96,96,0,2167,497,66,0
Coke,9/10,0,29,29,0,2839,957,47,130
Coleman,2/3,200,114,114,0,6555,2051,418,162
Collin,2/3,19900,8936,8936,0,806242,118818,56174,7544
Collingsworth,1,100,67,67,0,2177,574,94,92
Colorado,6/5S,200,169,169,0,17682,5065,1057,477
Comal,8,3600,1898,1898,0,125758,29676,7125,1845
Comanche,2/3,100,392,392,0,11046,3438,418,292
Concho,9/10,0,24,24,0,2381,528,81,66
Cooke,2/3,200,199,199,0,32501,7977,1347,552
Coryell,7,700,462,462,0,58277,6832,1291,594
Cottle,2/3,0,654,654,0,1120,400,5,0
Crane,9/10,100,103,103,0,3483,625,95,110
Crockett,9/10,0,14,14,0,2687,716,45,56
Crosby,1,100,122,122,0,4386,1236,127,115
Culberson,9/10,100,22,22,0,1797,529,79,0
Dallam,1,100,22,22,0,5092,691,95,0
Dallas,2/3,96400,25317,25317,0,2015538,284171,183122,21354
Dawson,9/10,200,34,34,0,9997,1927,385,112
Deaf Smith,1,200,299,299,0,14288,2472,316,228
Delta,4/5N,0,52,52,0,4312,1312,437,100
Denton,2/3,9300,5325,5325,0,702429,94410,34569,5667
DeWitt,8,300,116,116,0,16610,4251,421,438
Dickens,1,0,12,12,0,1840,546,29,0
Dimmit,8,100,133,133,0,7130,1517,226,175
Donley,1,0,32,32,0,2655,798,47,74
Duval,11,0,110,110,0,8359,2073,107,150
Eastland,2/3,400,133,133,0,14718,4181,1021,405
Ector,9/10,5100,898,898,0,123303,16788,6730,1016
Edwards,8,0,23,23,0,1605,586,27,0
El Paso,9/10,35975,16419,16419,0,640715,111036,46429,8546
Ellis,2/3,1700,1864,1864,0,146536,26120,5259,1781
Erath,2/3,200,285,285,0,34869,6466,1793,481
Falls,7,100,86,86,0,14306,3332,413,187
Fannin,2/3,1600,639,639,0,29681,7609,1161,693
Fayette,7,600,428,428,0,21209,6683,1251,647
Fisher,2/3,0,12,12,0,3139,996,184,28
Floyd,1,0,27,27,0,4283,1207,156,68
Foard,2/3,0,19,19,0,937,323,9,80
