County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,4485029,3118003,1367026,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4360,2815,1545,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,3044,2374,670,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,13661,9206,4455,67056,14422,6534,1752,28054,,,
Aransas,11,1500,3776,2747,1029,19803,6791,370,252,6701,,,
Archer,2/3,1100,1973,1351,622,6921,1677,80,13,2381,,,
Armstrong,1,600,560,349,211,1499,470,32,86,466,,,
Atascosa,8,4700,4920,3454,1466,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,4955,3819,1136,23704,5933,667,396,7873,,,
Bailey,1,9765,2527,1421,1106,5089,1036,114,74,1982,,,
Bandera,8,600,2826,2132,694,19763,6439,352,180,6555,,,
Bastrop,7,14000,7166,5093,2073,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1534,856,678,2793,844,137,97,908,,,
Bee,11,30050,8496,5580,2916,26496,4091,981,684,11359,,,
Bell,7,69180,36369,24853,11516,272969,40534,15894,2466,95066,,,
Bexar,8,515470,315022,215527,99495,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,1766,1435,331,10092,3004,90,102,3388,,,
Borden,9/10,0,81,57,24,543,174,9,0,163,,,
Bosque,7,3800,2947,1812,1135,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,7808,4958,2850,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,57511,38248,19263,287683,45752,9762,2648,105966,,,
Brazos,7,39200,25892,18211,7681,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,2325,1959,366,7706,2231,303,0,2579,,,
Briscoe,1,500,507,355,152,1272,404,19,0,452,,,
Brooks,11,1400,1283,1034,249,5317,1308,323,246,2253,,,
Brown,2/3,3600,3913,2815,1098,30883,7720,1663,911,11188,,,
Burleson,7,1500,2250,1640,610,14869,3867,143,218,5600,,,
Burnet,7,10815,5202,4020,1182,39239,10999,1823,595,13132,,,
Caldwell,7,4700,3651,2518,1133,34853,6512,1286,524,14114,,,
Calhoun,8,1600,2587,1750,837,16817,3981,470,384,6161,,,
Callahan,2/3,1400,1748,1261,487,11263,2958,146,122,4094,,,
Cameron,11,104995,84967,54886,30081,311689,58607,29737,6315,127806,,,
Camp,4/5N,500,1369,983,386,10031,2494,207,152,3927,,,
Carson,1,400,1193,747,446,4718,1250,60,0,1547,,,
Cass,4/5N,900,1545,1037,508,24182,6856,1216,550,9010,,,
Castro,1,1400,1315,944,371,5607,1236,121,174,2168,,,
Chambers,6/5S,14100,5058,3381,1677,33062,5259,958,244,12484,,,
Cherokee,4/5N,7500,6122,4084,2038,40876,9444,1500,738,16376,,,
Childress,1,1900,1366,802,564,6094,1165,251,136,2395,,,
Clay,2/3,6745,2955,2334,621,8666,2484,136,60,3011,,,
Cochran,1,500,579,447,132,2188,468,57,0,956,,,
Coke,9/10,0,515,366,149,2756,947,47,130,899,,,
Coleman,2/3,1000,1001,631,370,6721,2119,342,162,2379,,,
Collin,2/3,219630,163664,119388,44276,801716,116575,38139,7817,236374,,,
Collingsworth,1,800,688,450,238,2263,555,80,92,847,,,
Colorado,6/5S,4100,3343,2633,710,17107,4850,853,477,5957,,,
Comal,8,23400,24211,18493,5718,125307,28528,5457,1845,38712,,,
Comanche,2/3,3150,2933,1654,1279,10944,3330,330,292,3738,,,
Concho,9/10,600,552,464,88,2288,689,76,66,815,,,
Cooke,2/3,6400,5118,3677,1441,32675,7804,948,552,11640,,,
Coryell,7,11765,6787,4671,2116,60428,8040,1178,610,22789,,,
Cottle,2/3,0,166,113,53,1123,339,5,0,446,,,
Crane,9/10,2350,951,709,242,3554,594,71,110,1353,,,
Crockett,9/10,0,813,563,250,2694,612,31,56,1031,,,
Crosby,1,2550,1537,1200,337,4421,1085,98,115,1771,,,
Culberson,9/10,800,374,293,81,1746,480,67,0,722,,,
Dallam,1,9290,2355,1648,707,5217,857,40,0,2067,,,
Dallas,2/3,651235,364693,254417,110276,2028105,292117,142713,21399,730851,,,
Dawson,9/10,1300,1232,978,254,9789,1898,304,112,4206,,,
Deaf Smith,1,2500,2501,1756,745,13439,2423,238,147,5332,,,
Delta,4/5N,300,603,461,142,4222,1118,379,100,1580,,,
Denton,2/3,175240,95291,66369,28922,697330,93499,23806,5913,257836,,,
DeWitt,8,1300,1802,1238,564,16110,4035,319,438,6110,,,
