County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,25816816,14402702,12447607,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,33791,19252,16760,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,12031,6529,5748,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,55076,30443,26964,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,22188,12325,10709,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6098,3335,3089,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1147,643,537,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,35998,20108,17293,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,22063,12769,11099,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4205,2376,2047,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,15828,8916,7953,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,73353,41901,33850,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2242,1216,1135,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,24208,13182,11578,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,201798,113380,97319,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1944976,1081904,925516,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,10240,5611,5019,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,296,167,154,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,12456,7016,6222,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,46045,26248,22749,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,324519,178248,159722,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,185340,102559,89116,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8428,4776,4122,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,948,512,462,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,6655,3724,3216,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,19680,12070,11064,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,12770,7176,6454,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,36541,20785,18105,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,33074,19007,15955,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,15825,9020,8187,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,7285,4156,3684,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,481779,268267,229034,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,7790,4374,3692,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3028,1642,1473,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,14065,8108,7087,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4378,2491,2038,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,29560,16445,13931,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,27261,15460,13720,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5205,3037,2836,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6955,3753,3489,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1563,913,838,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2015,1115,966,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4544,2508,2270,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1098115,596924,531074,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1449,837,733,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,16307,9513,8398,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,144827,81044,71411,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,8755,4925,4458,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2106,1219,993,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,24032,13462,11720,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,41310,22997,19996,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,829,471,422,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2427,1483,970,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2315,1246,1102,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3936,2106,1913,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,2002,1065,952,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,4939,2850,2190,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2344934,1307362,1119856,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,6059,3496,3052,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,13253,7297,6630,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,10646,6052,5262,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2628,1442,1285,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,853560,465780,413167,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1048,584,541,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,11566,6907,4727,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1945,1077,929,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,10252,5865,4844,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,9327,5406,4643,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,99720,55147,47388,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1146,620,551,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,987539,546257,470476,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,139369,77544,67050,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,22384,12409,10994,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,11144,6152,5308,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,19998,11410,10152,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,19006,11035,9387,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,2019,1141,1034,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3741,2065,1844,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,746,426,352,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,905468,496798,437323,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,5588,3214,2776,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,10551,5986,5261,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13450,12951,7571,6361,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,6111,3490,3113,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,310560,314039,168564,153917,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,4200,4459,2820,2661,5587,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31400,23222,12706,11312,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,921,512,442,1170,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4740,2622,2368,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11700,13982,8046,7319,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,,
