County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,27138740,15346852,12889294,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,35668,20632,17381,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,12602,6979,5885,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,58331,32976,27857,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,23260,13139,10998,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6367,3538,3170,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1188,674,551,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,38429,21972,17901,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,23029,13521,11339,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4387,2519,2100,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,16440,9424,8104,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,78105,45287,35380,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2293,1262,1150,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,25290,14036,11835,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,216459,124013,101861,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2035776,1146533,955600,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,10577,5866,5131,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,313,184,155,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,12928,7390,6353,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
