County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,7109875,4569109,3146940,1422169,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6800,4384,2826,1558,48045,8658,2051,833,20206,,,
Andrews,9/10,2800,3043,2373,670,13503,1833,309,106,5450,,,
Angelina,4/5N,20500,13732,9239,4493,67056,14422,6534,1752,28054,,,
Aransas,11,1500,3882,2794,1088,19803,6791,370,252,6701,,,
Archer,2/3,1100,2014,1358,656,6921,1677,80,13,2381,,,
Armstrong,1,600,564,350,214,1499,470,32,86,466,,,
Atascosa,8,4700,5038,3493,1545,38768,7605,1124,651,15239,,,
Austin,6/5S,2500,4901,3755,1146,23704,5933,667,396,7873,,,
Bailey,1,9765,2530,1424,1106,5089,1036,114,74,1982,,,
Bandera,8,600,2919,2130,789,19763,6439,352,180,6555,,,
Bastrop,7,14000,7379,5255,2124,68839,13865,1462,696,29356,,,
Baylor,2/3,3150,1534,856,678,2793,844,137,97,908,,,
Bee,11,30050,9061,5653,3408,26496,4091,981,684,11359,,,
Bell,7,69180,36862,24909,11953,272969,40534,15894,2466,95066,,,
Bexar,8,515470,322786,218547,104239,1552823,247843,100704,17248,614646,,,
Blanco,7,1600,1831,1484,347,10092,3004,90,102,3388,,,
Borden,9/10,0,80,56,24,543,174,9,0,163,,,
Bosque,7,3800,3045,1859,1186,15224,4741,624,407,5126,,,
Bowie,4/5N,18450,7849,4974,2875,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,52040,58278,38487,19791,287683,45752,9762,2648,105966,,,
Brazos,7,39200,27545,19768,7777,186843,21693,7514,1414,59619,,,
Brewster,9/10,1800,2322,1955,367,7706,2231,303,0,2579,,,
Briscoe,1,500,504,351,153,1272,404,19,0,452,,,
Brooks,11,1400,1340,1050,290,5317,1308,323,246,2253,,,
Brown,2/3,3600,3933,2827,1106,30883,7720,1663,911,11188,,,
Burleson,7,1500,2302,1687,615,14869,3867,143,218,5600,,,
Burnet,7,10815,5272,4042,1230,39239,10999,1823,595,13132,,,
Caldwell,7,4700,3835,2598,1237,34853,6512,1286,524,14114,,,
Calhoun,8,1600,2577,1738,839,16817,3981,470,384,6161,,,
Callahan,2/3,1400,1793,1303,490,11263,2958,146,122,4094,,,
Cameron,11,104995,85412,55179,30233,311689,58607,29737,6315,127806,,,
Camp,4/5N,500,1391,985,406,10031,2494,207,152,3927,,,
Carson,1,400,1197,744,453,4718,1250,60,0,1547,,,
Cass,4/5N,900,1562,1053,509,24182,6856,1216,550,9010,,,
Castro,1,1400,1320,946,374,5607,1236,121,174,2168,,,
Chambers,6/5S,14100,5193,3454,1739,33062,5259,958,244,12484,,,
Cherokee,4/5N,7500,6163,4096,2067,40876,9444,1500,738,16376,,,
Childress,1,1900,1368,804,564,6094,1165,251,136,2395,,,
Clay,2/3,6745,3123,2343,780,8666,2484,136,60,3011,,,
Cochran,1,500,579,429,150,2188,468,57,0,956,,,
Coke,9/10,0,535,379,156,2756,947,47,130,899,,,
Coleman,2/3,1000,1018,635,383,6721,2119,342,162,2379,,,
Collin,2/3,219630,168437,121421,47016,801716,116575,38139,7817,236374,,,
Collingsworth,1,800,684,446,238,2263,555,80,92,847,,,
Colorado,6/5S,4100,3463,2666,797,17107,4850,853,477,5957,,,
Comal,8,23400,24802,18637,6165,125307,28528,5457,1845,38712,,,
Comanche,2/3,3150,2950,1661,1289,10944,3330,330,292,3738,,,
Concho,9/10,600,570,472,98,2288,689,76,66,815,,,
Cooke,2/3,6400,5208,3723,1485,32675,7804,948,552,11640,,,
Coryell,7,11765,6969,4722,2247,60428,8040,1178,610,22789,,,
Cottle,2/3,0,172,117,55,1123,339,5,0,446,,,
Crane,9/10,2350,953,710,243,3554,594,71,110,1353,,,
Crockett,9/10,0,818,565,253,2694,612,31,56,1031,,,
Crosby,1,2550,1582,1229,353,4421,1085,98,115,1771,,,
Culberson,9/10,800,375,294,81,1746,480,67,0,722,,,
Dallam,1,9290,2413,1659,754,5217,857,40,0,2067,,,
Dallas,2/3,651235,374666,257725,116941,2028105,292117,142713,21399,730851,,,
Dawson,9/10,1300,1245,984,261,9789,1898,304,112,4206,,,
Deaf Smith,1,2500,2537,1771,766,13439,2423,238,147,5332,,,
Delta,4/5N,300,638,465,173,4222,1118,379,100,1580,,,
Denton,2/3,175240,98575,68287,30288,697330,93499,23806,5913,257836,,,
DeWitt,8,1300,1806,1233,573,16110,4035,319,438,6110,,,
Dickens,1,0,406,364,42,1858,525,21,0,689,,,
Dimmit,8,9495,3895,2750,1145,7539,1749,238,175,3179,,,
Donley,1,400,545,354,191,2716,804,27,65,918,,,
Duval,11,900,2484,1715,769,8600,2031,69,150,3541,,,
Eastland,2/3,1500,1930,1288,642,14970,4054,860,389,5393,,,
Ector,9/10,52330,27905,20357,7548,120896,15970,5303,1016,50679,,,
Edwards,8,0,183,151,32,1555,561,24,0,528,,,
El Paso,9/10,226990,176178,114668,61510,640180,105175,35065,8383,245567,,,
