County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31193005,17208123,14760292,24068624,22421178,3734229,1241763,271813,8302974,850859,420031,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,41719,23714,20140,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,9/10,6100,14883,8083,6910,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,69884,38832,33262,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,26855,14607,12649,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2/3,3200,7365,4014,3601,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1320,730,620,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,45575,25171,21504,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,26185,15034,12864,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,4925,2826,2330,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18522,10377,9075,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,93054,52129,42559,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2/3,5550,2686,1460,1312,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,30345,16357,13821,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,267371,149016,125724,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2329220,1274087,1093910,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11634,6359,5587,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,9/10,0,383,222,193,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,14809,8435,7144,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,58572,33030,27717,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,389814,211267,188075,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,216550,119515,102306,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,9/10,5100,9274,5254,4419,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
Briscoe,1,1200,1129,610,545,1352,1272,404,19,0,452,0,,,,,,,,,,,,
Brooks,11,3400,8365,4534,3962,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,
Brown,2/3,14800,24724,14998,13240,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,
Burleson,7,4700,15498,8694,7583,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,
Burnet,7,38215,44314,24895,21435,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,
Caldwell,7,15100,42627,24102,20201,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,
Calhoun,8,7300,19977,11445,9895,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,
Callahan,2/3,3500,9143,5182,4508,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,
Cameron,11,377955,573915,315343,270479,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,
Camp,4/5N,1800,9791,5484,4548,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,
Carson,1,1800,3671,2007,1749,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,
Cass,4/5N,5100,18037,10368,8825,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,
Castro,1,3100,5871,3273,2635,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,
Chambers,6/5S,37400,38319,21163,17697,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,
Cherokee,4/5N,18070,35719,20449,17098,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,
Childress,1,5000,5998,3527,3210,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,
Clay,2/3,14645,8216,4423,4009,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,
Cochran,1,1400,1876,1096,956,2361,2188,468,57,0,956,0,,,,,,,,,,,,
Coke,9/10,0,2335,1282,1096,2889,2756,947,47,130,899,0,,,,,,,,,,,,
Coleman,2/3,3700,5522,3071,2674,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,
Collin,2/3,763700,1263547,678491,602777,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,
Collingsworth,1,2200,1608,948,794,2432,2263,555,80,92,847,0,,,,,,,,,,,,
Colorado,6/5S,12600,19569,11309,9760,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,
Comal,8,94530,171067,94346,82950,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,
Comanche,2/3,6890,10782,6080,5324,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,
Concho,9/10,2000,2436,1399,1140,2382,2288,689,76,66,815,0,,,,,,,,,,,,
Cooke,2/3,18500,28643,16196,13538,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,
Coryell,7,38595,53273,29579,25181,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,
Cottle,2/3,0,938,527,467,1181,1123,339,5,0,446,0,,,,,,,,,,,,
Crane,9/10,3550,3344,1977,1366,3834,3554,594,71,110,1353,0,,,,,,,,,,,,
Crockett,9/10,0,2845,1553,1306,2885,2694,612,31,56,1031,0,,,,,,,,,,,,
Crosby,1,4050,4781,2557,2273,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,
Culberson,9/10,2000,2231,1195,1046,1824,1746,480,67,0,722,0,,,,,,,,,,,,
Dallam,1,28810,5915,3461,2550,5706,5217,857,40,0,2067,0,,,,,,,,,,,,
Dallas,2/3,1962805,2816421,1552641,1318794,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,
Dawson,9/10,4600,7604,4451,3686,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,
DeWitt,8,7100,16483,9112,8027,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,
Deaf Smith,1,5000,13755,7760,6668,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,
Delta,4/5N,1700,3352,1816,1550,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,
Denton,2/3,567070,992844,532296,478244,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,
Dickens,1,0,1273,720,638,1943,1858,525,21,0,689,0,,,,,,,,,,,,
Dimmit,8,23265,13897,8276,5659,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,
Donley,1,1400,2268,1261,1052,2837,2716,804,27,65,918,0,,,,,,,,,,,,
Duval,11,3800,13559,7356,6056,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,
Eastland,2/3,7340,11540,6665,5553,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,
Ector,9/10,117100,128593,70978,59556,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,
Edwards,8,0,1348,734,636,1648,1555,561,24,0,528,0,,,,,,,,,,,,
El Paso,9/10,713000,1106260,604564,521383,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,
Ellis,2/3,130520,172580,95618,81400,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,
Erath,2/3,24600,27715,15580,13181,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,
Falls,7,30755,14043,7844,6502,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,
Fannin,2/3,37695,25083,14156,12202,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,
Fayette,7,8700,23805,13643,11425,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,
Fisher,2/3,2200,2439,1420,1208,3277,3088,961,101,28,1061,0,,,,,,,,,,,,
Floyd,1,2300,4462,2477,2173,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,
Foard,2/3,1700,945,551,422,1003,962,315,7,80,332,0,,,,,,,,,,,,
Fort Bend,6/5S,528850,1047338,563332,498479,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,
Franklin,4/5N,3200,6914,3981,3309,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,
Freestone,7,4400,13352,7593,6510,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,
Frio,8,13450,17373,10703,9175,17090,16121,2499,186,166,6797,28,,,,,,,,,,,,
Gaines,9/10,5100,8001,4595,3868,16201,14548,1907,323,95,6156,717,,,,,,,,,,,,
Galveston,6/5S,310560,384548,200341,180943,287908,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,
Garza,1,4200,4837,3062,2852,5587,5325,719,33,75,2197,0,,,,,,,,,,,,
Gillespie,8,31400,27250,14797,13024,23486,22307,8110,1175,706,6815,681,,,,,,,,,,,,
Glasscock,9/10,0,1091,605,515,1170,1099,210,23,0,426,0,,,,,,,,,,,,
Goliad,8,2400,6027,3285,2907,6651,6281,1832,39,135,2282,0,,,,,,,,,,,,
Gonzales,8,11700,18053,10360,9015,17120,15937,3572,550,256,6356,693,,,,,,,,,,,,
Gray,1,5500,14892,8400,7310,18191,16924,3531,689,315,6978,42,,,,,,,,,,,,
Grayson,2/3,67740,101629,58777,49997,114863,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,
Gregg,4/5N,124925,105512,57630,49349,102834,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,
Grimes,7,4700,27325,15409,12966,24734,23245,5134,234,311,9653,771,,,,,,,,,,,,
Guadalupe,8,91395,159310,89277,78917,139873,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,
Hale,1,14000,23507,13412,11749,27448,25476,4604,873,399,10561,1177,,,,,,,,,,,,
Hall,1,0,2268,1271,1128,2552,2406,711,27,72,978,0,,,,,,,,,,,,
Hamilton,7,6100,7358,4183,3639,7223,6832,2146,481,296,2427,10,,,,,,,,,,,,
Hansford,1,3400,3874,2212,1984,4355,3987,812,139,84,1616,295,,,,,,,,,,,,
Hardeman,2/3,3800,3100,1764,1581,3383,3190,912,102,16,1146,0,,,,,,,,,,,,
Hardin,6/5S,11800,40296,22232,18811,48425,45112,9762,1003,527,16190,1814,,,,,,,,,,,,
Harris,6/5S,3395220,5279912,2930846,2500603,3873534,3601939,514167,225769,27623,1408024,148273,,,,,,,,,,,,
Harrison,4/5N,16870,45663,25870,22087,55838,51900,11607,3063,608,20509,2169,,,,,,,,,,,,
Hartley,1,1475,4954,2823,2300,4854,4561,861,196,94,1669,253,,,,,,,,,,,,
Haskell,2/3,3200,3837,2195,1811,5059,4831,1266,123,68,1872,187,,,,,,,,,,,,
Hays,7,170240,258425,143003,122500,195999,183380,26187,5488,1907,61462,6431,,,,,,,,,,,,
Hemphill,1,3100,2705,1601,1402,3122,2827,606,104,98,1066,0,,,,,,,,,,,,
Henderson,4/5N,23170,59092,33189,28258,71288,67238,18534,2043,998,26544,1787,,,,,,,,,,,,
Hidalgo,11,641140,1154384,626849,533485,681678,620824,98328,54962,17074,286328,36161,,,,,,,,,,,,
Hill,7,10400,25525,15000,12526,31136,29198,7684,862,523,11381,1209,,,,,,,,,,,,
Hockley,1,5500,17461,9881,8494,19075,17799,3453,483,263,6829,887,,,,,,,,,,,,
Hood,2/3,31570,55184,29785,26401,53157,50193,15416,1720,867,16867,147,,,,,,,,,,,,
Hopkins,4/5N,14810,26618,14787,12533,31222,29175,6887,1192,620,11166,1299,,,,,,,,,,,,
