County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,14239685,9416601,6406693,3237521,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2011660,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,11100,8015,5546,2881,48045,8658,2051,833,20206,1574,,
Andrews,9/10,4500,8055,5031,3114,13503,1833,309,106,5450,41,,
Angelina,4/5N,36400,25019,16688,8843,67056,14422,6534,1752,28054,3266,,
Aransas,11,4070,9315,6327,3204,19803,6791,370,252,6701,39,,
Archer,2/3,2100,3421,2176,1314,6921,1677,80,13,2381,330,,
Armstrong,1,1400,765,471,300,1499,470,32,86,466,0,,
Atascosa,8,9800,12015,8508,3835,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4400,9318,6218,3501,23704,5933,667,396,7873,1079,,
Bailey,1,19225,2926,1725,1247,5089,1036,114,74,1982,0,,
Bandera,8,2100,6398,4348,2238,19763,6439,352,180,6555,20,,
Bastrop,7,29300,20382,15277,5548,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4450,1790,979,822,2793,844,137,97,908,0,,
Bee,11,56340,13489,7863,5729,26496,4091,981,684,11359,989,,
Bell,7,135870,71036,47578,26691,272969,40534,15894,2466,95066,12910,,
Bexar,8,839570,660673,428643,239595,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3500,4613,3271,1449,10092,3004,90,102,3388,303,,
Borden,9/10,0,173,125,54,543,174,9,0,163,0,,
Bosque,7,6800,6326,4508,2071,15224,4741,624,407,5126,579,,
Bowie,4/5N,36770,19085,13030,7170,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,127640,124914,82235,45807,287683,45752,9762,2648,105966,12034,,
Brazos,7,84480,65658,47779,20055,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3700,5142,3358,1949,7706,2231,303,0,2579,255,,
Briscoe,1,1000,741,418,330,1272,404,19,0,452,0,,
Brooks,11,2300,3392,2276,1125,5317,1308,323,246,2253,22,,
Brown,2/3,10600,9029,6479,3950,30883,7720,1663,911,11188,1112,,
Burleson,7,2900,5460,3728,1997,14869,3867,143,218,5600,518,,
Burnet,7,21775,13725,9736,4729,39239,10999,1823,595,13132,94,,
Caldwell,7,9500,9437,6925,3002,34853,6512,1286,524,14114,1294,,
Calhoun,8,3300,5973,4425,1797,16817,3981,470,384,6161,53,,
Callahan,2/3,2500,3587,2395,1304,11263,2958,146,122,4094,442,,
Cameron,11,178795,164395,109336,59539,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1200,2943,1979,1021,10031,2494,207,152,3927,0,,
Carson,1,1100,1842,1146,710,4718,1250,60,0,1547,240,,
Cass,4/5N,3200,5027,3632,1700,24182,6856,1216,550,9010,1125,,
Castro,1,2200,2526,1644,934,5607,1236,121,174,2168,341,,
Chambers,6/5S,24700,11482,7820,3797,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10800,11299,7388,4346,40876,9444,1500,738,16376,1511,,
Childress,1,3300,2373,1591,855,6094,1165,251,136,2395,0,,
Clay,2/3,9345,5010,2822,2223,8666,2484,136,60,3011,384,,
Cochran,1,1200,1225,901,415,2188,468,57,0,956,0,,
Coke,9/10,0,1130,762,376,2756,947,47,130,899,0,,
Coleman,2/3,2100,2276,1701,639,6721,2119,342,162,2379,289,,
Collin,2/3,422290,365110,245249,126139,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,1600,1082,676,451,2263,555,80,92,847,0,,
Colorado,6/5S,6800,7379,4757,3112,17107,4850,853,477,5957,613,,
Comal,8,46940,55876,37054,20541,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6190,4790,3271,1795,10944,3330,330,292,3738,455,,
Concho,9/10,1500,1188,761,446,2288,689,76,66,815,0,,
Cooke,2/3,13900,10735,7043,3859,32675,7804,948,552,11640,1051,,
Coryell,7,21925,12787,8140,4880,60428,8040,1178,610,22789,2014,,
Cottle,2/3,0,338,231,114,1123,339,5,0,446,0,,
Crane,9/10,2950,1660,1018,649,3554,594,71,110,1353,0,,
Crockett,9/10,0,1277,733,555,2694,612,31,56,1031,0,,
Crosby,1,3450,2708,1560,1165,4421,1085,98,115,1771,284,,
Culberson,9/10,1400,956,653,305,1746,480,67,0,722,0,,
Dallam,1,18650,2995,1810,1193,5217,857,40,0,2067,0,,
Dallas,2/3,1077645,783764,530688,271572,2028105,292117,142713,21399,730851,83452,,
Dawson,9/10,2600,2666,1786,914,9789,1898,304,112,4206,475,,
