County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,4469000,2446600,1947164,499436,23418623,4073596,1241763,271813,8591155
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--
Anderson,4/5N,6200,2473,2175,298,48781,9138,2051,833,20337
Andrews,9/10,1600,2270,1667,603,16893,2253,309,106,6837
Angelina,4/5N,13600,7219,5978,1241,70305,15150,6534,1752,29398
Aransas,11,1100,1471,1318,153,23448,7843,370,252,8037
Archer,2/3,700,828,693,135,6824,1770,80,13,2295
Armstrong,1,400,344,293,51,1648,587,32,86,481
Atascosa,8,2900,3133,2483,650,40483,8111,1124,651,15830
Austin,6/5S,1800,2412,2100,312,24384,6516,667,396,7916
Bailey,1,3525,1366,1258,108,5684,1126,114,74,2229
Bandera,8,500,1687,1426,261,18258,6338,352,180,5865
Bastrop,7,6200,3598,2762,836,68916,15121,1462,696,28727
Baylor,2/3,1975,809,723,86,2887,898,137,97,927
Bee,11,11075,4588,4173,415,27790,4468,981,684,11824
Bell,7,41450,21107,17594,3513,264909,38752,15894,2466,92498
Bexar,8,309800,174162,129053,45109,1649172,273788,100704,17248,647806
Blanco,7,900,1918,1529,389,9721,3295,90,102,3072
Borden,9/10,0,36,34,2,594,220,9,0,165
Bosque,7,2700,1052,885,167,14388,4658,624,407,4758
Bowie,4/5N,11050,4326,3160,1166,75454,16868,6332,1467,29469
Brazoria,6/5S,29600,28093,21714,6379,299211,51114,9762,2648,108666
Brazos,7,24625,10817,8918,1899,188279,22891,7514,1414,59705
Brewster,9/10,1300,1376,1287,89,7247,1989,303,0,2477
Briscoe,1,400,427,307,120,1289,451,19,0,437
Brooks,11,800,694,612,82,5481,1484,323,246,2246
Brown,2/3,2100,1731,1193,538,31624,8722,1663,911,11062
Burleson,7,800,1022,772,250,14273,3996,143,218,5231
Burnet,7,5250,2112,1635,477,39401,11506,1823,595,12971
Caldwell,7,2400,1984,1555,429,35286,7157,1286,524,14008
Calhoun,8,1100,1543,1196,347,17873,4223,470,384,6552
Callahan,2/3,1000,903,712,191,11212,3157,146,122,3971
Cameron,11,58950,47119,37786,9333,319351,62948,29737,6315,129484
Camp,4/5N,300,679,540,139,10475,2553,207,152,4127
Carson,1,200,687,588,99,4650,1082,60,0,1591
Cass,4/5N,400,684,485,199,24308,7443,1216,550,8770
Castro,1,700,821,707,114,5315,1256,121,174,2013
Chambers,6/5S,8000,2532,2039,493,33361,5780,958,244,12384
Cherokee,4/5N,5200,3205,2652,553,40660,9365,1500,738,16305
Childress,1,1500,621,432,189,5784,1221,251,136,2218
Clay,2/3,3325,1804,1597,207,8023,2403,136,60,2737
Cochran,1,300,510,396,114,2524,612,57,0,1063
Coke,9/10,0,270,240,30,2653,899,47,130,872
Coleman,2/3,800,581,471,110,6728,2157,342,162,2363
Collin,2/3,108975,67700,53021,14679,841758,131278,38139,7817,245116
Collingsworth,1,500,455,345,110,2451,685,80,92,876
Colorado,6/5S,2200,1831,1665,166,16882,4927,853,477,5810
Comal,8,15300,10102,7529,2573,122316,29374,5457,1845,37177
Comanche,2/3,1875,1841,1405,436,10333,3319,330,292,3444
Concho,9/10,100,227,203,24,3656,847,76,66,1433
Cooke,2/3,3100,2135,1890,245,32061,8164,948,552,11184
Coryell,7,5125,3450,2980,470,61429,7340,1178,610,23529
Cottle,2/3,0,69,58,11,1240,450,5,0,450
Crane,9/10,1175,514,410,104,4793,899,71,110,1780
Crockett,9/10,0,410,387,23,3170,903,31,56,1122
Crosby,1,1375,1025,893,132,5020,1466,98,115,1887
Culberson,9/10,400,165,124,41,1820,571,67,0,712
Dallam,1,2850,1017,941,76,5258,703,40,0,2159
Dallas,2/3,362525,178729,143791,34938,2114319,310440,142713,21399,759433
Dawson,9/10,700,622,571,51,10637,2054,304,112,4575
Deaf Smith,1,1900,1335,1066,269,13191,2358,238,147,5243
Delta,4/5N,200,276,211,65,4362,1380,379,100,1518
Denton,2/3,91100,38229,29401,8828,740206,105630,23806,5913,270964
DeWitt,8,800,926,719,207,17638,4589,319,438,6603
Dickens,1,0,206,193,13,1878,591,21,0,665
Dimmit,8,4025,1797,1667,130,8764,1840,238,175,3801
Donley,1,200,355,320,35,2774,876,27,65,911
Duval,11,600,1101,991,110,9023,2267,69,150,3641
Eastland,2/3,1100,1186,938,248,14611,4258,860,389,5114
Ector,9/10,25100,14239,11946,2293,140862,19134,5303,1016,58795
Edwards,8,0,144,115,29,1626,612,24,0,538
El Paso,9/10,134575,99089,78653,20436,664164,120770,35065,8383,249418
