County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,19397865,12529155,8188501,4668212,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,3626940,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,14670,10438,7046,4210,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5400,9242,5296,4050,13503,1833,309,106,5450,41,,
Angelina,4/5N,45300,30639,20273,11227,67056,14422,6534,1752,28054,3266,,
Aransas,11,5170,12680,8052,4903,19803,6791,370,252,6701,39,,
Archer,2/3,2700,3980,2434,1703,6921,1677,80,13,2381,330,,
Armstrong,1,1900,872,534,356,1499,470,32,86,466,0,,
Atascosa,8,15600,15183,10187,5498,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6400,15310,10855,5173,23704,5933,667,396,7873,1079,,
Bailey,1,21665,3404,1959,1565,5089,1036,114,74,1982,0,,
Bandera,8,3400,8537,5848,3058,19763,6439,352,180,6555,20,,
Bastrop,7,38900,27878,18330,10217,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2081,1220,880,2793,844,137,97,908,0,,
Bee,11,70000,14850,8359,6640,26496,4091,981,684,11359,989,,
Bell,7,173890,88399,55970,36231,272969,40534,15894,2466,95066,12910,,
Bexar,8,1084460,831547,524748,318527,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4500,5988,4094,2051,10092,3004,90,102,3388,303,,
Borden,9/10,0,242,147,103,543,174,9,0,163,0,,
Bosque,7,9300,7282,4990,2582,15224,4741,624,407,5126,579,,
Bowie,4/5N,52230,22832,14507,9666,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,169680,155736,98135,62048,287683,45752,9762,2648,105966,12034,,
Brazos,7,119140,88009,59724,31171,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,4500,6659,3921,2945,7706,2231,303,0,2579,255,,
Briscoe,1,1200,891,496,429,1272,404,19,0,452,0,,
Brooks,11,3100,4549,2603,1962,5317,1308,323,246,2253,22,,
Brown,2/3,13200,11464,7729,5921,30883,7720,1663,911,11188,1112,,
Burleson,7,3800,7467,4755,3070,14869,3867,143,218,5600,518,,
Burnet,7,27555,18156,11714,7369,39239,10999,1823,595,13132,94,,
Caldwell,7,12100,13459,8935,5327,34853,6512,1286,524,14114,1294,,
Calhoun,8,5400,7943,5498,3123,16817,3981,470,384,6161,53,,
Callahan,2/3,3000,4625,2844,1922,11263,2958,146,122,4094,442,,
Cameron,11,225675,208461,133562,80850,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1700,3824,2525,1400,10031,2494,207,152,3927,0,,
Carson,1,1500,2161,1280,911,4718,1250,60,0,1547,240,,
Cass,4/5N,4300,6689,4420,2703,24182,6856,1216,550,9010,1125,,
Castro,1,2600,3060,1909,1267,5607,1236,121,174,2168,341,,
Chambers,6/5S,30400,12917,8563,4538,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,15670,13540,8663,5611,40876,9444,1500,738,16376,1511,,
Childress,1,4300,2842,1681,1237,6094,1165,251,136,2395,0,,
Clay,2/3,12645,5446,2978,2549,8666,2484,136,60,3011,384,,
Cochran,1,1400,2616,2131,605,2188,468,57,0,956,0,,
Coke,9/10,0,1441,874,583,2756,947,47,130,899,0,,
Coleman,2/3,2900,2845,1849,1097,6721,2119,342,162,2379,289,,
Collin,2/3,556160,504488,324112,189281,801716,116575,38139,7817,236374,34589,,
Collingsworth,1,2100,1181,721,525,2263,555,80,92,847,0,,
Colorado,6/5S,9600,9666,6210,4266,17107,4850,853,477,5957,613,,
Comal,8,68100,66953,42821,26614,125307,28528,5457,1845,38712,4242,,
Comanche,2/3,6690,6315,3779,2945,10944,3330,330,292,3738,455,,
Concho,9/10,1800,1311,802,538,2288,689,76,66,815,0,,
Cooke,2/3,16600,13001,8191,5091,32675,7804,948,552,11640,1051,,
