County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,25408585,17666510,10816686,7474996,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5023640,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17370,16374,10607,6969,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10446,5764,4872,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,56000,40511,24768,17237,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18260,10538,8272,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3000,5155,2987,2487,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1011,579,455,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,18500,22968,14333,9481,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8600,17646,11124,7643,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23835,3754,2132,1806,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12014,7295,5375,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,55100,56074,36099,21551,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2365,1357,1095,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,81290,17456,9950,7878,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,213350,124441,78197,51542,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1414660,1243098,761549,514029,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5500,8266,4920,3631,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,293,179,156,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11000,10426,6133,4838,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,65890,32864,19557,15486,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,208110,231320,138011,102129,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,167450,132486,83745,52916,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7449,4330,3525,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,880,471,425,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5365,2977,2442,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14600,15399,9859,8519,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,9660,5873,4316,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,35775,25629,16165,10867,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,14700,21160,13756,8870,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12780,7930,5945,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6181,3535,3022,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,356965,319009,199479,130622,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,5800,3520,2457,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2557,1435,1176,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11051,6801,5178,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3642,2132,1625,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,36200,18996,12213,7194,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,17070,19375,11596,8930,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,4900,3841,2286,1862,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,13645,6010,3330,2894,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1731,1007,884,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1760,1006,791,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,3795,2169,1788,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,719020,765635,462048,321500,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1381,792,686,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12300,12713,7986,6042,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,88760,98533,60966,42574,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,7481,4309,3682,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,1601,910,762,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,16113,10051,6688,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,36725,22855,14183,9520,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,754,427,374,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2056,1271,805,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,1821,1025,821,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,3442,1902,1590,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,1773,947,832,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,27340,4123,2424,1742,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1844095,1583833,978521,654710,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4500,4233,2517,1866,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,6700,9811,5734,4648,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,4800,7825,4710,3631,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2131,1212,989,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,543620,610021,362505,262759,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,968,550,479,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,7670,4422,3279,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,1697,1011,733,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3500,7977,4717,3673,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,6170,8012,4802,3817,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,115830,77647,44010,35452,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1006,571,451,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,654840,637149,399471,256291,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,120930,101213,61515,43434,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24000,17762,10469,7943,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,29385,7642,4676,3210,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,36225,14584,8522,6991,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8600,13802,8433,6496,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,1699,990,819,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,3158,1772,1486,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,714,421,324,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,488430,626836,376040,269474,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,4305,2606,1939,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4000,7034,4362,3199,15808,3996,553,261,6319,689,,,,,,,,,,,,,
Frio,8,13250,8625,5380,3963,16121,2499,186,166,6797,28,,,,,,,,,,,,,
Gaines,9/10,5100,4853,2944,2258,14548,1907,323,95,6156,717,,,,,,,,,,,,,
Galveston,6/5S,292670,235662,135688,104264,269280,50987,11784,2830,96486,10219,,,,,,,,,,,,,
Garza,1,3600,2330,1444,1298,5325,719,33,75,2197,0,,,,,,,,,,,,,
Gillespie,8,31200,18035,10558,8001,22307,8110,1175,706,6815,681,,,,,,,,,,,,,
Glasscock,9/10,0,928,567,474,1099,210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,2400,4021,2294,1941,6281,1832,39,135,2282,0,,,,,,,,,,,,,
Gonzales,8,11200,10796,6569,5316,15937,3572,550,256,6356,693,,,,,,,,,,,,,
Gray,1,5200,9172,5339,4225,16924,3531,689,315,6978,42,,,,,,,,,,,,,
Grayson,2/3,63500,62958,38566,30267,107521,24182,9338,2131,40586,4254,,,,,,,,,,,,,
Gregg,4/5N,120045,63148,35900,28638,95544,19451,7025,2324,37362,3988,,,,,,,,,,,,,
Grimes,7,4300,14817,9213,6334,23245,5134,234,311,9653,771,,,,,,,,,,,,,
Guadalupe,8,91095,85665,54387,38955,130517,23614,3801,1225,49282,3850,,,,,,,,,,,,,
