County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,20230179,11730045,9232331,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,22767,15507,8638,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10833,5928,5100,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,46164,26197,21599,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19488,11057,9048,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5576,3081,2792,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1038,582,480,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,26774,15966,11827,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17819,10431,8488,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3894,2185,1895,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12977,7594,6129,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,56150,34178,23729,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2127,1165,1057,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19694,11673,8431,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,149262,87851,67819,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1445944,826663,657786,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9043,5062,4293,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,263,149,134,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,11099,6391,5351,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,35891,20900,17303,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,261934,149262,123088,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,156099,89314,71611,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7646,4356,3708,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,885,477,427,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5599,3081,2617,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16408,10443,9012,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,11036,6328,5394,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,30176,17977,14152,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,25163,15292,11398,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,13473,7823,6741,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6468,3680,3198,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,372345,217206,167201,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6347,3642,2902,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2709,1493,1277,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11891,7075,5797,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3879,2232,1775,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,21717,13463,8786,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,21659,12826,10123,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,4159,2560,1928,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,6401,3443,3189,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1375,810,727,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,1823,1020,840,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4005,2260,1924,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,885661,497128,410693,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1387,795,694,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,14286,8514,7159,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,112192,66340,51729,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
