County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,23521675,17067435,10568455,7118118,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,4573480,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,15970,15679,10250,6586,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10394,5738,4849,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,53800,39903,24525,16865,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6640,18019,10399,8166,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,2900,5122,2978,2491,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2000,991,579,435,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,17400,21929,13749,8993,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,7300,18920,11933,8171,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23435,3764,2142,1816,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,4100,11714,7229,5149,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,47400,55192,35827,20924,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5450,2683,1542,1228,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,77850,17328,9891,7810,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,202590,120498,76039,49710,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1349190,1189568,736825,485011,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,4700,8051,4896,3446,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,288,176,153,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,10000,10334,6094,4788,15224,4741,624,407,5126,579,,,,,,,,,,,,,
