County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,19397865,13655710,8817293,5257984,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,3626940,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,14670,11128,7441,4695,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5400,9462,5363,4212,13503,1833,309,106,5450,41,,
Angelina,4/5N,45300,32905,21035,12968,67056,14422,6534,1752,28054,3266,,
Aransas,11,5170,13226,8301,5256,19803,6791,370,252,6701,39,,
Archer,2/3,2700,4147,2493,1835,6921,1677,80,13,2381,330,,
Armstrong,1,1900,914,549,383,1499,470,32,86,466,0,,
Atascosa,8,15600,16493,10893,6225,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6400,16225,11332,5752,23704,5933,667,396,7873,1079,,
Bailey,1,21665,3535,2044,1634,5089,1036,114,74,1982,0,,
Bandera,8,3400,9286,6237,3497,19763,6439,352,180,6555,20,,
Bastrop,7,38900,30641,19815,11725,68839,13865,1462,696,29356,2746,,
Baylor,2/3,5050,2261,1367,913,2793,844,137,97,908,0,,
Bee,11,70000,15356,8546,6997,26496,4091,981,684,11359,989,,
Bell,7,173890,94347,59776,38757,272969,40534,15894,2466,95066,12910,,
Bexar,8,1084460,908624,573054,352518,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4500,6395,4283,2293,10092,3004,90,102,3388,303,,
Borden,9/10,0,250,150,111,543,174,9,0,163,0,,
Bosque,7,9300,8086,5216,3261,15224,4741,624,407,5126,579,,
Bowie,4/5N,52230,25421,15340,11716,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,169680,168450,105197,68862,287683,45752,9762,2648,105966,12034,,
Brazos,7,119140,99342,67146,35325,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,4500,7007,4164,3197,7706,2231,303,0,2579,255,,
Briscoe,1,1200,889,494,431,1272,404,19,0,452,0,,
Brooks,11,3100,4730,2655,2105,5317,1308,323,246,2253,22,,
Brown,2/3,13200,12490,8145,6800,30883,7720,1663,911,11188,1112,,
Burleson,7,3800,8018,5078,3346,14869,3867,143,218,5600,518,,
Burnet,7,27555,19570,12836,7805,39239,10999,1823,595,13132,94,,
Caldwell,7,12100,14800,9820,5979,34853,6512,1286,524,14114,1294,,
Calhoun,8,5400,9612,6191,4336,16817,3981,470,384,6161,53,,
Callahan,2/3,3000,4993,2914,2244,11263,2958,146,122,4094,442,,
Cameron,11,225675,229416,148694,88395,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1700,4013,2588,1547,10031,2494,207,152,3927,0,,
Carson,1,1500,2286,1316,1007,4718,1250,60,0,1547,240,,
Cass,4/5N,4300,7373,4523,3373,24182,6856,1216,550,9010,1125,,
Castro,1,2600,3264,1963,1418,5607,1236,121,174,2168,341,,
Chambers,6/5S,30400,13483,8789,4914,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,15670,14675,9287,6280,40876,9444,1500,738,16376,1511,,
Childress,1,4300,3110,1707,1498,6094,1165,251,136,2395,0,,
Clay,2/3,12645,5551,3060,2628,8666,2484,136,60,3011,384,,
Cochran,1,1400,2763,2241,662,2188,468,57,0,956,0,,
Coke,9/10,0,1509,901,630,2756,947,47,130,899,0,,
Coleman,2/3,2900,3014,1914,1218,6721,2119,342,162,2379,289,,
Collin,2/3,556160,544371,346290,209242,801716,116575,38139,7817,236374,34589,,
