County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,16653045,11120217,7422893,3972931,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,2667690,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,13970,9284,6564,3326,48045,8658,2051,833,20206,1574,,
Andrews,9/10,5100,8925,5191,3831,13503,1833,309,106,5450,41,,
Angelina,4/5N,40500,27842,18518,9957,67056,14422,6534,1752,28054,3266,,
Aransas,11,4670,11447,7812,3891,19803,6791,370,252,6701,39,,
Archer,2/3,2400,3758,2389,1462,6921,1677,80,13,2381,330,,
Armstrong,1,1700,819,507,321,1499,470,32,86,466,0,,
Atascosa,8,13100,14048,9512,4950,38768,7605,1124,651,15239,1557,,
Austin,6/5S,6000,13789,9754,4669,23704,5933,667,396,7873,1079,,
Bailey,1,20395,3295,1866,1494,5089,1036,114,74,1982,0,,
Bandera,8,3000,7815,5412,2618,19763,6439,352,180,6555,20,,
Bastrop,7,34300,24365,17143,7833,68839,13865,1462,696,29356,2746,,
Baylor,2/3,4750,1902,1044,872,2793,844,137,97,908,0,,
Bee,11,63120,13961,8147,5934,26496,4091,981,684,11359,989,,
Bell,7,152980,80679,51473,32767,272969,40534,15894,2466,95066,12910,,
Bexar,8,945450,753985,482043,281143,1552823,247843,100704,17248,614646,61232,,
Blanco,7,4100,5477,3823,1794,10092,3004,90,102,3388,303,,
Borden,9/10,0,237,144,100,543,174,9,0,163,0,,
Bosque,7,8000,6859,4788,2353,15224,4741,624,407,5126,579,,
Bowie,4/5N,43950,21790,13995,9110,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,144220,142359,91508,54642,287683,45752,9762,2648,105966,12034,,
Brazos,7,101260,79830,56440,26012,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3800,5612,3673,2115,7706,2231,303,0,2579,255,,
Briscoe,1,1200,834,478,389,1272,404,19,0,452,0,,
Brooks,11,2900,3736,2506,1240,5317,1308,323,246,2253,22,,
Brown,2/3,12100,10407,7587,4974,30883,7720,1663,911,11188,1112,,
Burleson,7,3300,6725,4413,2633,14869,3867,143,218,5600,518,,
Burnet,7,24715,16422,11103,6164,39239,10999,1823,595,13132,94,,
Caldwell,7,11100,11986,8155,4461,34853,6512,1286,524,14114,1294,,
