County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,20423361,11821141,9344696,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,22860,15544,8697,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10860,5942,5114,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,46299,26250,21687,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,19550,11090,9082,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,5525,3043,2778,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1038,582,480,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,27005,16091,11948,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,17862,10433,8540,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3894,2184,1896,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,13119,7668,6211,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,56567,34385,23946,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2128,1166,1057,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,19725,11691,8445,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,150738,88821,68421,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1460685,834883,664997,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9049,5065,4296,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,263,149,134,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,11122,6406,5360,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,35998,20947,17380,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,263921,150264,124165,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,156787,89668,72024,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7670,4365,3723,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,885,477,427,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5615,3091,2624,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,16442,10459,9032,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,11061,6335,5413,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,30286,18031,14221,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,25364,15406,11495,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,13506,7842,6759,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,6505,3700,3216,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,376838,218642,170326,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,6370,3651,2916,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,2715,1498,1279,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,11946,7102,5828,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,3886,2238,1777,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,22018,13582,8979,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
